日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,-50,125,-416,-341,24330,17365,2393,44088,15.50%,28.09%,
107/03/30,1502,188,-86,1604,24380,17240,2809,44429,15.53%,28.30%,
107/03/29,-54,435,75,456,22878,17052,2895,42825,14.57%,27.28%,
107/03/28,-545,1165,-214,406,22931,16617,2820,42368,14.61%,26.99%,
107/03/27,-482,330,437,285,23477,15452,3034,41963,14.95%,26.73%,
107/03/26,-762,458,-371,-675,23959,15122,2597,41678,15.26%,26.55%,
107/03/23,488,-103,-513,-128,24721,14664,2968,42353,15.75%,26.98%,
107/03/22,-799,518,-185,-466,24348,14767,3481,42596,15.51%,27.14%,
107/03/21,-834,1249,64,479,24803,14249,3666,42718,15.80%,27.21%,
107/03/20,-1,923,80,1002,25637,13000,3602,42239,16.33%,26.91%,
107/03/19,780,225,399,1404,25675,12077,3522,41274,16.35%,26.29%,
107/03/16,365,51,61,477,24895,11852,3123,39870,15.86%,25.40%,
107/03/15,-480,34,-174,-620,24530,11801,3062,39393,15.62%,25.09%,
107/03/14,216,1429,549,2194,25009,11767,3236,40012,15.93%,25.49%,
107/03/13,20,673,85,778,24784,10338,2687,37809,15.79%,24.09%,
107/03/12,-497,245,-187,-439,24754,9665,2602,37021,15.77%,23.59%,
107/03/09,-249,695,221,667,25251,9420,2789,37460,16.08%,23.86%,
107/03/08,-445,138,66,-241,25489,8725,2568,36782,16.24%,23.44%,
107/03/07,-539,224,-69,-384,25934,8587,2502,37023,16.52%,23.59%,
107/03/06,773,221,613,1607,26499,8363,2571,37433,16.88%,23.85%,
107/03/05,-352,265,-18,-105,25734,8142,1958,35834,16.39%,22.83%,
107/03/02,-1696,325,412,-959,26094,7877,1976,35947,16.62%,22.90%,
107/03/01,627,0,206,833,27772,7552,1564,36888,17.69%,23.50%,
107/02/27,-81,2,65,-14,27145,7552,1358,36055,17.29%,22.97%,
107/02/26,353,-454,-735,-836,27267,7550,1293,36110,17.37%,23.00%,
107/02/23,-1820,-396,-135,-2351,26864,8004,2028,36896,17.11%,23.50%,
107/02/22,-8,-1099,-489,-1596,28674,8400,2163,39237,18.26%,24.99%,
