日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,-26,-6020,-186,-6232,3999458,108079,216462,4323999,26.70%,28.87%,
107/03/30,1466,0,-1134,332,3999484,114099,216648,4330231,26.70%,28.91%,
107/03/29,-7153,-2940,521,-9572,3998018,114099,217782,4329899,26.69%,28.91%,
107/03/28,-303,0,211,-92,4005171,117039,217261,4339471,26.74%,28.97%,
107/03/27,9982,-1636,549,8895,4005474,117039,217050,4339563,26.74%,28.97%,
107/03/26,-2941,-1894,1785,-3050,3995492,118675,216501,4330668,26.67%,28.91%,
107/03/23,-8185,-164,358,-7991,3998433,120569,214716,4333718,26.69%,28.93%,
107/03/22,4617,-218,185,4584,4006618,120733,214358,4341709,26.75%,28.99%,
107/03/21,-2906,-1766,434,-4238,4002001,120951,214173,4337125,26.72%,28.96%,
107/03/20,1075,-1330,1334,1079,4004907,122717,213739,4341363,26.74%,28.99%,
107/03/19,3105,-1167,-376,1562,4003832,124047,212405,4340284,26.73%,28.98%,
107/03/16,15730,-3136,-481,12113,4000727,125214,212781,4338722,26.71%,28.97%,
107/03/15,9940,-945,-496,8499,3984997,128350,213262,4326609,26.60%,28.88%,
107/03/14,1552,-2509,1843,886,3975057,129295,213758,4318110,26.54%,28.83%,
107/03/13,3315,3246,-131,6430,3973505,131804,211915,4317224,26.53%,28.83%,
107/03/12,10792,-2247,-495,8050,3970190,128558,212046,4310794,26.51%,28.78%,
107/03/09,1843,-70,-874,899,3959398,130805,212541,4302744,26.43%,28.72%,
107/03/08,-2125,-691,-557,-3373,3957555,130875,213415,4301845,26.42%,28.72%,
107/03/07,-645,-36,-54,-735,3959680,131566,213972,4305218,26.44%,28.75%,
107/03/06,2159,0,-263,1896,3960325,131602,214026,4305953,26.44%,28.75%,
107/03/05,-3522,-146,-1277,-4945,3958166,131602,214289,4304057,26.43%,28.74%,
107/03/02,-8388,-211,-563,-9162,3961688,131748,215566,4309002,26.45%,28.77%,
107/03/01,-158,-292,-811,-1261,3970076,131959,216129,4318164,26.51%,28.83%,
107/02/27,-623,-198,-576,-1397,3970235,132251,216940,4319426,26.51%,28.84%,
107/02/26,-88,-137,-1217,-1442,3970857,132449,217516,4320822,26.51%,28.85%,
107/02/23,7602,-73,286,7815,3970945,132586,218733,4322264,26.51%,28.86%,
107/02/22,-210,-36,-618,-864,3963343,132659,218447,4314449,26.46%,28.80%,
107/02/21,3072,100,-409,2763,3963791,132695,219065,4315551,26.46%,28.81%,
107/02/12,-10776,0,-600,-11376,3961263,132595,219474,4313332,26.45%,28.80%,
107/02/09,-9831,0,660,-9171,3972039,132595,220074,4324708,26.52%,28.87%,
107/02/08,1802,6,108,1916,3981903,132595,219414,4333912,26.58%,28.93%,
107/02/07,4553,63,203,4819,3980441,132589,219306,4332336,26.57%,28.92%,
107/02/06,-22758,-62,-182,-23002,3976398,132526,219103,4328027,26.55%,28.90%,
107/02/05,1668,0,-643,1025,3999156,132588,219285,4351029,26.70%,29.05%,
107/02/02,2543,0,-1157,1386,3997488,132588,219928,4350004,26.69%,29.04%,
107/02/01,7943,0,-1060,6883,3994979,132588,221085,4348652,26.67%,29.03%,
107/01/31,8051,-2,-964,7085,3987036,132588,222145,4341769,26.62%,28.99%,
107/01/30,12183,0,-1292,10891,3979607,132590,223109,4335306,26.57%,28.95%,
107/01/29,2996,100,-1772,1324,3968275,132590,224401,4325266,26.49%,28.87%,
107/01/26,15486,-305,-1198,13983,3965269,132490,226173,4323932,26.47%,28.86%,
