日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,-17,0,-68,-85,44475,300,2654,47429,5.98%,6.38%,
107/03/30,-812,0,-50,-862,44492,300,2722,47514,5.98%,6.39%,
107/03/29,-102,0,445,343,45304,300,2772,48376,6.09%,6.50%,
107/03/28,-107,300,0,193,45406,300,2327,48033,6.10%,6.45%,
107/03/27,1925,0,100,2025,45513,0,2327,47840,6.12%,6.43%,
107/03/26,104,0,0,104,43588,0,2227,45815,5.86%,6.16%,
107/03/23,-13,0,0,-13,43484,0,2227,45711,5.84%,6.14%,
107/03/22,229,0,0,229,43497,0,2227,45724,5.84%,6.14%,
107/03/21,-1,0,69,68,43268,0,2227,45495,5.81%,6.11%,
107/03/20,115,0,0,115,43269,0,2158,45427,5.81%,6.10%,
107/03/19,100,0,-1,99,43154,0,2158,45312,5.80%,6.09%,
107/03/16,-98,0,0,-98,43054,0,2159,45213,5.79%,6.08%,
107/03/15,38,0,0,38,43352,0,2159,45511,5.83%,6.12%,
107/03/14,412,0,70,482,43314,0,2159,45473,5.82%,6.11%,
107/03/13,184,0,0,184,42902,0,2089,44991,5.76%,6.04%,
107/03/12,-257,0,348,91,42809,0,2089,44898,5.75%,6.03%,
107/03/09,42,0,0,42,43066,0,1741,44807,5.79%,6.02%,
107/03/08,-22,0,0,-22,43024,0,1741,44765,5.78%,6.01%,
107/03/07,-15,0,-186,-201,43046,0,1741,44787,5.78%,6.01%,
107/03/06,403,0,70,473,43061,0,1927,44988,5.79%,6.05%,
107/03/05,669,0,425,1094,42658,0,1857,44515,5.73%,5.98%,
107/03/02,51,0,215,266,41989,0,1432,43421,5.64%,5.83%,
107/03/01,10,0,0,10,41938,0,1217,43155,5.64%,5.80%,
107/02/27,-131,0,73,-58,41928,0,1217,43145,5.63%,5.79%,
107/02/26,-513,0,163,-350,42059,0,1144,43203,5.65%,5.80%,
107/02/23,523,0,-1,522,42572,0,981,43553,5.72%,5.85%,
107/02/22,116,0,2,118,42049,0,982,43031,5.65%,5.78%,
107/02/21,115,0,0,115,42193,0,980,43173,5.67%,5.80%,
107/02/12,-136,0,-1,-137,42117,0,980,43097,5.66%,5.79%,
107/02/09,92,0,-63,29,42553,0,981,43534,5.72%,5.85%,
107/02/08,6,0,0,6,42461,0,1044,43505,5.71%,5.85%,
107/02/07,605,0,-8,597,42476,0,1044,43520,5.71%,5.85%,
107/02/06,311,0,-113,198,41891,0,1052,42943,5.63%,5.77%,
107/02/05,-14,0,-625,-639,41580,0,1165,42745,5.59%,5.75%,
107/02/02,-202,0,-2,-204,41594,0,1790,43384,5.59%,5.83%,
107/02/01,735,0,-201,534,41796,0,1792,43588,5.62%,5.86%,
107/01/31,123,0,0,123,41061,0,1993,43054,5.52%,5.79%,
107/01/30,57,0,-254,-197,40938,0,1993,42931,5.50%,5.77%,
107/01/29,-22,0,-1,-23,40901,0,2247,43148,5.50%,5.80%,
107/01/26,126,0,0,126,40923,0,2248,43171,5.50%,5.80%,
