日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,-205,47,-158,263580,8122,11041,282743,56.68%,60.80%,
107/03/30,-664,-634,2,-1296,263580,8327,10994,282901,56.68%,60.83%,
107/03/29,-430,-79,-1,-510,264399,8961,10992,284352,56.85%,61.14%,
107/03/28,226,-952,-451,-1177,264829,9040,10993,284862,56.94%,61.25%,
107/03/27,-91,-43,32,-102,264483,9992,11444,285919,56.87%,61.48%,
107/03/26,158,-288,67,-63,264603,10035,11412,286050,56.90%,61.51%,
107/03/23,280,-498,-101,-319,264435,10323,11345,286103,56.86%,61.52%,
107/03/22,-176,-14,-214,-404,264115,10821,11446,286382,56.79%,61.58%,
107/03/21,974,-239,17,752,264591,10835,11660,287086,56.89%,61.73%,
107/03/20,-758,-47,-3,-808,263585,11074,11643,286302,56.68%,61.57%,
107/03/19,314,12,37,363,264365,11121,11646,287132,56.84%,61.74%,
107/03/16,862,-575,168,455,264051,11109,11609,286769,56.78%,61.67%,
107/03/15,-1224,-476,27,-1673,260339,11684,11441,283464,55.98%,60.95%,
107/03/14,-1217,-355,-295,-1867,263613,12160,11414,287187,56.68%,61.75%,
107/03/13,-487,-91,32,-546,264830,12515,11709,289054,56.94%,62.15%,
107/03/12,-778,-16,-99,-893,265317,12606,11677,289600,57.05%,62.27%,
107/03/09,401,-85,-157,159,265568,12622,11776,289966,57.10%,62.35%,
107/03/08,211,-143,61,129,265225,12707,11933,289865,57.03%,62.33%,
107/03/07,497,-326,-94,77,264833,12850,11872,289555,56.94%,62.26%,
107/03/06,172,-826,-227,-881,264248,13176,11966,289390,56.82%,62.23%,
107/03/05,-1387,-581,-153,-2121,263961,14002,12193,290156,56.76%,62.39%,
107/03/02,-343,-11,-19,-373,266814,14583,12346,293743,57.37%,63.16%,
107/03/01,425,2,-81,346,267157,14594,12365,294116,57.44%,63.24%,
107/02/27,529,455,-61,923,267042,14592,12446,294080,57.42%,63.23%,
107/02/26,4514,618,244,5376,266493,14137,12507,293137,57.30%,63.03%,
107/02/23,3327,649,370,4346,261929,13519,12263,287711,56.32%,61.86%,
107/02/22,-265,20,120,-125,258911,12870,11893,283674,55.67%,61.00%,
107/02/21,3791,0,91,3882,259161,12850,11773,283784,55.73%,61.02%,
107/02/12,-534,97,103,-334,255370,12850,11682,279902,54.91%,60.19%,
107/02/09,766,175,-17,924,255712,12753,11579,280044,54.98%,60.21%,
107/02/08,-257,126,93,-38,254933,12578,11596,279107,54.82%,60.02%,
107/02/07,2011,534,-28,2517,255198,12452,11503,279153,54.87%,60.02%,
107/02/06,-2559,554,-386,-2391,253184,11918,11531,276633,54.44%,59.48%,
107/02/05,2716,0,256,2972,255248,11364,11917,278529,54.88%,59.89%,
107/02/02,671,124,30,825,252564,11364,11661,275589,54.31%,59.26%,
107/02/01,-561,26,111,-424,251994,11240,11631,274865,54.18%,59.10%,
107/01/31,426,153,23,602,252805,11214,11520,275539,54.36%,59.25%,
107/01/30,98,264,-24,338,252299,11061,11497,274857,54.25%,59.10%,
107/01/29,-1113,333,221,-559,252290,10797,11521,274608,54.25%,59.05%,
107/01/26,-211,-7,-50,-268,252303,10464,11300,274067,54.25%,58.93%,
107/01/25,-967,295,115,-557,252536,10471,11350,274357,54.30%,58.99%,
107/01/24,681,358,-102,937,253915,10176,11235,275326,54.60%,59.20%,
107/01/23,506,743,-5,1244,254861,9818,11337,276016,54.80%,59.35%,
107/01/22,27,0,-7,20,254415,9075,11342,274832,54.70%,59.09%,
107/01/19,124,0,-31,93,254334,9075,11349,274758,54.69%,59.08%,
107/01/18,-61,208,-65,82,254440,9075,11380,274895,54.71%,59.11%,
107/01/17,1848,110,-171,1787,254638,8867,11445,274950,54.75%,59.12%,
107/01/16,424,93,3,520,252803,8757,11616,273176,54.36%,58.74%,
107/01/15,-219,237,-13,5,252384,8664,11613,272661,54.27%,58.63%,
107/01/12,-1538,279,-92,-1351,252693,8427,11626,272746,54.33%,58.64%,
107/01/11,-38,579,-112,429,254012,8148,11718,273878,54.62%,58.89%,
107/01/10,-366,-6,-94,-466,254475,7569,11830,273874,54.72%,58.89%,
107/01/09,-804,0,-194,-998,254264,7575,11924,273763,54.67%,58.86%,
107/01/08,995,0,-30,965,256675,7575,12118,276368,55.19%,59.42%,
107/01/05,623,-6,7,624,255682,7575,12148,275405,54.98%,59.22%,
107/01/04,143,-53,53,143,255658,7581,12141,275380,54.97%,59.21%,
107/01/03,-676,0,-1,-677,255952,7634,12088,275674,55.04%,59.28%,
107/01/02,-736,0,-60,-796,256628,7634,12089,276351,55.18%,59.42%,
106/12/29,326,0,-3,323,257364,7634,12149,277147,55.34%,59.59%,
106/12/28,10,-10,0,0,257038,6678,12152,275868,55.27%,59.32%,
106/12/27,110,-10,-46,54,256662,6688,12152,275502,55.19%,59.24%,
106/12/26,215,-9,-229,-23,256944,6698,12198,275840,55.25%,59.31%,
106/12/25,367,0,52,419,256722,6707,12427,275856,55.20%,59.31%,
106/12/22,210,0,-28,182,256355,6707,12375,275437,55.12%,59.22%,
106/12/21,446,0,12,458,256195,6707,12403,275305,55.09%,59.20%,
106/12/20,-419,19,-88,-488,255952,6707,12391,275050,55.04%,59.15%,
106/12/19,668,0,-2,666,256633,6688,12479,275800,55.18%,59.30%,
106/12/18,-3191,128,-120,-3183,256269,6688,12481,275438,55.10%,59.22%,
106/12/15,-1854,217,-146,-1783,259460,6560,12601,278621,55.79%,59.91%,
106/12/14,7459,-480,314,7293,262095,6343,12747,281185,56.36%,60.47%,
106/12/13,8296,12,669,8977,254636,6823,12432,273891,54.75%,58.89%,
106/12/12,661,24,-4,681,246260,6811,11763,264834,52.95%,56.94%,
106/12/11,485,45,59,589,245599,6787,11767,264153,52.81%,56.80%,
106/12/08,-476,-500,48,-928,245514,6742,11708,263964,52.79%,56.76%,
106/12/07,2425,0,131,2556,245990,7242,11660,264892,52.89%,56.95%,
106/12/06,-606,0,95,-511,244167,7242,11529,262938,52.50%,56.54%,
106/12/05,135,15,129,279,245202,7242,11434,263878,52.72%,56.74%,
106/12/04,2537,0,26,2563,245066,7227,11305,263598,52.69%,56.68%,
106/12/01,-134,120,61,47,242529,7227,11279,261035,52.15%,56.13%,
106/11/30,748,2,68,818,242593,7107,11218,260918,52.16%,56.10%,
106/11/29,-880,-2,-2,-884,241565,7105,11150,259820,51.94%,55.87%,
106/11/28,-668,-1,9,-660,242835,7107,11152,261094,52.21%,56.14%,
106/11/27,-1357,0,-81,-1438,243480,7108,11143,261731,52.35%,56.27%,
106/11/24,-189,0,-18,-207,244811,7108,11224,263143,52.64%,56.58%,
