日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,0,0,73,0,0,73,0.18%,0.18%,
107/03/30,38,0,0,38,73,0,0,73,0.18%,0.18%,
107/03/29,7,0,0,7,35,0,0,35,0.08%,0.08%,
107/03/28,4,0,0,4,28,0,0,28,0.07%,0.07%,
107/03/27,6,0,0,6,24,0,0,24,0.06%,0.06%,
107/03/26,-26,0,0,-26,37,0,0,37,0.09%,0.09%,
107/03/23,7,0,0,7,63,0,0,63,0.15%,0.15%,
107/03/22,-7,0,0,-7,83,0,0,83,0.20%,0.20%,
107/03/21,22,0,0,22,90,0,0,90,0.22%,0.22%,
107/03/20,0,0,-1,-1,76,0,0,76,0.18%,0.18%,
107/03/19,-5,0,1,-4,95,0,1,96,0.23%,0.23%,
107/03/16,5,0,-4,1,112,0,0,112,0.27%,0.27%,
107/03/15,-51,0,4,-47,94,0,4,98,0.23%,0.24%,
107/03/14,30,0,-2,28,145,0,0,145,0.36%,0.36%,
107/03/13,5,0,2,7,96,0,2,98,0.23%,0.23%,
107/03/12,11,0,0,11,91,0,0,91,0.22%,0.22%,
107/03/09,-25,0,0,-25,80,0,0,80,0.19%,0.19%,
107/03/08,2,0,0,2,106,0,0,106,0.26%,0.26%,
107/03/07,-16,0,0,-16,74,0,0,74,0.18%,0.18%,
107/03/06,-4,0,-2,-6,90,0,0,90,0.22%,0.22%,
107/03/05,-23,0,2,-21,94,0,2,96,0.23%,0.23%,
107/03/02,-8,0,-4,-12,117,0,0,117,0.29%,0.29%,
107/03/01,-63,0,4,-59,125,0,4,129,0.31%,0.32%,
107/02/27,-14,0,0,-14,191,0,0,191,0.47%,0.47%,
107/02/26,-11,0,0,-11,209,0,0,209,0.52%,0.52%,
107/02/23,43,0,0,43,231,0,0,231,0.57%,0.57%,
107/02/22,11,0,0,11,189,0,0,189,0.47%,0.47%,
107/02/21,13,0,0,13,180,0,0,180,0.44%,0.44%,
107/02/12,-51,0,0,-51,169,0,0,169,0.42%,0.42%,
107/02/09,123,0,0,123,240,0,0,240,0.59%,0.59%,
107/02/08,-1,0,0,-1,117,0,0,117,0.29%,0.29%,
107/02/07,-3,0,0,-3,118,0,0,118,0.29%,0.29%,
107/02/06,-36,0,0,-36,121,0,0,121,0.30%,0.30%,
107/02/05,22,0,0,22,157,0,0,157,0.39%,0.39%,
107/02/02,11,0,0,11,135,0,0,135,0.33%,0.33%,
107/02/01,-25,0,0,-25,124,0,0,124,0.30%,0.30%,
107/01/31,-39,0,0,-39,149,0,0,149,0.37%,0.37%,
107/01/30,-372,0,0,-372,189,0,0,189,0.47%,0.47%,
107/01/29,269,0,-1,268,561,0,0,561,1.40%,1.40%,
107/01/26,-1,0,0,-1,293,0,1,294,0.73%,0.73%,
107/01/25,-113,0,-1,-114,309,0,1,310,0.77%,0.77%,
107/01/24,114,0,2,116,422,0,2,424,1.05%,1.05%,
107/01/23,-24,0,0,-24,308,0,0,308,0.76%,0.76%,
107/01/22,58,0,0,58,332,0,0,332,0.82%,0.82%,
107/01/19,-17,0,0,-17,274,0,0,274,0.68%,0.68%,
107/01/18,32,0,-2,30,291,0,0,291,0.72%,0.72%,
107/01/17,-24,0,2,-22,279,0,2,281,0.69%,0.69%,
107/01/16,13,0,0,13,303,0,0,303,0.75%,0.75%,
107/01/15,48,0,0,48,290,0,0,290,0.72%,0.72%,
107/01/12,14,0,-1,13,242,0,0,242,0.60%,0.60%,
107/01/11,-16,0,0,-16,228,0,1,229,0.56%,0.56%,
107/01/10,-47,0,-1,-48,244,0,1,245,0.60%,0.60%,
107/01/09,-45,0,0,-45,291,0,2,293,0.72%,0.72%,
107/01/08,-28,0,0,-28,336,0,2,338,0.83%,0.83%,
107/01/05,6,0,2,8,364,0,2,366,0.90%,0.90%,
107/01/04,45,0,0,45,359,0,0,359,0.89%,0.89%,
107/01/03,2,0,0,2,314,0,0,314,0.78%,0.78%,
107/01/02,122,0,0,122,312,0,0,312,0.77%,0.77%,
106/12/29,15,0,0,15,190,0,0,190,0.47%,0.47%,
106/12/28,60,0,0,60,175,0,0,175,0.43%,0.43%,
106/12/27,-18,0,0,-18,115,0,0,115,0.28%,0.28%,
106/12/26,-60,0,0,-60,133,0,0,133,0.33%,0.33%,
106/12/25,36,0,0,36,183,0,0,183,0.45%,0.45%,
106/12/22,11,0,0,11,147,0,0,147,0.36%,0.36%,
106/12/21,32,0,0,32,126,0,0,126,0.31%,0.31%,
106/12/20,35,0,0,35,94,0,0,94,0.23%,0.23%,
106/12/19,-38,0,0,-38,59,0,0,59,0.14%,0.14%,
106/12/18,-11,0,0,-11,87,0,0,87,0.21%,0.21%,
106/12/15,-27,0,0,-27,98,0,0,98,0.24%,0.24%,
106/12/14,45,0,0,45,125,0,0,125,0.31%,0.31%,
106/12/13,18,0,0,18,80,0,0,80,0.19%,0.19%,
106/12/12,-32,0,0,-32,62,0,0,62,0.15%,0.15%,
106/12/11,-114,0,0,-114,94,0,0,94,0.23%,0.23%,
106/12/08,126,0,0,126,180,0,0,180,0.44%,0.44%,
106/12/07,-9,0,0,-9,54,0,0,54,0.13%,0.13%,
106/12/06,-22,0,-10,-32,63,0,0,63,0.15%,0.15%,
106/12/05,-24,0,0,-24,66,0,10,76,0.16%,0.18%,
106/12/04,3,0,0,3,80,0,10,90,0.20%,0.22%,
106/12/01,6,0,5,11,66,0,10,76,0.16%,0.18%,
106/11/30,2,0,-3,-1,60,0,5,65,0.15%,0.16%,
106/11/29,-9,0,1,-8,58,0,8,66,0.14%,0.16%,
106/11/28,2,0,0,2,67,0,7,74,0.16%,0.18%,
106/11/27,15,0,2,17,65,0,7,72,0.16%,0.18%,
106/11/24,10,0,0,10,50,0,5,55,0.12%,0.13%,
106/11/23,-39,0,5,-34,40,0,5,45,0.10%,0.11%,
106/11/22,28,0,0,28,79,0,0,79,0.19%,0.19%,
106/11/21,-14,0,0,-14,51,0,0,51,0.12%,0.12%,
106/11/20,-173,0,0,-173,59,0,0,59,0.14%,0.14%,
106/11/17,-10,0,0,-10,232,0,0,232,0.57%,0.57%,
106/11/16,18,0,0,18,224,0,0,224,0.55%,0.55%,
106/11/15,81,0,-1,80,196,0,0,196,0.48%,0.48%,
106/11/14,71,0,-2,69,115,0,1,116,0.28%,0.28%,
106/11/13,-66,0,3,-63,44,0,3,47,0.11%,0.12%,
106/11/10,-22,0,0,-22,110,0,0,110,0.27%,0.27%,
106/11/09,-92,0,0,-92,102,0,0,102,0.25%,0.25%,
106/11/08,-30,0,0,-30,194,0,0,194,0.48%,0.48%,
106/11/07,21,0,0,21,210,0,0,210,0.52%,0.52%,
106/11/06,42,0,0,42,189,0,0,189,0.47%,0.47%,
