日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,0,0,6675,0,44,6719,4.53%,4.56%,
107/03/30,0,0,23,23,6675,0,44,6719,4.53%,4.56%,
107/03/29,31,0,-12,19,6675,0,21,6696,4.53%,4.54%,
107/03/28,0,0,0,0,6644,0,33,6677,4.51%,4.53%,
107/03/27,9,0,0,9,6644,0,33,6677,4.51%,4.53%,
107/03/26,-18,0,4,-14,6635,0,33,6668,4.50%,4.52%,
107/03/23,-29,0,0,-29,6653,0,29,6682,4.51%,4.53%,
107/03/22,-13,0,0,-13,6682,0,29,6711,4.53%,4.55%,
107/03/21,2,0,0,2,6695,0,29,6724,4.54%,4.56%,
107/03/20,-7,0,0,-7,6693,0,29,6722,4.54%,4.56%,
107/03/19,4,0,1,5,6710,0,29,6739,4.55%,4.57%,
107/03/16,-5,0,0,-5,6706,0,28,6734,4.55%,4.57%,
107/03/15,-8,0,0,-8,6711,0,28,6739,4.55%,4.57%,
107/03/14,4,0,0,4,6719,0,28,6747,4.56%,4.58%,
107/03/13,37,0,0,37,6715,0,28,6743,4.55%,4.57%,
107/03/12,20,0,-7,13,6678,0,28,6706,4.53%,4.55%,
107/03/09,-7,0,0,-7,6658,0,35,6693,4.51%,4.53%,
107/03/08,-1,0,0,-1,6665,0,35,6700,4.52%,4.54%,
107/03/07,24,0,15,39,6666,0,35,6701,4.52%,4.54%,
107/03/06,-9,0,0,-9,6642,0,20,6662,4.50%,4.51%,
107/03/05,-33,0,-3,-36,6651,0,20,6671,4.51%,4.52%,
107/03/02,-8,0,0,-8,6684,0,23,6707,4.53%,4.55%,
107/03/01,7,0,-4,3,6692,0,23,6715,4.54%,4.56%,
107/02/27,0,0,7,7,6685,0,27,6712,4.53%,4.55%,
107/02/26,0,0,0,0,6685,0,20,6705,4.53%,4.54%,
107/02/23,30,0,0,30,6685,0,20,6705,4.53%,4.54%,
107/02/22,-8,0,0,-8,6655,0,20,6675,4.51%,4.52%,
107/02/21,10,0,0,10,6663,0,20,6683,4.52%,4.53%,
107/02/12,-22,0,20,-2,6653,0,20,6673,4.51%,4.52%,
107/02/09,24,0,0,24,6672,0,0,6672,4.52%,4.52%,
107/02/08,-25,0,0,-25,6648,0,0,6648,4.51%,4.51%,
107/02/07,-13,0,0,-13,6673,0,0,6673,4.52%,4.52%,
107/02/06,-15,0,-1,-16,6684,0,0,6684,4.53%,4.53%,
107/02/05,14,0,0,14,6699,0,1,6700,4.54%,4.54%,
107/02/02,-3,0,0,-3,6685,0,1,6686,4.53%,4.53%,
107/02/01,6,0,0,6,6688,0,1,6689,4.54%,4.54%,
107/01/31,1,0,0,1,6682,0,1,6683,4.53%,4.53%,
107/01/30,11,0,0,11,6681,0,1,6682,4.53%,4.53%,
107/01/29,36,0,0,36,6670,0,1,6671,4.52%,4.52%,
107/01/26,8,0,0,8,6624,0,1,6625,4.49%,4.49%,
107/01/25,-2,0,0,-2,6616,0,1,6617,4.49%,4.49%,
107/01/24,41,0,1,42,6618,0,1,6619,4.49%,4.49%,
107/01/23,7,0,0,7,6577,0,0,6577,4.46%,4.46%,
107/01/22,-2,0,0,-2,6570,0,0,6570,4.46%,4.46%,
107/01/19,-9,0,0,-9,6572,0,0,6572,4.46%,4.46%,
107/01/18,-7,0,0,-7,6581,0,0,6581,4.46%,4.46%,
107/01/17,23,0,0,23,6588,0,0,6588,4.47%,4.47%,
107/01/16,-6,0,0,-6,6565,0,0,6565,4.45%,4.45%,
107/01/15,-7,0,0,-7,6571,0,0,6571,4.46%,4.46%,
107/01/12,-4,0,0,-4,6579,0,0,6579,4.46%,4.46%,
107/01/11,-10,0,0,-10,6583,0,0,6583,4.46%,4.46%,
107/01/10,-15,0,0,-15,6592,0,0,6592,4.47%,4.47%,
107/01/09,-20,0,0,-20,6607,0,0,6607,4.48%,4.48%,
107/01/08,-17,0,-1,-18,6627,0,0,6627,4.49%,4.49%,
107/01/05,-2,0,0,-2,6644,0,1,6645,4.51%,4.51%,
107/01/04,-5,0,0,-5,6646,0,1,6647,4.51%,4.51%,
107/01/03,-4,0,0,-4,6651,0,1,6652,4.51%,4.51%,
107/01/02,-7,0,0,-7,6655,0,1,6656,4.51%,4.51%,
106/12/29,-3,0,1,-2,6662,0,1,6663,4.52%,4.52%,
106/12/28,0,-23,0,-23,6665,0,0,6665,4.52%,4.52%,
106/12/27,1,-24,0,-23,6665,0,0,6665,4.52%,4.52%,
106/12/26,10,-20,0,-10,6664,0,0,6664,4.52%,4.52%,
106/12/25,3,0,0,3,6654,11,0,6665,4.51%,4.52%,
106/12/22,3,0,0,3,6651,11,0,6662,4.51%,4.52%,
106/12/21,7,0,0,7,6648,11,0,6659,4.51%,4.52%,
106/12/20,-15,0,0,-15,6641,11,0,6652,4.50%,4.51%,
106/12/19,-2,0,0,-2,6656,11,0,6667,4.51%,4.52%,
106/12/18,-1,0,0,-1,6658,11,0,6669,4.51%,4.52%,
106/12/15,0,0,0,0,6659,11,0,6670,4.52%,4.53%,
