日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,-170,0,179,9,26910,238,187,27335,12.86%,13.06%,
107/03/30,-127,-3,0,-130,27080,238,8,27326,12.94%,13.06%,
107/03/29,-153,0,0,-153,27207,241,8,27456,13.00%,13.12%,
107/03/28,-384,0,0,-384,27360,241,8,27609,13.08%,13.20%,
107/03/27,-84,0,0,-84,27714,241,8,27963,13.25%,13.37%,
107/03/26,-170,0,1,-169,27798,241,8,28047,13.29%,13.41%,
107/03/23,-44,0,0,-44,27968,241,7,28216,13.37%,13.49%,
107/03/22,-64,0,0,-64,28012,241,7,28260,13.39%,13.51%,
107/03/21,-112,0,0,-112,28076,241,7,28324,13.42%,13.54%,
107/03/20,-21,-5,-1,-27,28188,241,7,28436,13.47%,13.59%,
107/03/19,-39,-5,0,-44,28219,246,8,28473,13.49%,13.61%,
107/03/16,-29,0,0,-29,28258,251,8,28517,13.51%,13.63%,
107/03/15,-24,0,1,-23,28287,251,8,28546,13.52%,13.64%,
107/03/14,-3,0,0,-3,28311,251,7,28569,13.53%,13.65%,
107/03/13,11,-5,0,6,28314,251,7,28572,13.53%,13.65%,
107/03/12,-13,0,1,-12,28303,256,7,28566,13.53%,13.66%,
107/03/09,-21,0,0,-21,28316,256,6,28578,13.53%,13.66%,
107/03/08,-52,0,0,-52,28337,256,6,28599,13.54%,13.67%,
107/03/07,-16,0,0,-16,28389,256,6,28651,13.57%,13.70%,
107/03/06,21,0,0,21,28405,256,6,28667,13.58%,13.71%,
107/03/05,-137,7,0,-130,28384,256,6,28646,13.57%,13.70%,
107/03/02,-128,0,0,-128,28521,249,6,28776,13.63%,13.75%,
107/03/01,-19,0,0,-19,28645,249,6,28900,13.69%,13.81%,
107/02/27,-72,0,0,-72,28664,249,6,28919,13.70%,13.82%,
107/02/26,-80,0,0,-80,28736,249,6,28991,13.73%,13.85%,
107/02/23,-66,0,0,-66,28816,249,6,29071,13.77%,13.89%,
107/02/22,-77,-3,0,-80,28882,249,6,29137,13.80%,13.92%,
107/02/21,-224,0,-2,-226,28959,252,6,29217,13.84%,13.96%,
107/02/12,-189,0,-2,-191,29183,252,8,29443,13.95%,14.07%,
107/02/09,18,0,0,18,29370,252,10,29632,14.04%,14.17%,
107/02/08,-90,0,0,-90,29353,252,10,29615,14.03%,14.16%,
107/02/07,-86,0,0,-86,29442,252,10,29704,14.07%,14.20%,
107/02/06,-161,0,0,-161,29528,252,10,29790,14.11%,14.24%,
107/02/05,-95,0,0,-95,29679,252,10,29941,14.19%,14.32%,
107/02/02,-51,0,0,-51,29774,252,10,30036,14.23%,14.36%,
107/02/01,-18,0,0,-18,29825,252,10,30087,14.26%,14.39%,
107/01/31,-67,0,0,-67,29843,252,10,30105,14.26%,14.39%,
107/01/30,-20,0,0,-20,29910,252,10,30172,14.30%,14.43%,
107/01/29,-40,0,0,-40,29930,252,10,30192,14.31%,14.44%,
107/01/26,-37,-7,0,-44,29970,252,10,30232,14.32%,14.45%,
107/01/25,-71,0,0,-71,30007,259,10,30276,14.34%,14.47%,
107/01/24,-44,-6,2,-48,30078,259,10,30347,14.38%,14.51%,
107/01/23,-73,0,0,-73,30122,265,8,30395,14.40%,14.53%,
107/01/22,-68,0,0,-68,30195,265,8,30468,14.43%,14.56%,
107/01/19,-30,0,0,-30,30263,265,8,30536,14.46%,14.59%,
107/01/18,-97,0,0,-97,30293,265,8,30566,14.48%,14.61%,
107/01/17,-4,0,0,-4,30390,265,8,30663,14.53%,14.66%,
107/01/16,-18,-7,0,-25,30394,265,8,30667,14.53%,14.66%,
107/01/15,-117,0,1,-116,30412,272,8,30692,14.54%,14.67%,
107/01/12,-75,0,0,-75,30529,272,7,30808,14.59%,14.72%,
107/01/11,32,0,-15,17,30604,272,7,30883,14.63%,14.76%,
107/01/10,-32,-6,0,-38,30572,272,22,30866,14.61%,14.75%,
107/01/09,-183,0,15,-168,30604,278,22,30904,14.63%,14.77%,
107/01/08,-169,0,0,-169,30787,278,7,31072,14.72%,14.86%,
107/01/05,-72,-5,0,-77,30956,278,7,31241,14.80%,14.94%,
107/01/04,-103,8,0,-95,31028,283,7,31318,14.83%,14.97%,
107/01/03,-155,0,0,-155,31131,275,7,31413,14.88%,15.01%,
107/01/02,-108,0,0,-108,31286,275,7,31568,14.95%,15.08%,
106/12/29,-76,0,0,-76,31394,275,7,31676,15.01%,15.14%,
106/12/28,-71,-3,4,-70,31470,275,7,31752,15.04%,15.17%,
106/12/27,-75,0,0,-75,31541,278,3,31822,15.08%,15.21%,
106/12/26,-54,-2,0,-56,31616,278,3,31897,15.11%,15.24%,
106/12/25,-81,0,-18,-99,31670,280,3,31953,15.14%,15.28%,
106/12/22,-42,0,0,-42,31751,280,21,32052,15.18%,15.32%,
106/12/21,-38,0,0,-38,31793,280,21,32094,15.20%,15.34%,
106/12/20,-83,0,0,-83,31835,280,21,32136,15.22%,15.36%,
106/12/19,-70,0,0,-70,31918,280,21,32219,15.26%,15.40%,
106/12/18,-58,0,-8,-66,31988,280,21,32289,15.29%,15.43%,
106/12/15,2,0,0,2,32046,280,29,32355,15.32%,15.47%,
106/12/14,-35,0,0,-35,32044,280,29,32353,15.32%,15.47%,
106/12/13,-14,0,0,-14,32079,280,29,32388,15.33%,15.48%,
106/12/12,-42,0,0,-42,32093,280,29,32402,15.34%,15.49%,
106/12/11,-60,0,0,-60,32135,280,29,32444,15.36%,15.51%,
106/12/08,-220,0,0,-220,32195,280,29,32504,15.39%,15.54%,
106/12/07,-42,0,0,-42,32427,280,29,32736,15.50%,15.65%,
106/12/06,-17,0,0,-17,32469,280,29,32778,15.52%,15.67%,
106/12/05,-51,141,0,90,32486,280,29,32795,15.53%,15.68%,
106/12/04,-20,0,0,-20,32537,139,29,32705,15.55%,15.63%,
