日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,-12,80,68,9269,6824,1881,17974,7.01%,13.55%,
107/03/30,119,-28,216,307,9269,6836,1801,17906,7.01%,13.50%,
107/03/29,215,-20,-93,102,9150,6864,1585,17599,6.92%,13.27%,
107/03/28,149,-409,26,-234,8935,6884,1678,17497,6.76%,13.19%,
107/03/27,-692,28,-87,-751,8786,7293,1652,17731,6.64%,13.36%,
107/03/26,1811,-100,-45,1666,9478,7265,1739,18482,7.17%,13.94%,
107/03/23,2979,50,-51,2978,7667,7365,1784,16816,5.80%,12.68%,
107/03/22,326,5,10,341,4688,7315,1835,13838,3.54%,10.42%,
107/03/21,102,2302,-41,2363,4362,7310,1825,13497,3.30%,10.17%,
107/03/20,162,0,-236,-74,4260,5008,1866,11134,3.22%,8.39%,
107/03/19,519,-8,44,555,4108,5008,2102,11218,3.10%,8.44%,
107/03/16,75,0,208,283,3589,5016,2058,10663,2.71%,8.03%,
107/03/15,129,0,106,235,3514,5016,1850,10380,2.65%,7.81%,
107/03/14,-782,200,-335,-917,3385,5016,1744,10145,2.56%,7.64%,
107/03/13,1063,400,2,1465,4167,4816,2079,11062,3.15%,8.33%,
107/03/12,-147,20,418,291,3094,4416,2077,9587,2.34%,7.22%,
107/03/09,146,0,519,665,3231,4396,1659,9286,2.44%,6.99%,
107/03/08,198,60,925,1183,3085,4396,1140,8621,2.33%,6.49%,
107/03/07,-6,0,-5,-11,2887,4336,215,7438,2.18%,5.60%,
107/03/06,-263,370,3,110,2893,4336,220,7449,2.17%,5.59%,
107/03/05,821,901,49,1771,3156,3966,217,7339,2.37%,5.51%,
107/03/02,-470,1108,0,638,2335,3065,168,5568,1.75%,4.18%,
107/03/01,22,430,150,602,2793,1957,168,4918,2.09%,3.69%,
107/02/27,-23,0,-4,-27,2771,1527,18,4316,2.08%,3.24%,
107/02/26,-94,268,0,174,2784,1527,22,4333,2.09%,3.25%,
107/02/23,49,301,0,350,2878,1259,22,4159,2.16%,3.12%,
107/02/22,-624,168,-4,-460,2829,958,22,3809,2.12%,2.86%,
107/02/21,548,134,5,687,3453,790,26,4269,2.59%,3.20%,
107/02/12,-120,189,-1,68,2905,656,21,3582,2.18%,2.69%,
107/02/09,-28,136,-1,107,3024,467,22,3513,2.27%,2.64%,
107/02/08,-87,204,0,117,3052,331,23,3406,2.29%,2.56%,
107/02/07,37,127,-4,160,3139,127,23,3289,2.35%,2.46%,
107/02/06,-63,0,-3,-66,3100,0,27,3127,2.32%,2.34%,
107/02/05,-9,0,-1,-10,3163,0,30,3193,2.37%,2.39%,
107/02/02,-6,0,-2,-8,3172,0,31,3203,2.38%,2.40%,
107/02/01,2,0,-1,1,3178,0,33,3211,2.38%,2.40%,
107/01/31,8,0,1,9,3176,0,34,3210,2.38%,2.41%,
107/01/30,12,0,1,13,3168,0,33,3201,2.38%,2.40%,
107/01/29,-1,0,0,-1,3156,0,32,3188,2.37%,2.39%,
107/01/26,-11,0,1,-10,3157,0,32,3189,2.37%,2.39%,
107/01/25,-16,0,0,-16,3168,0,31,3199,2.38%,2.40%,
107/01/24,15,0,-1,14,3184,0,31,3215,2.39%,2.41%,
107/01/23,-9,0,0,-9,3169,0,32,3201,2.38%,2.40%,
107/01/22,6,0,-1,5,3178,0,32,3210,2.38%,2.40%,
107/01/19,0,0,-4,-4,3172,0,33,3205,2.38%,2.40%,
107/01/18,-46,0,1,-45,3172,0,37,3209,2.38%,2.41%,
107/01/17,38,0,0,38,3218,0,36,3254,2.41%,2.44%,
