日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,49,27,57,133,131043,7205,8788,147036,46.77%,52.48%,
107/03/30,-163,9,107,-47,130994,7178,8731,146903,46.75%,52.43%,
107/03/29,213,69,27,309,131147,7169,8624,146940,46.81%,52.45%,
107/03/28,-181,42,-22,-161,130934,7100,8597,146631,46.73%,52.33%,
107/03/27,757,-8,-850,-101,131143,7058,8619,146820,46.81%,52.41%,
107/03/26,1773,122,-581,1314,130406,7066,9469,146941,46.54%,52.44%,
107/03/23,-51,207,-33,123,128617,6944,10050,145611,45.90%,51.97%,
107/03/22,-174,22,132,-20,128658,6737,10083,145478,45.92%,51.92%,
107/03/21,269,13,307,589,128830,6715,9951,145496,45.98%,51.93%,
107/03/20,-54,7,-10,-57,128560,6702,9644,144906,45.88%,51.71%,
107/03/19,0,-64,27,-37,128623,6695,9654,144972,45.91%,51.75%,
107/03/16,-158,7,-48,-199,128623,6759,9627,145009,45.91%,51.76%,
107/03/15,-167,-2,-16,-185,128781,6752,9675,145208,45.96%,51.82%,
107/03/14,-202,-10,-6,-218,128948,6754,9691,145393,46.02%,51.89%,
107/03/13,8,-5,106,109,129150,6764,9697,145611,46.09%,51.97%,
107/03/12,-29,-40,109,40,129142,6769,9591,145502,46.09%,51.93%,
107/03/09,-448,-33,-9,-490,129171,6809,9482,145462,46.10%,51.91%,
107/03/08,684,17,201,902,129618,6842,9491,145951,46.26%,52.09%,
107/03/07,1226,7,-118,1115,128934,6825,9290,145049,46.02%,51.77%,
107/03/06,305,6,68,379,127790,6818,9408,144016,45.61%,51.40%,
107/03/05,-177,66,-5,-116,127529,6812,9340,143681,45.52%,51.29%,
107/03/02,-391,129,-55,-317,127707,6745,9345,143797,45.58%,51.32%,
107/03/01,159,-2,-101,56,128068,6616,9400,144084,45.71%,51.43%,
