日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,-9,-9,174711,1606,45,176362,9.09%,9.18%,
107/03/30,-397,0,6,-391,174711,1606,54,176371,9.09%,9.18%,
107/03/29,-96,0,-66,-162,175108,1606,48,176762,9.11%,9.20%,
107/03/28,70,0,-32,38,175204,1606,114,176924,9.12%,9.21%,
107/03/27,-269,1,0,-268,175134,1606,146,176886,9.11%,9.20%,
107/03/26,-116,0,-6,-122,175403,1605,146,177154,9.13%,9.22%,
107/03/23,-459,0,-91,-550,175519,1605,152,177276,9.13%,9.22%,
107/03/22,-311,0,-7,-318,175978,1605,243,177826,9.16%,9.26%,
107/03/21,-613,0,0,-613,176289,1605,250,178144,9.17%,9.27%,
107/03/20,-110,-2,-8,-120,176902,1605,250,178757,9.21%,9.31%,
107/03/19,-478,0,0,-478,177012,1607,258,178877,9.21%,9.31%,
107/03/16,-1810,8,127,-1675,177553,1607,258,179418,9.24%,9.34%,
107/03/15,-301,0,13,-288,178770,1599,131,180500,9.30%,9.39%,
107/03/14,-385,0,112,-273,179071,1599,118,180788,9.32%,9.41%,
107/03/13,-153,0,2,-151,179456,1599,6,181061,9.34%,9.42%,
107/03/12,652,0,4,656,179609,1599,4,181212,9.35%,9.43%,
107/03/09,44,0,0,44,178957,1599,0,180556,9.31%,9.39%,
107/03/08,-199,0,0,-199,178913,1599,0,180512,9.31%,9.39%,
107/03/07,14,0,0,14,179112,1599,0,180711,9.32%,9.40%,
107/03/06,-324,0,-9,-333,179098,1599,0,180697,9.32%,9.40%,
107/03/05,-725,0,-116,-841,179422,1599,0,181021,9.34%,9.42%,
107/03/02,-965,1,-17,-981,180147,1599,0,181746,9.38%,9.46%,
107/03/01,692,0,0,692,181112,1598,0,182710,9.43%,9.51%,
107/02/27,58,0,-25,33,180420,1598,0,182018,9.39%,9.47%,
107/02/26,-58,0,0,-58,180334,1598,0,181932,9.39%,9.47%,
107/02/23,-16,0,0,-16,180392,1598,0,181990,9.39%,9.47%,
107/02/22,265,0,-38,227,180407,1598,0,182005,9.39%,9.47%,
107/02/21,609,0,3,612,180142,1598,3,181743,9.38%,9.46%,
107/02/12,-1350,76,-108,-1382,179533,1598,0,181131,9.34%,9.42%,
107/02/09,-1317,0,6,-1311,180883,1522,7,182412,9.41%,9.49%,
107/02/08,-213,1,1,-211,182200,1522,1,183723,9.48%,9.56%,
107/02/07,-1650,9,-21,-1662,182414,1521,0,183935,9.49%,9.57%,
107/02/06,-1180,0,-83,-1263,184064,1512,0,185576,9.58%,9.66%,
107/02/05,-730,0,5,-725,185241,1512,33,186786,9.64%,9.72%,
107/02/02,-234,0,-12,-246,185958,1512,28,187498,9.68%,9.76%,
107/02/01,-224,0,-49,-273,186192,1512,40,187744,9.69%,9.77%,
107/01/31,-574,-1,31,-544,186416,1512,89,188017,9.70%,9.78%,
107/01/30,-177,0,0,-177,186990,1513,58,188561,9.73%,9.81%,
107/01/29,-29,0,0,-29,187168,1513,58,188739,9.74%,9.82%,
107/01/26,648,0,2,650,187197,1513,58,188768,9.74%,9.82%,
107/01/25,112,23,1,136,186549,1513,56,188118,9.71%,9.79%,
107/01/24,909,0,0,909,186437,1490,55,187982,9.70%,9.78%,
107/01/23,499,0,0,499,185528,1490,55,187073,9.66%,9.74%,
107/01/22,30,24,0,54,185029,1490,55,186574,9.63%,9.71%,
107/01/19,461,32,-110,383,184999,1466,55,186520,9.63%,9.71%,
107/01/18,88,0,0,88,184538,1434,165,186137,9.60%,9.68%,
107/01/17,617,0,-4,613,184450,1434,165,186049,9.60%,9.68%,
107/01/16,143,0,0,143,183833,1434,169,185436,9.57%,9.65%,
107/01/15,853,0,0,853,183690,1434,169,185293,9.56%,9.64%,
107/01/12,509,0,4,513,182837,1434,169,184440,9.52%,9.60%,
107/01/11,485,0,0,485,182328,1434,165,183927,9.49%,9.57%,
107/01/10,336,0,0,336,181843,1434,165,183442,9.46%,9.54%,
107/01/09,-534,0,0,-534,181507,1434,165,183106,9.45%,9.53%,
107/01/08,521,0,0,521,182041,1434,165,183640,9.47%,9.55%,
107/01/05,946,0,0,946,181520,1434,165,183119,9.45%,9.53%,
107/01/04,536,0,0,536,180574,1434,165,182173,9.40%,9.48%,
107/01/03,759,0,0,759,180038,1434,165,181637,9.37%,9.45%,
107/01/02,422,0,115,537,179279,1434,165,180878,9.33%,9.41%,
106/12/29,221,0,5,226,178857,1434,50,180341,9.31%,9.39%,
106/12/28,251,0,1,252,178636,1434,45,180115,9.30%,9.38%,
106/12/27,-13,1,0,-12,178452,1434,44,179930,9.29%,9.37%,
106/12/26,-119,-1,4,-116,178465,1433,44,179942,9.29%,9.37%,
106/12/25,-104,0,0,-104,178584,1434,40,180058,9.29%,9.37%,
106/12/22,55,0,0,55,178688,1434,40,180162,9.30%,9.38%,
106/12/21,863,0,0,863,178633,1434,40,180107,9.30%,9.38%,
106/12/20,-273,0,0,-273,177770,1434,40,179244,9.25%,9.33%,
106/12/19,278,0,-10,268,178043,1434,40,179517,9.27%,9.35%,
106/12/18,-22,0,-101,-123,178364,1434,50,179848,9.28%,9.36%,
106/12/15,925,-1,0,924,178386,1434,151,179971,9.28%,9.36%,
106/12/14,30,0,0,30,177462,1435,151,179048,9.24%,9.32%,
106/12/13,1147,0,0,1147,177431,1435,151,179017,9.23%,9.31%,
106/12/12,549,1,93,643,176285,1435,151,177871,9.17%,9.25%,
106/12/11,602,0,15,617,175736,1434,58,177228,9.15%,9.23%,
106/12/08,1039,0,0,1039,175134,1434,43,176611,9.11%,9.19%,
106/12/07,921,0,0,921,174095,1434,43,175572,9.06%,9.14%,
106/12/06,1391,2,-95,1298,173174,1434,43,174651,9.01%,9.09%,
106/12/05,837,0,15,852,171783,1432,138,173353,8.94%,9.02%,
106/12/04,1325,0,0,1325,170946,1432,123,172501,8.90%,8.98%,
106/12/01,1770,0,93,1863,169621,1432,123,171176,8.83%,8.91%,
106/11/30,2323,0,0,2323,167851,1432,30,169313,8.74%,8.82%,
106/11/29,631,-10,14,635,165528,1432,30,166990,8.61%,8.69%,
106/11/28,620,-3,0,617,164887,1442,16,166345,8.58%,8.66%,
106/11/27,197,0,0,197,164257,1445,16,165718,8.55%,8.63%,
106/11/24,192,0,-68,124,164060,1445,16,165521,8.54%,8.62%,
106/11/23,293,0,-6,287,163868,1445,84,165397,8.53%,8.61%,
106/11/22,1174,-94,1,1081,163565,1445,90,165100,8.51%,8.59%,
106/11/21,3527,0,-6,3521,162377,1539,89,164005,8.45%,8.53%,
106/11/20,160,0,0,160,158837,1539,95,160471,8.27%,8.36%,
106/11/17,383,0,-4,379,158621,1539,95,160255,8.25%,8.34%,
106/11/16,114,0,-6,108,158027,1539,99,159665,8.22%,8.31%,
106/11/15,617,0,1,618,157871,1539,105,159515,8.22%,8.31%,
106/11/14,1250,-2,-14,1234,157216,1539,104,158859,8.18%,8.27%,
106/11/13,368,0,60,428,155935,1541,118,157594,8.11%,8.20%,
