日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,183,183,24094,141,359,24594,5.13%,5.24%,
107/03/30,45,-2,78,121,24094,141,176,24411,5.13%,5.20%,
107/03/29,-27,0,0,-27,24049,143,98,24290,5.12%,5.17%,
107/03/28,20,0,0,20,24076,143,98,24317,5.13%,5.18%,
107/03/27,20,0,0,20,24056,143,98,24297,5.12%,5.17%,
107/03/26,28,0,60,88,24036,143,98,24277,5.12%,5.17%,
107/03/23,159,0,-1,158,24008,143,38,24189,5.11%,5.15%,
107/03/22,1,0,0,1,23849,143,39,24031,5.08%,5.12%,
107/03/21,-27,0,0,-27,23848,143,39,24030,5.08%,5.12%,
107/03/20,34,-5,0,29,23875,143,39,24057,5.09%,5.13%,
107/03/19,-42,-2,1,-43,23841,148,39,24028,5.08%,5.12%,
107/03/16,-47,0,0,-47,23893,150,38,24081,5.09%,5.13%,
107/03/15,-31,0,1,-30,23940,150,38,24128,5.10%,5.14%,
107/03/14,1,0,0,1,23971,150,37,24158,5.11%,5.15%,
107/03/13,-17,-4,0,-21,23970,150,37,24157,5.11%,5.15%,
107/03/12,-13,0,1,-12,23987,154,37,24178,5.11%,5.15%,
107/03/09,-59,0,0,-59,24000,154,36,24190,5.11%,5.15%,
107/03/08,-89,0,0,-89,24059,154,36,24249,5.13%,5.17%,
107/03/07,-59,0,1,-58,24148,154,36,24338,5.14%,5.18%,
107/03/06,-21,0,0,-21,24207,154,35,24396,5.16%,5.20%,
107/03/05,-162,-36,0,-198,24228,154,35,24417,5.16%,5.20%,
107/03/02,-127,0,0,-127,24390,190,35,24615,5.20%,5.25%,
107/03/01,-17,0,-35,-52,24511,190,35,24736,5.22%,5.27%,
107/02/27,-49,0,35,-14,24528,190,70,24788,5.23%,5.29%,
107/02/26,-13,0,0,-13,24567,190,35,24792,5.23%,5.28%,
107/02/23,33,0,0,33,24580,190,35,24805,5.24%,5.29%,
107/02/22,-26,-3,0,-29,24547,190,35,24772,5.23%,5.28%,
107/02/21,-49,0,1,-48,24573,193,35,24801,5.23%,5.28%,
107/02/12,311,0,-5,306,24622,193,34,24849,5.25%,5.30%,
107/02/09,-33,0,0,-33,24311,193,39,24543,5.18%,5.23%,
107/02/08,-68,0,1,-67,24344,193,39,24576,5.19%,5.24%,
107/02/07,-123,0,0,-123,24412,193,38,24643,5.20%,5.25%,
107/02/06,-175,0,-4,-179,24535,193,38,24766,5.23%,5.28%,
107/02/05,21,0,6,27,24710,193,42,24945,5.26%,5.31%,
107/02/02,-23,0,0,-23,24689,193,36,24918,5.26%,5.31%,
107/02/01,-21,0,0,-21,24712,193,36,24941,5.26%,5.31%,
107/01/31,-37,-49,1,-85,24733,193,36,24962,5.27%,5.32%,
107/01/30,37,0,0,37,24770,242,35,25047,5.28%,5.34%,
107/01/29,14,0,0,14,24733,242,35,25010,5.27%,5.33%,
107/01/26,66,-12,0,54,24719,242,35,24996,5.27%,5.33%,
107/01/25,9,0,0,9,24653,254,35,24942,5.25%,5.31%,
107/01/24,66,-10,0,56,24644,254,35,24933,5.25%,5.31%,
107/01/23,61,0,0,61,24578,264,35,24877,5.24%,5.30%,
107/01/22,65,0,0,65,24517,264,35,24816,5.22%,5.28%,
107/01/19,32,0,1,33,24452,264,35,24751,5.21%,5.27%,
107/01/18,22,0,0,22,24420,264,34,24718,5.20%,5.26%,
107/01/17,133,0,0,133,24398,264,34,24696,5.20%,5.26%,
107/01/16,-11,-11,2,-20,24265,264,34,24563,5.17%,5.23%,
107/01/15,43,0,2,45,24276,275,32,24583,5.17%,5.24%,
107/01/12,34,0,0,34,24233,275,30,24538,5.16%,5.23%,
107/01/11,25,0,0,25,24199,275,30,24504,5.15%,5.22%,
107/01/10,40,-10,0,30,24174,275,30,24479,5.15%,5.22%,
107/01/09,-39,0,0,-39,24134,285,30,24449,5.14%,5.21%,
107/01/08,20,0,-9,11,24173,285,30,24488,5.15%,5.22%,
107/01/05,50,-9,0,41,24153,285,39,24477,5.15%,5.22%,
107/01/04,53,6,0,59,24103,294,39,24436,5.13%,5.20%,
107/01/03,61,0,0,61,24050,288,39,24377,5.12%,5.19%,
107/01/02,44,0,0,44,23989,288,39,24316,5.11%,5.18%,
106/12/29,241,0,7,248,23945,288,39,24272,5.10%,5.17%,
106/12/28,10,14,0,24,23704,288,32,24024,5.05%,5.12%,
106/12/27,64,16,0,80,23694,274,32,24000,5.05%,5.12%,
106/12/26,26,13,2,41,23630,258,32,23920,5.03%,5.09%,
106/12/25,-8,0,0,-8,23604,245,30,23879,5.03%,5.09%,
106/12/22,7,0,0,7,23612,245,30,23887,5.03%,5.09%,
106/12/21,-17,0,0,-17,23605,245,30,23880,5.03%,5.09%,
106/12/20,9,0,0,9,23622,245,30,23897,5.03%,5.09%,
106/12/19,17,0,0,17,23613,245,30,23888,5.03%,5.09%,
106/12/18,-26,0,-1,-27,23596,245,30,23871,5.03%,5.09%,
106/12/15,61,0,0,61,23622,245,31,23898,5.03%,5.09%,
106/12/14,71,0,0,71,23561,245,31,23837,5.02%,5.08%,
106/12/13,141,0,0,141,23490,245,31,23766,5.00%,5.06%,
106/12/12,99,0,0,99,23349,245,31,23625,4.97%,5.03%,
106/12/11,93,0,0,93,23250,245,31,23526,4.95%,5.01%,
106/12/08,100,0,0,100,23157,245,31,23433,4.93%,4.99%,
106/12/07,112,0,0,112,23060,245,31,23336,4.91%,4.97%,
106/12/06,55,0,0,55,22948,245,31,23224,4.89%,4.95%,
106/12/05,203,245,0,448,22893,245,31,23169,4.88%,4.94%,
106/12/04,105,0,0,105,22690,0,31,22721,4.83%,4.84%,
106/12/01,86,0,0,86,22605,0,31,22636,4.82%,4.83%,
106/11/30,30,0,0,30,22519,0,31,22550,4.80%,4.81%,
106/11/29,95,0,1,96,22489,0,31,22520,4.79%,4.80%,
106/11/28,257,0,0,257,22394,0,30,22424,4.77%,4.78%,
106/11/27,175,0,0,175,22137,0,30,22167,4.72%,4.73%,
106/11/24,244,0,0,244,21962,0,30,21992,4.68%,4.69%,
106/11/23,313,0,0,313,21718,0,30,21748,4.63%,4.64%,
106/11/22,329,0,0,329,21405,0,30,21435,4.56%,4.57%,
106/11/21,300,0,0,300,21076,0,30,21106,4.49%,4.50%,
106/11/20,350,0,-7,343,20776,0,30,20806,4.43%,4.44%,
106/11/17,411,0,0,411,20426,0,37,20463,4.35%,4.36%,
106/11/16,205,0,0,205,20015,0,37,20052,4.26%,4.27%,
106/11/15,205,0,0,205,19810,0,37,19847,4.22%,4.23%,
106/11/14,209,0,-2,207,19605,0,37,19642,4.18%,4.19%,
106/11/13,108,0,0,108,19396,0,39,19435,4.13%,4.14%,
106/11/10,105,0,0,105,19323,0,39,19362,4.12%,4.13%,
106/11/09,114,0,0,114,19298,0,39,19337,4.11%,4.12%,
106/11/08,139,0,0,139,19283,0,39,19322,4.11%,4.12%,
106/11/07,116,0,0,116,19144,0,39,19183,4.08%,4.09%,
106/11/06,14,0,0,14,19028,0,39,19067,4.05%,4.06%,
106/11/03,91,0,0,91,19014,0,39,19053,4.05%,4.06%,
106/11/02,40,0,0,40,18923,0,39,18962,4.03%,4.04%,
106/11/01,57,0,0,57,18883,0,39,18922,4.02%,4.03%,
106/10/31,33,0,0,33,18726,0,39,18765,3.99%,4.00%,
106/10/30,-104,0,0,-104,18693,0,39,18732,3.98%,3.99%,
106/10/27,-155,0,0,-155,18797,0,39,18836,4.00%,4.01%,
106/10/26,-289,0,0,-289,18952,0,39,18991,4.04%,4.05%,
106/10/25,-22,0,1,-21,19238,0,39,19277,4.10%,4.11%,
106/10/24,47,0,0,47,19309,0,38,19347,4.11%,4.12%,
106/10/23,41,0,0,41,19332,0,38,19370,4.12%,4.13%,
106/10/20,-629,0,5,-624,19291,0,38,19329,4.11%,4.12%,
106/10/19,-7,0,-5,-12,19910,0,33,19943,4.24%,4.25%,
106/10/18,-77,0,0,-77,19917,0,38,19955,4.24%,4.25%,
106/10/17,-116,0,0,-116,19994,0,38,20032,4.26%,4.27%,
106/10/16,-100,-119,0,-219,20110,0,38,20148,4.28%,4.29%,
106/10/13,-23,0,0,-23,20130,119,38,20287,4.29%,4.32%,
106/10/12,-71,-150,0,-221,20054,119,38,20211,4.27%,4.30%,
106/10/11,-265,0,-1,-266,20125,269,38,20432,4.29%,4.36%,
106/10/06,-173,0,0,-173,20310,269,39,20618,4.33%,4.40%,
106/10/05,-109,0,0,-109,20483,269,39,20791,4.36%,4.43%,
106/10/03,-75,-150,0,-225,20336,269,39,20644,4.33%,4.40%,
106/10/02,-6,-160,0,-166,20411,419,39,20869,4.35%,4.45%,
106/09/30,0,-150,0,-150,20417,579,39,21035,4.35%,4.48%,
106/09/29,143,0,0,143,20417,700,39,21156,4.35%,4.51%,
106/09/28,-24,0,0,-24,20274,700,39,21013,4.32%,4.48%,
106/09/27,-78,0,0,-78,20298,700,39,21037,4.32%,4.48%,
106/09/26,-28,0,-1,-29,20376,700,39,21115,4.34%,4.50%,
106/09/25,4,0,1,5,20404,700,40,21144,4.35%,4.51%,
106/09/22,-16,0,3,-13,20400,700,39,21139,4.34%,4.50%,
106/09/21,11,0,0,11,20416,700,36,21152,4.35%,4.51%,
106/09/20,7,0,-12,-5,20405,700,36,21141,4.35%,4.51%,
106/09/19,55,0,1,56,20398,700,48,21146,4.34%,4.50%,
106/09/18,32,0,0,32,20343,700,47,21090,4.33%,4.49%,
106/09/15,-109,0,0,-109,20311,700,47,21058,4.33%,4.49%,
106/09/14,-54,0,0,-54,20420,700,47,21167,4.35%,4.51%,
106/09/13,103,0,-2,101,20474,700,47,21221,4.36%,4.52%,
106/09/12,-48,0,0,-48,20371,700,49,21120,4.34%,4.50%,
