日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,-1,0,2,1,14907,26,163,15096,2.65%,2.68%,
107/03/30,28,0,50,78,14908,26,161,15095,2.65%,2.68%,
107/03/29,22,0,65,87,14880,26,111,15017,2.64%,2.66%,
107/03/28,29,0,0,29,14858,26,46,14930,2.64%,2.65%,
107/03/27,26,0,0,26,14829,26,46,14901,2.63%,2.64%,
107/03/26,-12,0,-1,-13,14773,26,46,14845,2.62%,2.63%,
107/03/23,23,0,0,23,14785,26,47,14858,2.62%,2.63%,
107/03/22,28,0,0,28,14762,26,47,14835,2.62%,2.63%,
107/03/21,-11,0,-1,-12,14734,26,47,14807,2.62%,2.63%,
107/03/20,83,0,0,83,14745,26,48,14819,2.62%,2.63%,
107/03/19,-365,-2,0,-367,14672,26,48,14746,2.60%,2.61%,
107/03/16,7,0,0,7,15037,28,48,15113,2.67%,2.68%,
107/03/15,-3,0,0,-3,15030,28,48,15106,2.67%,2.68%,
107/03/14,8,0,0,8,15033,28,48,15109,2.67%,2.68%,
107/03/13,158,0,0,158,15025,28,48,15101,2.67%,2.68%,
107/03/12,78,0,18,96,14867,28,48,14943,2.64%,2.65%,
107/03/09,-2,0,0,-2,14789,28,30,14847,2.63%,2.64%,
107/03/08,0,0,0,0,14791,28,30,14849,2.63%,2.64%,
107/03/07,78,0,20,98,14791,28,30,14849,2.63%,2.64%,
107/03/06,61,0,0,61,14713,28,10,14751,2.61%,2.62%,
107/03/05,-32,0,0,-32,14652,28,10,14690,2.60%,2.61%,
107/03/02,-35,0,-1,-36,14684,28,10,14722,2.61%,2.62%,
107/03/01,48,0,0,48,14719,28,11,14758,2.61%,2.62%,
107/02/27,58,0,0,58,14671,28,11,14710,2.60%,2.61%,
107/02/26,50,0,0,50,14613,28,11,14652,2.59%,2.60%,
107/02/23,-44,0,0,-44,14563,28,11,14602,2.59%,2.60%,
107/02/22,-14,0,0,-14,14607,28,11,14646,2.59%,2.60%,
107/02/21,-24,0,0,-24,14621,28,11,14660,2.60%,2.61%,
107/02/12,-22,0,-74,-96,14645,28,11,14684,2.60%,2.61%,
107/02/09,83,0,0,83,14667,28,85,14780,2.60%,2.62%,
107/02/08,21,0,0,21,14584,28,85,14697,2.59%,2.61%,
107/02/07,2,0,-4,-2,14563,28,85,14676,2.59%,2.61%,
107/02/06,-58,0,1,-57,14561,28,89,14678,2.58%,2.60%,
107/02/05,-35,0,2,-33,14619,28,88,14735,2.59%,2.61%,
107/02/02,-3,0,0,-3,14654,28,86,14768,2.60%,2.62%,
107/02/01,-19,0,0,-19,14657,28,86,14771,2.60%,2.62%,
107/01/31,-18,0,0,-18,14676,28,86,14790,2.61%,2.63%,
107/01/30,-12,0,0,-12,14694,28,86,14808,2.61%,2.63%,
107/01/29,-1,0,0,-1,14696,28,86,14810,2.61%,2.63%,
107/01/26,3,0,0,3,14697,28,86,14811,2.61%,2.63%,
107/01/25,63,0,-1,62,14694,28,86,14808,2.61%,2.63%,
107/01/24,103,0,4,107,14631,28,87,14746,2.60%,2.62%,
107/01/23,58,0,-25,33,14528,28,83,14639,2.58%,2.60%,
107/01/22,107,0,0,107,14470,28,108,14606,2.57%,2.59%,
107/01/19,52,0,0,52,14363,28,108,14499,2.55%,2.57%,
107/01/18,82,0,0,82,14311,28,108,14447,2.54%,2.56%,
107/01/17,34,0,0,34,14229,28,108,14365,2.53%,2.55%,
107/01/16,12,0,0,12,14195,28,108,14331,2.52%,2.54%,
107/01/15,52,0,0,52,14183,28,108,14319,2.52%,2.54%,
