日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,-4,-4,25565,5,37,25607,16.03%,16.06%,
107/03/30,-36,0,4,-32,25565,5,41,25611,16.03%,16.06%,
107/03/29,-15,0,-3,-18,25601,5,37,25643,16.05%,16.08%,
107/03/28,14,0,-1,13,25616,5,40,25661,16.06%,16.09%,
107/03/27,-17,0,0,-17,25602,5,41,25648,16.05%,16.08%,
107/03/26,-21,0,-1,-22,25619,5,41,25665,16.06%,16.09%,
107/03/23,57,0,-4,53,25640,5,42,25687,16.07%,16.10%,
107/03/22,14,0,7,21,25583,5,46,25634,16.04%,16.07%,
107/03/21,-5,0,0,-5,25569,5,39,25613,16.03%,16.06%,
107/03/20,11,0,0,11,25574,5,39,25618,16.03%,16.06%,
107/03/19,-69,-3,2,-70,25593,5,39,25637,16.04%,16.07%,
107/03/16,33,0,-1,32,25662,8,37,25707,16.09%,16.12%,
107/03/15,104,0,2,106,25629,8,38,25675,16.07%,16.10%,
107/03/14,244,0,0,244,25525,8,36,25569,16.00%,16.03%,
107/03/13,55,0,0,55,25281,8,36,25325,15.85%,15.88%,
107/03/12,-47,0,3,-44,25226,8,36,25270,15.81%,15.84%,
107/03/09,11,0,-1,10,25253,8,33,25294,15.83%,15.86%,
107/03/08,77,0,0,77,25252,8,34,25294,15.83%,15.86%,
107/03/07,215,0,1,216,25175,8,34,25217,15.78%,15.81%,
107/03/06,82,0,0,82,24960,8,33,25001,15.65%,15.68%,
107/03/05,98,0,0,98,24878,8,33,24919,15.59%,15.62%,
107/03/02,73,0,0,73,24780,8,33,24821,15.53%,15.56%,
107/03/01,260,0,-1,259,24704,8,33,24745,15.49%,15.52%,
107/02/27,271,0,0,271,24444,8,34,24486,15.32%,15.35%,
107/02/26,-4,0,11,7,24173,8,34,24215,15.15%,15.18%,
107/02/23,14,0,0,14,24167,8,23,24198,15.15%,15.17%,
107/02/22,-35,0,0,-35,24153,8,23,24184,15.14%,15.16%,
107/02/21,-411,0,0,-411,24187,8,23,24218,15.16%,15.18%,
107/02/12,-282,0,-3,-285,24599,8,23,24630,15.42%,15.44%,
107/02/09,0,0,2,2,24878,8,26,24912,15.59%,15.61%,
107/02/08,-170,0,0,-170,24878,8,24,24910,15.59%,15.61%,
107/02/07,-1189,0,-5,-1194,25048,8,24,25080,15.70%,15.72%,
107/02/06,-295,0,-1,-296,26234,8,29,26271,16.44%,16.46%,
107/02/05,-150,0,1,-149,26529,8,30,26567,16.63%,16.65%,
107/02/02,-95,0,-1,-96,26679,8,29,26716,16.72%,16.74%,
107/02/01,-124,0,0,-124,26774,8,30,26812,16.78%,16.80%,
107/01/31,-97,0,1,-96,26898,8,30,26936,16.86%,16.88%,
107/01/30,-91,0,0,-91,27103,8,29,27140,16.99%,17.01%,
107/01/29,-62,0,0,-62,27194,8,29,27231,17.05%,17.07%,
107/01/26,-44,0,1,-43,27256,8,29,27293,17.09%,17.11%,
107/01/25,-77,0,1,-76,27300,8,28,27336,17.11%,17.13%,
107/01/24,23,0,0,23,27377,8,27,27412,17.16%,17.18%,
107/01/23,-1,0,0,-1,27354,8,27,27389,17.15%,17.17%,
107/01/22,-32,0,0,-32,27355,8,27,27390,17.15%,17.17%,
107/01/19,-33,0,0,-33,27387,8,27,27422,17.17%,17.19%,
107/01/18,-29,0,0,-29,27420,8,27,27455,17.19%,17.21%,
107/01/17,3,0,-1,2,27449,8,27,27484,17.21%,17.23%,
107/01/16,-7,0,-7,-14,27446,8,28,27482,17.20%,17.22%,
107/01/15,-150,0,0,-150,27453,8,35,27496,17.21%,17.24%,
107/01/12,217,0,0,217,27603,8,35,27646,17.30%,17.33%,
107/01/11,-38,0,0,-38,27386,8,35,27429,17.17%,17.20%,
107/01/10,-126,0,0,-126,27424,8,35,27467,17.19%,17.22%,
107/01/09,-81,0,0,-81,27550,8,35,27593,17.27%,17.30%,
107/01/08,-57,0,7,-50,27631,8,35,27674,17.32%,17.35%,
107/01/05,120,0,0,120,27688,8,28,27724,17.36%,17.38%,
107/01/04,-76,0,0,-76,27568,8,28,27604,17.28%,17.30%,
107/01/03,5,0,7,12,27644,8,28,27680,17.33%,17.35%,
107/01/02,177,0,0,177,27639,8,21,27668,17.33%,17.35%,
106/12/29,67,0,0,67,27462,8,21,27491,17.21%,17.23%,
106/12/28,16,10,-2,24,27395,85,21,27501,17.17%,17.24%,
106/12/27,-8,1,1,-6,27379,75,23,27477,17.16%,17.22%,
106/12/26,-312,0,0,-312,27382,74,22,27478,17.16%,17.22%,
106/12/25,-38,0,-1,-39,27649,74,22,27745,17.33%,17.39%,
106/12/22,37,0,1,38,27687,74,23,27784,17.36%,17.42%,
106/12/21,-10,0,0,-10,27650,74,22,27746,17.33%,17.39%,
106/12/20,101,0,0,101,27660,74,22,27756,17.34%,17.40%,
106/12/19,2,0,0,2,27559,74,22,27655,17.28%,17.34%,
106/12/18,30,0,-1,29,27557,74,22,27653,17.27%,17.33%,
106/12/15,-133,0,0,-133,27527,74,23,27624,17.26%,17.32%,
106/12/14,113,0,-1,112,27660,74,23,27757,17.34%,17.40%,
106/12/13,-36,0,0,-36,27547,74,24,27645,17.27%,17.33%,
106/12/12,-13,0,0,-13,27583,74,24,27681,17.29%,17.35%,
106/12/11,45,0,0,45,27596,74,24,27694,17.30%,17.36%,
106/12/08,-87,0,0,-87,27551,74,24,27649,17.27%,17.33%,
106/12/07,-17,0,0,-17,27628,74,24,27726,17.32%,17.38%,
106/12/06,-31,0,2,-29,27645,74,24,27743,17.33%,17.39%,
106/12/05,7,0,0,7,27676,74,22,27772,17.35%,17.41%,
106/12/04,-129,0,0,-129,27669,74,22,27765,17.34%,17.40%,
106/12/01,-183,0,0,-183,27788,74,22,27884,17.42%,17.48%,
106/11/30,-102,0,1,-101,27971,74,22,28067,17.53%,17.59%,
106/11/29,-188,-51,0,-239,28073,74,21,28168,17.60%,17.66%,
106/11/28,-205,-113,0,-318,28261,125,21,28407,17.72%,17.81%,
106/11/27,-82,0,0,-82,28466,238,21,28725,17.84%,18.00%,
106/11/24,-156,0,2,-154,28548,238,21,28807,17.90%,18.06%,
106/11/23,-204,0,0,-204,28704,238,19,28961,17.99%,18.15%,
106/11/22,13,0,0,13,28908,238,19,29165,18.12%,18.28%,
106/11/21,-252,0,-10,-262,28895,238,19,29152,18.11%,18.27%,
106/11/20,-82,-6,0,-88,29147,238,29,29414,18.27%,18.44%,
106/11/17,-202,-30,0,-232,29229,244,29,29502,18.32%,18.49%,
106/11/16,-9,0,0,-9,29431,274,29,29734,18.45%,18.64%,
106/11/15,-191,-200,0,-391,29440,274,29,29743,18.46%,18.65%,
106/11/14,-268,0,0,-268,29631,474,29,30134,18.57%,18.89%,
106/11/13,-269,0,1,-268,29899,474,29,30402,18.74%,19.06%,
106/11/10,-26,0,1,-25,30168,474,28,30670,18.91%,19.22%,
106/11/09,-621,0,0,-621,30214,474,27,30715,18.94%,19.25%,
106/11/08,-204,-161,0,-365,30835,474,27,31336,19.33%,19.64%,
106/11/07,-689,0,0,-689,31029,635,27,31691,19.45%,19.87%,
106/11/06,240,0,-7,233,31718,635,27,32380,19.88%,20.30%,
106/11/03,-82,0,0,-82,31458,635,34,32127,19.72%,20.14%,
106/11/02,111,0,0,111,31559,635,34,32228,19.78%,20.20%,
106/11/01,-120,0,0,-120,31448,635,34,32117,19.71%,20.13%,
106/10/31,-304,0,-2,-306,31568,635,34,32237,19.79%,20.21%,
106/10/30,-510,0,6,-504,31945,635,36,32616,20.03%,20.45%,
106/10/27,-566,0,0,-566,32455,635,30,33120,20.35%,20.77%,
106/10/26,-1348,0,-2,-1350,32801,635,30,33466,20.56%,20.98%,
106/10/25,-49,0,0,-49,34149,635,32,34816,21.41%,21.83%,
106/10/24,133,0,0,133,34198,635,32,34865,21.44%,21.86%,
106/10/23,31,0,0,31,34065,635,32,34732,21.36%,21.78%,
106/10/20,-27,0,1,-26,34034,635,32,34701,21.34%,21.76%,
106/10/19,23,-5,-3,15,34061,635,31,34727,21.35%,21.77%,
106/10/18,-54,0,0,-54,34038,640,34,34712,21.34%,21.76%,
106/10/17,-153,0,0,-153,34092,640,34,34766,21.37%,21.79%,
106/10/16,-98,0,0,-98,34245,640,34,34919,21.47%,21.89%,
106/10/13,3,0,0,3,34343,640,34,35017,21.53%,21.95%,
106/10/12,-55,0,0,-55,34350,640,34,35024,21.53%,21.95%,
106/10/11,-141,0,0,-141,34405,640,34,35079,21.57%,21.99%,
106/10/06,-183,0,0,-183,34546,640,34,35220,21.66%,22.08%,
106/10/05,-135,61,0,-74,34729,640,34,35403,21.77%,22.19%,
106/10/03,-233,100,0,-133,34864,579,34,35477,21.86%,22.24%,
106/10/02,-185,0,-4,-189,35097,479,34,35610,22.00%,22.32%,
106/09/30,0,0,0,0,35282,479,38,35799,22.12%,22.44%,
106/09/29,-340,0,0,-340,35282,479,38,35799,22.12%,22.44%,
106/09/28,-171,0,-1,-172,35622,479,38,36139,22.33%,22.65%,
106/09/27,-77,0,-2,-79,35794,479,39,36312,22.44%,22.76%,
106/09/26,-336,0,0,-336,35871,479,41,36391,22.49%,22.82%,
106/09/25,-132,0,1,-131,36207,479,41,36727,22.70%,23.03%,
106/09/22,-530,0,6,-524,36339,479,40,36858,22.78%,23.11%,
106/09/21,-116,0,0,-116,36869,479,34,37382,23.11%,23.43%,
