日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,68,68,579,229,104,912,1.08%,1.70%,
107/03/30,115,-38,0,77,579,229,36,844,1.08%,1.58%,
107/03/29,-163,0,0,-163,464,267,36,767,0.87%,1.44%,
107/03/28,246,0,-9,237,651,267,36,954,1.22%,1.79%,
107/03/27,127,0,9,136,405,267,45,717,0.76%,1.34%,
107/03/26,-358,0,-8,-366,278,267,36,581,0.52%,1.09%,
107/03/23,336,0,3,339,586,267,44,897,1.10%,1.68%,
107/03/22,11,0,-33,-22,250,267,41,558,0.46%,1.04%,
107/03/21,-252,15,5,-232,239,267,74,580,0.44%,1.08%,
107/03/20,261,0,30,291,502,252,69,823,0.93%,1.53%,
107/03/19,16,0,0,16,231,252,39,522,0.43%,0.97%,
107/03/16,76,0,0,76,225,252,39,516,0.41%,0.95%,
107/03/15,-289,0,1,-288,149,252,39,440,0.27%,0.81%,
107/03/14,289,70,-3,356,438,252,38,728,0.81%,1.35%,
107/03/13,-8,0,38,30,139,182,41,362,0.25%,0.67%,
107/03/12,-306,120,3,-183,133,182,3,318,0.24%,0.59%,
107/03/09,290,0,0,290,439,62,0,501,0.81%,0.93%,
107/03/08,-50,0,0,-50,149,62,0,211,0.27%,0.39%,
107/03/07,-25,0,-2,-27,226,62,0,288,0.42%,0.54%,
107/03/06,88,0,0,88,251,62,1,314,0.46%,0.58%,
107/03/05,-2,0,0,-2,163,62,1,226,0.30%,0.42%,
107/03/02,-1,0,0,-1,165,62,1,228,0.30%,0.42%,
107/03/01,-2,0,0,-2,166,62,1,229,0.30%,0.42%,
107/02/27,0,0,0,0,168,62,1,231,0.31%,0.43%,
107/02/26,-5,0,0,-5,168,62,1,231,0.31%,0.43%,
107/02/23,-3,0,0,-3,173,62,1,236,0.32%,0.44%,
107/02/22,10,0,0,10,176,62,1,239,0.32%,0.44%,
107/02/21,3,0,0,3,166,62,1,229,0.30%,0.42%,
107/02/12,-16,0,-1,-17,163,62,1,226,0.30%,0.42%,
107/02/09,4,0,0,4,313,62,2,377,0.58%,0.70%,
107/02/08,0,0,1,1,309,62,2,373,0.57%,0.69%,
107/02/07,1,0,1,2,309,62,1,372,0.57%,0.69%,
107/02/06,-6,0,0,-6,308,62,0,370,0.57%,0.69%,
107/02/05,0,0,0,0,387,62,0,449,0.72%,0.84%,
107/02/02,0,0,0,0,387,62,0,449,0.72%,0.84%,
107/02/01,0,0,0,0,387,62,0,449,0.72%,0.84%,
107/01/31,0,0,0,0,387,62,0,449,0.72%,0.84%,
107/01/30,-1,0,0,-1,387,62,0,449,0.72%,0.84%,
107/01/29,0,0,0,0,388,62,0,450,0.72%,0.84%,
107/01/26,-1,0,0,-1,388,62,0,450,0.72%,0.84%,
107/01/25,-1,0,0,-1,389,62,0,451,0.72%,0.84%,
107/01/24,0,0,0,0,390,62,0,452,0.72%,0.84%,
107/01/23,-1,0,0,-1,390,62,0,452,0.72%,0.84%,
107/01/22,-1,0,0,-1,391,62,0,453,0.73%,0.85%,
107/01/19,28,0,0,28,392,62,0,454,0.73%,0.85%,
107/01/18,10,0,0,10,364,62,0,426,0.67%,0.79%,
