日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,0,0,32071,0,950,33021,8.74%,9.00%,
107/03/30,1,0,0,1,32071,0,950,33021,8.74%,9.00%,
107/03/29,-8,0,0,-8,32070,0,950,33020,8.74%,9.00%,
107/03/28,-6,0,0,-6,32078,0,950,33028,8.74%,9.00%,
107/03/27,-11,0,0,-11,32084,0,950,33034,8.74%,9.00%,
107/03/26,-34,0,0,-34,32095,0,950,33045,8.74%,9.00%,
107/03/23,-21,0,0,-21,32129,0,950,33079,8.75%,9.01%,
107/03/22,-23,0,0,-23,32150,0,950,33100,8.76%,9.02%,
107/03/21,-1,0,0,-1,32173,0,950,33123,8.76%,9.02%,
107/03/20,-4,0,0,-4,32174,0,950,33124,8.76%,9.02%,
107/03/19,5,0,0,5,32188,0,950,33138,8.77%,9.03%,
107/03/16,-209,0,10,-199,32183,0,950,33133,8.77%,9.03%,
107/03/15,-1,0,0,-1,32392,0,940,33332,8.82%,9.08%,
107/03/14,-2,0,0,-2,32393,0,940,33333,8.82%,9.08%,
107/03/13,26,0,0,26,32395,0,940,33335,8.82%,9.08%,
107/03/12,-2,0,0,-2,32369,0,940,33309,8.82%,9.08%,
107/03/09,1,0,0,1,32371,0,940,33311,8.82%,9.08%,
107/03/08,-1,0,0,-1,32370,0,940,33310,8.82%,9.08%,
107/03/07,-1,0,0,-1,32371,0,940,33311,8.82%,9.08%,
107/03/06,-2,0,0,-2,32372,0,940,33312,8.82%,9.08%,
107/03/05,-61,0,0,-61,32374,0,940,33314,8.82%,9.08%,
107/03/02,-33,0,0,-33,32435,0,940,33375,8.83%,9.09%,
107/03/01,6,0,0,6,32460,0,940,33400,8.84%,9.10%,
107/02/27,-1,0,0,-1,32454,0,940,33394,8.84%,9.10%,
107/02/26,0,0,0,0,32455,0,940,33395,8.84%,9.10%,
107/02/23,-1,0,0,-1,32455,0,940,33395,8.84%,9.10%,
107/02/22,0,0,0,0,32456,0,940,33396,8.84%,9.10%,
107/02/21,8,0,0,8,32456,0,940,33396,8.84%,9.10%,
107/02/12,-23,0,0,-23,32448,0,940,33388,8.84%,9.10%,
107/02/09,-82,0,0,-82,32470,0,940,33410,8.84%,9.10%,
107/02/08,-51,0,0,-51,32552,0,940,33492,8.87%,9.13%,
107/02/07,-61,0,0,-61,32603,0,940,33543,8.88%,9.14%,
107/02/06,-50,0,0,-50,32648,0,940,33588,8.89%,9.15%,
107/02/05,11,0,0,11,32693,0,940,33633,8.91%,9.17%,
107/02/02,-7,0,0,-7,32677,0,940,33617,8.90%,9.16%,
107/02/01,-1,0,0,-1,32680,0,940,33620,8.90%,9.16%,
107/01/31,-5,0,0,-5,32681,0,940,33621,8.90%,9.16%,
107/01/30,-5,0,0,-5,32686,0,940,33626,8.90%,9.16%,
107/01/29,0,0,0,0,32691,0,940,33631,8.90%,9.16%,
107/01/26,-1,0,0,-1,32691,0,940,33631,8.90%,9.16%,
107/01/25,5,0,0,5,32692,0,940,33632,8.90%,9.16%,
107/01/24,18,0,0,18,32685,0,940,33625,8.90%,9.16%,
107/01/23,-6,0,0,-6,32667,0,940,33607,8.90%,9.16%,
107/01/22,-69,0,0,-69,32673,0,940,33613,8.90%,9.16%,
107/01/19,-2,0,0,-2,32742,0,940,33682,8.92%,9.18%,
107/01/18,-20,0,0,-20,32744,0,940,33684,8.92%,9.18%,
107/01/17,41,0,0,41,32764,0,940,33704,8.92%,9.18%,
107/01/16,20,0,0,20,32723,0,940,33663,8.91%,9.17%,
107/01/15,2,0,0,2,32703,0,940,33643,8.91%,9.17%,
107/01/12,-1,0,0,-1,32701,0,940,33641,8.91%,9.17%,
107/01/11,-22,0,0,-22,32702,0,940,33642,8.91%,9.17%,
107/01/10,-22,0,0,-22,32724,0,940,33664,8.91%,9.17%,
107/01/09,-18,0,0,-18,32746,0,940,33686,8.92%,9.18%,
107/01/08,-33,0,0,-33,32764,0,940,33704,8.92%,9.18%,
107/01/05,5,0,0,5,32833,0,940,33773,8.94%,9.20%,
