日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,0,0,22248,0,1598,23846,11.23%,12.04%,
107/03/30,11,0,0,11,22248,0,1598,23846,11.23%,12.04%,
107/03/29,62,0,0,62,22237,0,1598,23835,11.23%,12.04%,
107/03/28,9,0,0,9,22175,0,1598,23773,11.19%,12.00%,
107/03/27,7,0,10,17,22166,0,1598,23764,11.19%,12.00%,
107/03/26,1,0,0,1,22159,0,1588,23747,11.19%,11.99%,
107/03/23,-46,0,0,-46,22158,0,1588,23746,11.19%,11.99%,
107/03/22,-6,0,1,-5,22204,0,1588,23792,11.21%,12.01%,
107/03/21,2,0,0,2,22210,0,1587,23797,11.21%,12.01%,
107/03/20,-5,0,0,-5,22208,0,1587,23795,11.21%,12.01%,
107/03/19,-3,0,0,-3,22213,0,1587,23800,11.21%,12.01%,
107/03/16,228,0,-3,225,22226,0,1587,23813,11.22%,12.02%,
107/03/15,-8,0,0,-8,21988,0,1590,23578,11.10%,11.90%,
107/03/14,58,0,0,58,21996,0,1590,23586,11.10%,11.90%,
107/03/13,128,0,0,128,21938,0,1590,23528,11.07%,11.87%,
107/03/12,166,0,1,167,21810,0,1590,23400,11.01%,11.81%,
107/03/09,0,0,20,20,21634,0,1589,23223,10.92%,11.72%,
107/03/08,19,0,0,19,21634,0,1569,23203,10.92%,11.71%,
107/03/07,52,0,0,52,21615,0,1569,23184,10.91%,11.70%,
107/03/06,-26,0,0,-26,21563,0,1569,23132,10.89%,11.68%,
107/03/05,-95,0,0,-95,21589,0,1569,23158,10.90%,11.69%,
107/03/02,-82,0,0,-82,21684,0,1569,23253,10.95%,11.74%,
107/03/01,94,0,2,96,21766,0,1569,23335,10.99%,11.78%,
107/02/27,1,0,0,1,21672,0,1567,23239,10.94%,11.73%,
107/02/26,0,0,0,0,21671,0,1567,23238,10.94%,11.73%,
107/02/23,61,0,0,61,21671,0,1567,23238,10.94%,11.73%,
107/02/22,147,0,0,147,21610,0,1567,23177,10.91%,11.70%,
107/02/21,47,0,0,47,21463,0,1567,23030,10.83%,11.62%,
107/02/12,31,0,-1,30,21416,0,1567,22983,10.81%,11.60%,
107/02/09,13,0,0,13,21395,0,1568,22963,10.80%,11.59%,
107/02/08,30,0,0,30,21382,0,1568,22950,10.79%,11.58%,
107/02/07,-60,0,0,-60,21352,0,1568,22920,10.78%,11.57%,
107/02/06,82,0,1,83,21412,0,1568,22980,10.81%,11.60%,
107/02/05,109,0,0,109,21330,0,1567,22897,10.77%,11.56%,
107/02/02,-11,0,0,-11,21221,0,1567,22788,10.71%,11.50%,
107/02/01,-5,0,0,-5,21232,0,1567,22799,10.72%,11.51%,
107/01/31,-12,0,20,8,21237,0,1567,22804,10.72%,11.51%,
107/01/30,2,0,25,27,21249,0,1547,22796,10.73%,11.51%,
107/01/29,34,0,-1,33,21247,0,1522,22769,10.73%,11.50%,
107/01/26,6,0,0,6,21213,0,1523,22736,10.71%,11.48%,
107/01/25,14,0,0,14,21207,0,1523,22730,10.71%,11.48%,
107/01/24,5,0,0,5,21193,0,1523,22716,10.70%,11.47%,
107/01/23,29,0,0,29,21189,0,1523,22712,10.70%,11.47%,
107/01/22,-3,0,1,-2,21160,0,1523,22683,10.68%,11.45%,
107/01/19,-18,0,0,-18,21163,0,1522,22685,10.68%,11.45%,
107/01/18,-59,0,0,-59,21181,0,1522,22703,10.69%,11.46%,
107/01/17,67,0,-1,66,21210,0,1522,22732,10.71%,11.48%,
107/01/16,2,0,0,2,21143,0,1523,22666,10.67%,11.44%,
107/01/15,-14,0,4,-10,21141,0,1523,22664,10.67%,11.44%,
107/01/12,15,0,0,15,21155,0,1519,22674,10.68%,11.45%,
107/01/11,-27,0,0,-27,21140,0,1519,22659,10.67%,11.44%,
107/01/10,11,0,0,11,21167,0,1519,22686,10.69%,11.46%,
107/01/09,-73,0,0,-73,21156,0,1519,22675,10.68%,11.45%,
107/01/08,-97,0,0,-97,21229,0,1519,22748,10.72%,11.49%,
107/01/05,-37,0,0,-37,21326,0,1519,22845,10.77%,11.54%,
107/01/04,-1,0,5,4,21363,0,1519,22882,10.78%,11.55%,
107/01/03,6,0,37,43,21364,0,1514,22878,10.78%,11.54%,
107/01/02,16,0,33,49,21358,0,1477,22835,10.78%,11.53%,
106/12/29,12,0,0,12,21342,0,1444,22786,10.77%,11.50%,
106/12/28,3,0,0,3,21330,0,1444,22774,10.77%,11.50%,
106/12/27,15,0,0,15,21327,0,1444,22771,10.77%,11.50%,
106/12/26,-3,0,0,-3,21312,0,1444,22756,10.76%,11.49%,
106/12/25,14,0,0,14,21315,0,1444,22759,10.76%,11.49%,
106/12/22,-2,0,0,-2,21301,0,1444,22745,10.75%,11.48%,
106/12/21,1,0,0,1,21330,0,1444,22774,10.77%,11.50%,
106/12/20,0,0,0,0,21329,0,1444,22773,10.77%,11.50%,
106/12/19,-4,0,0,-4,21329,0,1444,22773,10.77%,11.50%,
106/12/18,18,0,0,18,21333,0,1444,22777,10.77%,11.50%,
106/12/15,-250,0,0,-250,21315,0,1444,22759,10.76%,11.49%,
106/12/14,-70,0,0,-70,21564,0,1444,23008,10.89%,11.62%,
106/12/13,-5,0,0,-5,21634,0,1444,23078,10.92%,11.65%,
106/12/12,-10,0,0,-10,21639,0,1444,23083,10.92%,11.65%,
106/12/11,3,0,0,3,21649,0,1444,23093,10.93%,11.66%,
106/12/08,76,0,0,76,21646,0,1444,23090,10.93%,11.66%,
106/12/07,-1,0,0,-1,21570,0,1444,23014,10.89%,11.62%,
106/12/06,100,0,0,100,21571,0,1444,23015,10.89%,11.62%,
106/12/05,81,0,0,81,21524,0,1444,22968,10.87%,11.60%,
106/12/04,64,0,0,64,21443,0,1444,22887,10.82%,11.55%,
106/12/01,56,0,0,56,21319,0,1444,22763,10.76%,11.49%,
106/11/30,1,0,0,1,21326,0,1444,22770,10.77%,11.50%,
106/11/29,-198,0,0,-198,21315,0,1444,22759,10.76%,11.49%,
106/11/28,-73,0,0,-73,21513,0,1444,22957,10.86%,11.59%,
106/11/27,-82,0,0,-82,21586,0,1444,23030,10.90%,11.63%,
106/11/24,-19,0,0,-19,21668,0,1444,23112,10.94%,11.67%,
106/11/23,-32,0,0,-32,21687,0,1444,23131,10.95%,11.68%,
106/11/22,-21,0,0,-21,21719,0,1444,23163,10.96%,11.69%,
106/11/21,-96,0,0,-96,21740,0,1444,23184,10.97%,11.70%,
106/11/20,9,0,0,9,21823,0,1444,23267,11.02%,11.75%,
106/11/17,50,0,0,50,21804,0,1444,23248,11.01%,11.74%,
106/11/16,-15,0,0,-15,21754,0,1444,23198,10.98%,11.71%,
106/11/15,53,0,0,53,21752,0,1444,23196,10.98%,11.71%,
106/11/14,-28,0,0,-28,21624,0,1444,23068,10.92%,11.65%,
106/11/13,177,0,0,177,21601,0,1444,23045,10.90%,11.63%,
106/11/10,0,0,0,0,21424,0,1444,22868,10.82%,11.55%,
106/11/09,15,0,0,15,21424,0,1444,22868,10.82%,11.55%,
106/11/08,25,0,0,25,21409,0,1444,22853,10.81%,11.54%,
106/11/07,22,0,0,22,21384,0,1444,22828,10.79%,11.52%,
106/11/06,50,0,0,50,21362,0,1444,22806,10.78%,11.51%,
106/11/03,72,0,0,72,21312,0,1444,22756,10.76%,11.49%,
106/11/02,50,0,0,50,21239,0,1444,22683,10.72%,11.45%,
106/11/01,-1,0,0,-1,21189,0,1444,22633,10.70%,11.43%,
106/10/31,17,0,0,17,21190,0,1444,22634,10.70%,11.43%,
106/10/30,42,0,0,42,21174,0,1444,22618,10.69%,11.42%,
106/10/27,51,0,0,51,21132,0,1444,22576,10.67%,11.40%,
106/10/26,22,0,0,22,21081,0,1444,22525,10.64%,11.37%,
106/10/25,58,0,0,58,21059,0,1444,22503,10.63%,11.36%,
106/10/24,17,0,0,17,21001,0,1444,22445,10.60%,11.33%,
106/10/23,59,0,0,59,20983,0,1444,22427,10.59%,11.32%,
106/10/20,-2,0,-0,-2,20924,0,1444,22368,10.56%,11.29%,
106/10/19,-2,0,0,-2,20926,0,1445,22371,10.56%,11.29%,
106/10/18,139,0,0,139,20929,0,1445,22374,10.57%,11.30%,
106/10/17,38,0,0,38,20790,0,1445,22235,10.49%,11.22%,
106/10/16,-9,0,0,-9,20703,0,1445,22148,10.45%,11.18%,
106/10/13,60,0,0,60,20712,0,1445,22157,10.46%,11.19%,
106/10/12,8,0,0,8,20651,0,1445,22096,10.42%,11.15%,
106/10/11,114,0,-1,113,20643,0,1445,22088,10.42%,11.15%,
106/10/06,0,0,0,0,20529,0,1446,21975,10.36%,10.72%,
106/10/05,0,0,0,0,41503,0,1446,42949,10.37%,10.73%,
106/10/03,0,0,0,0,41503,0,1446,42949,10.37%,10.73%,
106/10/02,0,0,0,0,41503,0,1446,42949,10.37%,10.73%,
106/09/30,0,0,0,0,41503,0,1446,42949,10.37%,10.73%,
106/09/29,0,0,0,0,41503,0,1446,42949,10.37%,10.73%,
106/09/28,3,0,-1,2,41503,0,1446,42949,10.37%,10.73%,
106/09/27,3,0,0,3,41500,0,1447,42947,10.37%,10.73%,
106/09/26,75,0,1,76,41497,0,1447,42944,10.37%,10.73%,
106/09/25,-62,0,0,-62,41422,0,1446,42868,10.35%,10.71%,
106/09/22,0,0,1,1,41519,0,1446,42965,10.37%,10.73%,
106/09/21,0,0,0,0,41519,0,1445,42964,10.37%,10.73%,
106/09/20,-27,0,3,-24,41611,0,1445,43056,10.40%,10.76%,
106/09/19,23,0,-1,22,41638,0,1442,43080,10.40%,10.76%,
106/09/18,103,0,1,104,41636,0,1443,43079,10.40%,10.76%,
106/09/15,136,0,0,136,41533,0,1442,42975,10.38%,10.74%,
106/09/14,67,0,0,67,41397,0,1442,42839,10.34%,10.70%,
106/09/13,64,0,3,67,41330,0,1442,42772,10.33%,10.69%,
106/09/12,69,0,-1,68,41266,0,1439,42705,10.31%,10.67%,
106/09/11,61,0,0,61,41197,0,1440,42637,10.29%,10.65%,
106/09/08,58,0,0,58,41136,0,1440,42576,10.28%,10.64%,
106/09/07,96,0,-1,95,41078,0,1440,42518,10.26%,10.62%,
106/09/06,93,0,0,93,40982,0,1441,42423,10.24%,10.60%,
106/09/05,62,0,0,62,40889,0,1441,42330,10.22%,10.58%,
106/09/04,11,0,0,11,40839,0,1441,42280,10.20%,10.56%,
106/09/01,70,0,0,70,40828,0,1441,42269,10.20%,10.56%,
106/08/31,50,0,1,51,40768,0,1441,42209,10.19%,10.55%,
106/08/30,-8,0,3,-5,40718,0,1440,42158,10.17%,10.53%,
106/08/29,33,0,1,34,40716,0,1437,42153,10.17%,10.53%,
106/08/28,15,0,0,15,40683,0,1436,42119,10.17%,10.53%,
106/08/25,29,0,-3,26,40668,0,1436,42104,10.16%,10.52%,
106/08/24,-8,-13,0,-21,40764,0,1439,42203,10.19%,10.55%,
106/08/23,-8,-14,0,-22,40772,13,1439,42224,10.19%,10.55%,
106/08/22,105,0,0,105,40780,27,1439,42246,10.19%,10.56%,
106/08/21,30,0,0,30,40675,27,1439,42141,10.16%,10.53%,
106/08/18,-37,0,0,-37,40645,27,1439,42111,10.16%,10.53%,
106/08/17,46,0,-4,42,40682,27,1439,42148,10.17%,10.54%,
106/08/16,21,0,1,22,40624,27,1443,42094,10.15%,10.52%,
106/08/15,35,0,-1,34,40603,27,1442,42072,10.15%,10.52%,
106/08/14,3,0,0,3,40568,27,1443,42038,10.14%,10.51%,
106/08/11,-21,0,0,-21,40565,27,1443,42035,10.14%,10.51%,
106/08/10,-51,0,2,-49,40586,27,1443,42056,10.14%,10.51%,
106/08/09,36,0,-3,33,40637,27,1441,42105,10.15%,10.52%,
106/08/08,54,0,-2,52,40601,27,1444,42072,10.15%,10.52%,
106/08/07,61,0,0,61,40547,27,1446,42020,10.13%,10.50%,
106/08/04,44,0,-3,41,40486,27,1446,41959,10.12%,10.49%,
106/08/03,-5,0,0,-5,40442,27,1449,41918,10.11%,10.48%,
106/08/02,14,0,0,14,40447,27,1449,41923,10.11%,10.48%,
106/08/01,25,-1,0,24,40433,27,1449,41909,10.10%,10.47%,
106/07/31,-26,0,0,-26,40408,28,1449,41885,10.10%,10.47%,
106/07/28,-1,0,0,-1,40434,28,1449,41911,10.10%,10.47%,
106/07/27,-8,0,0,-8,40435,28,1449,41912,10.10%,10.47%,
106/07/26,-5,0,-10,-15,40443,28,1449,41920,10.11%,10.48%,
106/07/25,-26,0,0,-26,40448,28,1459,41935,10.11%,10.48%,
106/07/24,-152,0,0,-152,40474,28,1459,41961,10.11%,10.48%,
106/07/21,-7,0,0,-7,40626,28,1459,42113,10.15%,10.52%,
106/07/20,-15,0,0,-15,40633,28,1459,42120,10.15%,10.52%,
106/07/19,-65,0,0,-65,40648,28,1459,42135,10.16%,10.53%,
106/07/18,-174,0,0,-174,40588,28,1459,42075,10.14%,10.51%,
106/07/17,1,0,-6,-5,40762,28,1459,42249,10.19%,10.56%,
106/07/14,-12,0,-4,-16,40761,28,1465,42254,10.19%,10.56%,
106/07/13,-11,0,0,-11,40773,28,1469,42270,10.19%,10.56%,
106/07/12,10,0,-9,1,40784,28,1469,42281,10.19%,10.56%,
106/07/11,-1,0,8,7,40774,28,1478,42280,10.19%,10.57%,
106/07/10,-18,0,0,-18,40740,28,1470,42238,10.18%,10.55%,
106/07/07,-41,0,0,-41,40758,28,1470,42256,10.18%,10.55%,
106/07/06,-15,0,0,-15,40799,28,1470,42297,10.19%,10.56%,
106/07/05,-60,0,0,-60,40814,28,1470,42312,10.20%,10.57%,
106/07/04,-68,0,0,-68,40874,28,1470,42372,10.21%,10.58%,
106/07/03,-18,0,0,-18,40942,28,1470,42440,10.23%,10.60%,
106/06/30,104,0,0,104,40960,28,1470,42458,10.24%,10.61%,
106/06/29,279,0,-130,149,40856,28,1470,42354,10.21%,10.58%,
106/06/28,-175,0,127,-48,40675,28,1600,42303,10.16%,10.57%,
106/06/27,-107,0,0,-107,40850,28,1473,42351,10.21%,10.59%,
106/06/26,-66,0,22,-44,40957,28,1473,42458,10.23%,10.61%,
106/06/23,-32,0,0,-32,41023,28,1451,42502,10.25%,10.62%,
106/06/22,-138,0,1,-137,41080,28,1451,42559,10.27%,10.64%,
106/06/21,156,0,14,170,41218,28,1450,42696,10.30%,10.67%,
106/06/20,-11,0,5,-6,41487,28,1436,42951,10.37%,10.74%,
106/06/19,44,0,-3,41,41498,28,1431,42957,10.37%,10.73%,
106/06/16,22,0,0,22,41554,28,1434,43016,10.38%,10.75%,
106/06/15,-161,0,0,-161,41532,28,1434,42994,10.38%,10.75%,
106/06/14,-215,0,0,-215,41693,28,1434,43155,10.42%,10.79%,
106/06/13,-33,0,0,-33,41908,28,1434,43370,10.47%,10.84%,
106/06/12,-22,0,0,-22,41941,28,1434,43403,10.48%,10.85%,
106/06/09,62,0,0,62,41922,28,1434,43384,10.48%,10.85%,
106/06/08,-7,0,0,-7,41860,28,1434,43322,10.46%,10.83%,
106/06/07,49,0,-2,47,41867,28,1434,43329,10.46%,10.83%,
106/06/06,11,-1,0,10,41818,28,1436,43282,10.45%,10.82%,
106/06/05,29,-1,-1,27,41807,29,1436,43272,10.45%,10.82%,
106/06/03,0,0,0,0,41778,30,1437,43245,10.44%,10.81%,
106/06/02,15,0,0,15,41778,30,1437,43245,10.44%,10.81%,
106/06/01,35,0,-3,32,41763,30,1437,43230,10.44%,10.81%,
106/05/31,-61,0,0,-61,41468,30,1440,42938,10.36%,10.73%,
106/05/26,25,0,0,25,41429,30,1440,42899,10.35%,10.72%,
106/05/25,116,0,0,116,41404,30,1440,42874,10.35%,10.72%,
106/05/24,41,0,-2,39,41288,30,1440,42758,10.32%,10.69%,
106/05/23,111,0,0,111,41247,30,1442,42719,10.31%,10.68%,
106/05/22,124,0,0,124,41136,30,1442,42608,10.28%,10.65%,
106/05/19,25,0,0,25,41012,30,1442,42484,10.25%,10.62%,
106/05/18,-7,0,0,-7,40987,30,1442,42459,10.24%,10.61%,
106/05/17,-31,0,-1,-32,40994,30,1442,42466,10.24%,10.61%,
106/05/16,-14,0,0,-14,41025,30,1443,42498,10.25%,10.62%,
106/05/15,-24,0,0,-24,41038,30,1443,42511,10.25%,10.62%,
106/05/12,44,0,0,44,41062,30,1443,42535,10.26%,10.63%,
106/05/11,-21,0,0,-21,41018,30,1443,42491,10.25%,10.62%,
106/05/10,-9,0,1,-8,41039,30,1443,42512,10.25%,10.62%,
106/05/09,-19,0,0,-19,41048,30,1442,42520,10.26%,10.63%,
106/05/08,87,0,0,87,41067,30,1442,42539,10.26%,10.63%,
106/05/05,-58,0,0,-58,40980,30,1442,42452,10.24%,10.61%,
106/05/04,31,0,0,31,41038,30,1442,42510,10.25%,10.62%,
106/05/03,2,0,0,2,41007,30,1442,42479,10.25%,10.62%,
106/05/02,11,0,0,11,41005,30,1442,42477,10.25%,10.62%,
106/04/28,2,0,0,2,40994,30,1442,42466,10.24%,10.61%,
106/04/27,17,0,0,17,40992,30,1442,42464,10.24%,10.61%,
106/04/26,44,0,0,44,40975,30,1442,42447,10.24%,10.61%,
106/04/25,73,0,0,73,40931,30,1442,42403,10.23%,10.60%,
106/04/24,12,0,0,12,40858,30,1442,42330,10.21%,10.58%,
106/04/21,7,0,0,7,40846,30,1442,42318,10.21%,10.58%,
106/04/20,-38,0,-1,-39,40839,30,1442,42311,10.20%,10.57%,
106/04/19,-65,0,-1,-66,40877,30,1443,42350,10.21%,10.58%,
106/04/18,-51,0,0,-51,40942,30,1444,42416,10.23%,10.60%,
106/04/17,31,0,1,32,40993,30,1444,42467,10.24%,10.61%,
106/04/14,-89,-1,0,-90,40962,30,1443,42435,10.24%,10.61%,
106/04/13,-4,0,-1,-5,41051,31,1443,42525,10.26%,10.63%,
106/04/12,-115,0,0,-115,41055,31,1444,42530,10.26%,10.63%,
106/04/11,-121,0,0,-121,41170,31,1444,42645,10.29%,10.66%,
106/04/10,-169,0,-1,-170,41291,31,1444,42766,10.32%,10.69%,
106/04/07,-299,0,-1,-300,41460,31,1445,42936,10.36%,10.73%,
106/04/06,-255,0,3,-252,41759,31,1446,43236,10.43%,10.80%,
106/04/05,-104,0,0,-104,42014,31,1443,43488,10.50%,10.87%,
106/03/31,-115,0,0,-115,42118,31,1443,43592,10.52%,10.89%,
106/03/30,-102,0,0,-102,42233,31,1443,43707,10.55%,10.92%,
106/03/29,18,0,1,19,42335,31,1443,43809,10.58%,10.95%,
106/03/28,-1,0,0,-1,42317,31,1442,43790,10.57%,10.94%,
106/03/27,-78,0,0,-78,42318,31,1442,43791,10.57%,10.94%,
106/03/24,-8,0,0,-8,42396,31,1442,43869,10.59%,10.96%,
106/03/23,-53,0,0,-53,42404,31,1442,43877,10.60%,10.97%,
106/03/22,61,0,0,61,42457,31,1442,43930,10.61%,10.98%,
106/03/21,323,16,0,339,42396,31,1442,43869,10.59%,10.96%,
106/03/20,-239,15,-60,-284,42073,15,1442,43530,10.51%,10.87%,
106/03/17,-403,0,0,-403,42312,0,1502,43814,10.57%,10.95%,
106/03/16,31,0,1,32,42714,0,1502,44216,10.67%,11.05%,
106/03/15,31,0,0,31,42684,0,1501,44185,10.67%,11.05%,
