日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,0,0,18412,0,330,18742,11.25%,11.45%,
107/03/30,4,0,1,5,18412,0,330,18742,11.25%,11.45%,
107/03/29,-17,0,0,-17,18408,0,329,18737,11.24%,11.44%,
107/03/28,-17,0,0,-17,18425,0,329,18754,11.25%,11.45%,
107/03/27,-26,0,0,-26,18442,0,329,18771,11.26%,11.46%,
107/03/26,-35,0,0,-35,18507,0,329,18836,11.30%,11.50%,
107/03/23,-31,0,-1,-32,18440,0,329,18769,11.26%,11.46%,
107/03/22,8,-25,-2,-19,18452,0,330,18782,11.27%,11.47%,
107/03/21,-22,-25,1,-46,18454,0,332,18786,11.27%,11.47%,
107/03/20,2,-25,0,-23,18446,18,331,18795,11.27%,11.48%,
107/03/19,-111,-25,0,-136,18445,43,331,18819,11.27%,11.50%,
107/03/16,-55,0,0,-55,18540,68,331,18939,11.32%,11.56%,
107/03/15,-22,0,0,-22,18595,68,331,18994,11.36%,11.60%,
107/03/14,33,0,0,33,18617,68,331,19016,11.37%,11.61%,
107/03/13,28,0,0,28,18584,68,331,18983,11.35%,11.59%,
107/03/12,3,0,0,3,18556,68,331,18955,11.33%,11.57%,
107/03/09,-4,0,0,-4,18553,68,331,18952,11.33%,11.57%,
107/03/08,-19,0,0,-19,18567,68,331,18966,11.34%,11.58%,
107/03/07,0,0,0,0,18586,68,331,18985,11.35%,11.59%,
107/03/06,30,0,0,30,18588,68,331,18987,11.35%,11.59%,
107/03/05,15,0,0,15,18556,68,331,18955,11.33%,11.57%,
107/03/02,-1,0,0,-1,18541,68,331,18940,11.32%,11.56%,
107/03/01,9,0,0,9,18542,68,331,18941,11.33%,11.57%,
107/02/27,51,0,0,51,18533,68,331,18932,11.32%,11.56%,
107/02/26,51,-13,0,38,18482,68,331,18881,11.29%,11.53%,
107/02/23,30,-29,0,1,18411,81,331,18823,11.25%,11.50%,
107/02/22,12,-22,0,-10,18381,110,331,18822,11.23%,11.50%,
107/02/21,11,-63,4,-48,18369,132,331,18832,11.22%,11.50%,
107/02/12,0,0,0,0,18361,195,327,18883,11.21%,11.53%,
107/02/09,-52,0,2,-50,18331,195,327,18853,11.20%,11.52%,
107/02/08,51,0,0,51,18510,195,325,19030,11.31%,11.63%,
107/02/07,-52,0,0,-52,18458,195,325,18978,11.27%,11.59%,
107/02/06,-93,0,-1,-94,18486,195,325,19006,11.29%,11.61%,
107/02/05,-38,0,1,-37,18569,195,326,19090,11.34%,11.66%,
107/02/02,-48,0,0,-48,18654,195,325,19174,11.39%,11.71%,
107/02/01,4,0,0,4,18732,195,325,19252,11.44%,11.76%,
107/01/31,-16,0,0,-16,18755,195,325,19275,11.46%,11.78%,
107/01/30,-17,0,0,-17,18763,195,325,19283,11.46%,11.78%,
107/01/29,-29,0,0,-29,18765,195,325,19285,11.46%,11.78%,
107/01/26,10,0,0,10,18823,195,325,19343,11.50%,11.82%,
107/01/25,8,0,0,8,18813,195,325,19333,11.49%,11.81%,
107/01/24,-23,0,0,-23,18805,195,325,19325,11.49%,11.81%,
107/01/23,1,0,0,1,18805,195,325,19325,11.49%,11.81%,
107/01/22,-66,0,0,-66,18804,195,325,19324,11.49%,11.81%,
107/01/19,-65,0,-10,-75,18850,195,325,19370,11.51%,11.83%,
107/01/18,-52,0,1,-51,18905,195,335,19435,11.55%,11.87%,
107/01/17,-4,0,4,0,18937,195,334,19466,11.57%,11.89%,
107/01/16,6,0,0,6,18923,195,330,19448,11.56%,11.88%,
107/01/15,-8,0,-2,-10,18917,195,330,19442,11.55%,11.87%,
107/01/12,-1,0,0,-1,18913,195,332,19440,11.55%,11.87%,
107/01/11,-20,0,0,-20,19100,195,332,19627,11.67%,11.99%,
107/01/10,-21,0,7,-14,19106,195,332,19633,11.67%,11.99%,
107/01/09,-30,0,-22,-52,19225,195,325,19745,11.74%,12.06%,
107/01/08,26,0,0,26,19249,195,347,19791,11.76%,12.09%,
107/01/05,16,0,0,16,19273,195,347,19815,11.77%,12.10%,
107/01/04,15,0,0,15,19292,195,347,19834,11.78%,12.11%,
107/01/03,35,0,0,35,19277,195,347,19819,11.77%,12.10%,
107/01/02,131,20,-1,150,19242,195,347,19784,11.75%,12.08%,
106/12/29,45,0,-2,43,19111,175,348,19634,11.67%,11.99%,
106/12/28,26,-5,0,21,19066,158,350,19574,11.65%,11.96%,
106/12/27,11,-6,0,5,19040,163,350,19553,11.63%,11.94%,
106/12/26,31,-5,0,26,19029,169,350,19548,11.62%,11.94%,
106/12/25,10,0,0,10,18998,174,350,19522,11.60%,11.92%,
106/12/22,58,0,0,58,18988,174,350,19512,11.60%,11.92%,
106/12/21,88,0,0,88,18930,174,350,19454,11.56%,11.88%,
106/12/20,-31,0,16,-15,18842,174,350,19366,11.51%,11.83%,
106/12/19,84,0,0,84,18873,174,334,19381,11.53%,11.84%,
106/12/18,104,0,-27,77,18789,174,334,19297,11.48%,11.79%,
106/12/15,-106,0,-12,-118,18685,174,361,19220,11.41%,11.74%,
106/12/14,79,0,-1,78,18791,174,373,19338,11.48%,11.81%,
106/12/13,17,0,2,19,18712,174,374,19260,11.43%,11.76%,
106/12/12,11,0,0,11,18676,174,372,19222,11.41%,11.74%,
106/12/11,1,0,0,1,18765,174,372,19311,11.46%,11.79%,
106/12/08,-3,0,0,-3,18756,174,372,19302,11.46%,11.79%,
106/12/07,-7,0,-4,-11,18745,174,372,19291,11.45%,11.78%,
106/12/06,-4,0,0,-4,18744,174,376,19294,11.45%,11.79%,
