日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,4,4,13188,1,76,13265,5.41%,5.44%,
107/03/30,-20,0,1,-19,13188,1,72,13261,5.41%,5.44%,
107/03/29,-134,0,0,-134,13208,1,71,13280,5.42%,5.45%,
107/03/28,23,0,2,25,13341,1,71,13413,5.47%,5.50%,
107/03/27,-49,0,-3,-52,13318,1,69,13388,5.46%,5.49%,
107/03/26,-18,0,-7,-25,13367,1,72,13440,5.48%,5.51%,
107/03/23,-3,0,-1,-4,13455,1,79,13535,5.52%,5.55%,
107/03/22,0,0,0,0,13458,1,80,13539,5.52%,5.55%,
107/03/21,8,0,3,11,13458,1,80,13539,5.52%,5.55%,
107/03/20,3,0,0,3,13450,1,77,13528,5.52%,5.55%,
107/03/19,2,0,1,3,13447,1,77,13525,5.52%,5.55%,
107/03/16,-12,0,0,-12,13445,1,76,13522,5.52%,5.55%,
107/03/15,-35,0,3,-32,13457,1,76,13534,5.52%,5.55%,
107/03/14,-150,0,-2,-152,13517,1,73,13591,5.55%,5.58%,
107/03/13,69,0,1,70,13642,1,75,13718,5.60%,5.63%,
107/03/12,-4,0,4,0,13573,1,74,13648,5.57%,5.60%,
107/03/09,-14,0,2,-12,13577,1,70,13648,5.57%,5.60%,
107/03/08,-225,0,2,-223,13591,1,68,13660,5.58%,5.61%,
107/03/07,29,0,0,29,13707,1,66,13774,5.62%,5.65%,
107/03/06,-8,0,0,-8,13678,1,66,13745,5.61%,5.64%,
107/03/05,-143,0,-2,-145,13666,1,66,13733,5.61%,5.64%,
107/03/02,-10,0,0,-10,13809,1,68,13878,5.67%,5.70%,
107/03/01,-152,0,1,-151,13814,1,68,13883,5.67%,5.70%,
107/02/27,-24,0,-4,-28,13966,1,67,14034,5.73%,5.76%,
107/02/26,-47,0,-2,-49,13990,1,71,14062,5.74%,5.77%,
107/02/23,6,0,0,6,14037,1,73,14111,5.76%,5.79%,
107/02/22,12,0,0,12,14021,1,73,14095,5.75%,5.78%,
107/02/21,66,0,-8,58,14009,1,73,14083,5.75%,5.78%,
107/02/12,-225,0,-2,-227,13943,1,81,14025,5.72%,5.75%,
107/02/09,-17,0,0,-17,14143,1,83,14227,5.80%,5.83%,
107/02/08,-135,0,0,-135,14130,1,83,14214,5.80%,5.83%,
107/02/07,-143,0,-3,-146,14195,1,83,14279,5.82%,5.85%,
107/02/06,1334,0,-3,1331,14314,1,86,14401,5.87%,5.91%,
107/02/05,138,0,2,140,12950,1,89,13040,5.31%,5.35%,
107/02/02,172,0,2,174,12802,1,87,12890,5.25%,5.28%,
107/02/01,-43,0,0,-43,12630,1,85,12716,5.18%,5.21%,
107/01/31,2,0,0,2,12663,1,85,12749,5.19%,5.22%,
107/01/30,46,0,3,49,12621,1,85,12707,5.18%,5.21%,
107/01/29,-357,0,-1,-358,12575,1,82,12658,5.16%,5.19%,
107/01/26,-120,0,2,-118,12932,1,83,13016,5.31%,5.34%,
107/01/25,-827,0,-1,-828,13052,1,81,13134,5.35%,5.38%,
107/01/24,-226,0,0,-226,13879,1,82,13962,5.69%,5.72%,
107/01/23,20,0,-2,18,14095,1,82,14178,5.78%,5.81%,
107/01/22,43,0,1,44,14075,1,84,14160,5.77%,5.80%,
107/01/19,-290,0,-1,-291,14032,1,83,14116,5.76%,5.79%,
107/01/18,-683,0,1,-682,14322,1,84,14407,5.88%,5.91%,
107/01/17,47,0,0,47,15005,1,83,15089,6.16%,6.19%,
107/01/16,29,0,0,29,14958,1,83,15042,6.14%,6.17%,
107/01/15,20,0,0,20,14929,1,83,15013,6.13%,6.16%,
107/01/12,12,0,0,12,14909,1,83,14993,6.12%,6.15%,
107/01/11,-72,0,0,-72,14897,1,83,14981,6.11%,6.14%,
107/01/10,-11,0,2,-9,14969,1,83,15053,6.14%,6.17%,
107/01/09,-65,0,0,-65,14980,1,81,15062,5.79%,5.82%,
107/01/08,-22,0,0,-22,15045,1,81,15127,5.81%,5.84%,
107/01/05,63,0,0,63,15067,1,81,15149,5.82%,5.85%,
107/01/04,48,0,-1,47,15004,1,81,15086,5.80%,5.83%,
107/01/03,33,0,0,33,14956,1,82,15039,5.78%,5.81%,
