日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,0,0,55397,2596,73,58066,2.12%,2.22%,
107/03/30,-17,0,3,-14,55397,2596,73,58066,2.12%,2.22%,
107/03/29,54,0,0,54,55414,2596,70,58080,2.12%,2.22%,
107/03/28,59,0,0,59,55360,2596,70,58026,2.12%,2.22%,
107/03/27,53,2,0,55,55301,2596,70,57967,2.12%,2.22%,
107/03/26,24,0,-7,17,55248,2594,70,57912,2.12%,2.22%,
107/03/23,-55,0,4,-51,55224,2594,77,57895,2.11%,2.21%,
107/03/22,-154,0,0,-154,55279,2594,73,57946,2.12%,2.22%,
107/03/21,-95,0,2,-93,55433,2594,73,58100,2.12%,2.22%,
107/03/20,91,-3,0,88,55528,2594,71,58193,2.13%,2.23%,
107/03/19,67,0,4,71,55437,2597,71,58105,2.12%,2.22%,
107/03/16,9,0,1,10,55370,2597,67,58034,2.12%,2.22%,
107/03/15,-29,0,6,-23,55361,2597,66,58024,2.12%,2.22%,
107/03/14,14,0,-11,3,55390,2597,60,58047,2.12%,2.22%,
107/03/13,636,0,0,636,55376,2597,71,58044,2.12%,2.22%,
107/03/12,362,0,11,373,54730,2597,71,57398,2.10%,2.20%,
107/03/09,26,0,0,26,54368,2597,60,57025,2.08%,2.18%,
107/03/08,-46,0,0,-46,54342,2597,60,56999,2.08%,2.18%,
107/03/07,-41,0,5,-36,54388,2597,60,57045,2.08%,2.18%,
107/03/06,-86,0,0,-86,54429,2597,55,57081,2.08%,2.18%,
107/03/05,-307,0,0,-307,54505,2597,55,57157,2.09%,2.19%,
107/03/02,-695,1,0,-694,54772,2597,55,57424,2.10%,2.20%,
107/03/01,177,0,0,177,55327,2596,55,57978,2.12%,2.22%,
107/02/27,-11,0,0,-11,55110,2596,55,57761,2.11%,2.21%,
107/02/26,152,2,0,154,55121,2596,55,57772,2.11%,2.21%,
107/02/23,-29,0,0,-29,54969,2594,55,57618,2.10%,2.20%,
107/02/22,88,0,0,88,54998,2594,55,57647,2.11%,2.21%,
107/02/21,-10,0,0,-10,54910,2594,55,57559,2.10%,2.20%,
107/02/12,-21,-61,-1,-83,54920,2594,55,57569,2.10%,2.20%,
107/02/09,-16,0,-7,-23,54941,2655,56,57652,2.10%,2.20%,
107/02/08,-20,1,1,-18,54957,2655,63,57675,2.10%,2.20%,
107/02/07,-698,11,0,-687,54977,2654,62,57693,2.11%,2.21%,
107/02/06,-928,0,-6,-934,55517,2643,62,58222,2.13%,2.23%,
107/02/05,141,0,-22,119,56445,2643,68,59156,2.16%,2.26%,
107/02/02,-30,0,0,-30,56304,2643,90,59037,2.16%,2.26%,
107/02/01,-146,0,0,-146,56334,2643,90,59067,2.16%,2.26%,
107/01/31,-69,0,0,-69,56480,2643,90,59213,2.16%,2.26%,
107/01/30,17,0,0,17,56549,2643,90,59282,2.17%,2.27%,
107/01/29,118,0,0,118,56532,2643,90,59265,2.16%,2.26%,
107/01/26,57,0,0,57,56414,2643,90,59147,2.16%,2.26%,
107/01/25,443,0,-1,442,56357,2643,90,59090,2.16%,2.26%,
107/01/24,311,0,0,311,55914,2643,91,58648,2.14%,2.24%,
107/01/23,-39,0,0,-39,55603,2643,91,58337,2.13%,2.23%,
107/01/22,-318,0,-2,-320,55642,2643,91,58376,2.13%,2.23%,
107/01/19,91,0,0,91,55960,2643,93,58696,2.14%,2.25%,
107/01/18,161,0,0,161,55869,2643,93,58605,2.14%,2.25%,
107/01/17,84,0,0,84,55708,2643,93,58444,2.13%,2.24%,
107/01/16,9,0,0,9,55624,2643,93,58360,2.13%,2.24%,
107/01/15,-107,0,0,-107,55615,2643,93,58351,2.13%,2.24%,
107/01/12,13,0,0,13,55722,2643,93,58458,2.13%,2.24%,
107/01/11,-113,0,0,-113,55709,2643,93,58445,2.13%,2.24%,
107/01/10,-120,0,0,-120,55822,2643,93,58558,2.14%,2.25%,
107/01/09,-136,0,0,-136,55942,2643,93,58678,2.14%,2.25%,
107/01/08,18,0,0,18,56078,2643,93,58814,2.15%,2.26%,
107/01/05,-47,0,0,-47,56060,2643,93,58796,2.15%,2.26%,
107/01/04,-166,0,0,-166,56107,2643,93,58843,2.15%,2.26%,
107/01/03,-34,0,0,-34,56273,2643,93,59009,2.16%,2.27%,
107/01/02,-60,0,0,-60,56307,2643,93,59043,2.16%,2.27%,
106/12/29,2,0,0,2,56367,2643,93,59103,2.16%,2.27%,
106/12/28,-61,-15,0,-76,56365,2582,93,59040,2.16%,2.26%,
106/12/27,-31,-15,0,-46,56426,2597,93,59116,2.16%,2.26%,
106/12/26,-14,-20,0,-34,56457,2612,93,59162,2.16%,2.26%,
106/12/25,-4,0,0,-4,56471,2631,93,59195,2.16%,2.26%,
106/12/22,-34,0,0,-34,56475,2631,93,59199,2.16%,2.26%,
106/12/21,-13,0,0,-13,56509,2631,93,59233,2.16%,2.26%,
106/12/20,-15,0,0,-15,56522,2631,93,59246,2.16%,2.26%,
106/12/19,-87,0,-15,-102,56537,2631,93,59261,2.17%,2.27%,
106/12/18,-97,0,0,-97,56624,2631,108,59363,2.17%,2.28%,
106/12/15,-16,0,0,-16,56721,2631,108,59460,2.17%,2.28%,
106/12/14,45,0,0,45,56737,2631,108,59476,2.17%,2.28%,
106/12/13,4,0,0,4,56692,2631,108,59431,2.17%,2.28%,
106/12/12,83,1,0,84,56688,2631,108,59427,2.17%,2.28%,
106/12/11,0,0,0,0,56605,2630,108,59343,2.17%,2.28%,
106/12/08,11,0,0,11,56605,2630,108,59343,2.17%,2.28%,
106/12/07,56,0,0,56,56594,2630,108,59332,2.17%,2.28%,
106/12/06,65,3,-4,64,56538,2630,108,59276,2.17%,2.28%,
106/12/05,153,-134,0,19,56473,2627,112,59212,2.16%,2.27%,
106/12/04,149,0,0,149,56320,2761,112,59193,2.16%,2.27%,
106/12/01,136,0,0,136,56181,2761,112,59054,2.15%,2.26%,
106/11/30,400,0,0,400,56045,2761,112,58918,2.15%,2.26%,
106/11/29,-19,-114,0,-133,55645,2761,112,58518,2.13%,2.24%,
106/11/28,101,-4,0,97,55664,2875,112,58651,2.13%,2.24%,
106/11/27,-11,-67,0,-78,55563,2879,112,58554,2.13%,2.24%,
106/11/24,199,0,0,199,55574,2946,112,58632,2.13%,2.25%,
106/11/23,179,-101,0,78,55375,2946,112,58433,2.12%,2.24%,
106/11/22,449,-103,-1,345,55196,3047,112,58355,2.11%,2.23%,
106/11/21,469,0,0,469,54747,3150,113,58010,2.10%,2.23%,
106/11/20,-42,0,0,-42,54278,3150,113,57541,2.08%,2.21%,
106/11/17,-78,0,0,-78,54320,3150,113,57583,2.08%,2.21%,
106/11/16,-54,0,0,-54,54398,3150,113,57661,2.08%,2.21%,
106/11/15,-92,0,0,-92,54452,3150,113,57715,2.09%,2.22%,
106/11/14,-86,-3,-3,-92,54544,3150,113,57807,2.09%,2.22%,
106/11/13,-53,0,0,-53,54630,3153,116,57899,2.09%,2.22%,
106/11/10,-10,0,0,-10,54683,3153,116,57952,2.09%,2.22%,
106/11/09,-40,-5,0,-45,54693,3153,116,57962,2.09%,2.22%,
106/11/08,73,0,0,73,54733,3158,116,58007,2.10%,2.23%,
106/11/07,22,0,0,22,54660,3158,116,57934,2.09%,2.22%,
106/11/06,-19,0,0,-19,54638,3158,116,57912,2.09%,2.22%,
106/11/03,27,0,0,27,54657,3158,116,57931,2.09%,2.22%,
106/11/02,-20,0,0,-20,54630,3158,116,57904,2.09%,2.22%,
106/11/01,-58,-4,0,-62,54650,3158,116,57924,2.09%,2.22%,
106/10/31,-32,0,0,-32,54708,3162,116,57986,2.09%,2.22%,
106/10/30,22,0,0,22,54741,3162,116,58019,2.10%,2.23%,
106/10/27,99,0,0,99,54719,3162,116,57997,2.10%,2.23%,
106/10/26,21,-2,0,19,54620,3162,116,57898,2.09%,2.22%,
106/10/25,27,0,0,27,54599,3164,116,57879,2.09%,2.22%,
106/10/24,24,-1,-3,20,54572,3164,116,57852,2.09%,2.22%,
106/10/23,45,0,0,45,54548,3165,119,57832,2.09%,2.22%,
106/10/20,23,0,0,23,54503,3165,119,57787,2.09%,2.22%,
106/10/19,21,-4,0,17,54480,3165,119,57764,2.09%,2.22%,
106/10/18,-792,-2,0,-794,54459,3169,119,57747,2.09%,2.22%,
106/10/17,554,-1,0,553,55251,3171,119,58541,2.12%,2.25%,
106/10/16,240,-2,0,238,54697,3172,119,57988,2.09%,2.22%,
106/10/13,208,0,0,208,54457,3174,119,57750,2.09%,2.22%,
106/10/12,167,0,0,167,54249,3174,119,57542,2.08%,2.21%,
106/10/11,561,0,-2,559,54082,3174,119,57375,2.07%,2.20%,
106/10/06,176,0,0,176,53521,3174,121,56816,2.05%,2.18%,
106/10/05,-80,0,0,-80,53345,3174,121,56640,2.04%,2.17%,
106/10/03,-41,6,0,-35,53245,3174,121,56540,2.04%,2.17%,
106/10/02,-6,0,0,-6,53286,3168,121,56575,2.04%,2.17%,
106/09/30,0,0,0,0,53292,3168,121,56581,2.04%,2.17%,
106/09/29,-302,0,0,-302,53292,3109,121,56522,2.04%,2.16%,
106/09/28,-98,0,0,-98,53594,3109,121,56824,2.05%,2.17%,
106/09/27,-227,0,0,-227,53692,3109,121,56922,2.06%,2.18%,
106/09/26,-276,0,1,-275,53919,3109,121,57149,2.06%,2.18%,
106/09/25,-79,0,3,-76,54195,3109,120,57424,2.08%,2.20%,
106/09/22,-580,0,0,-580,54274,3109,117,57500,2.08%,2.20%,
106/09/21,-458,0,0,-458,54854,3109,117,58080,2.10%,2.22%,
106/09/20,-435,0,0,-435,55312,3109,117,58538,2.12%,2.24%,
106/09/19,53,-1,-4,48,55757,3109,117,58983,2.14%,2.26%,
106/09/18,34,-1,0,33,55704,3110,121,58935,2.13%,2.25%,
106/09/15,-839,-1,-6,-846,55670,3111,121,58902,2.13%,2.25%,
106/09/14,16,0,0,16,57700,3112,127,60939,2.21%,2.33%,
106/09/13,78,0,38,116,57684,3112,127,60923,2.21%,2.33%,
106/09/12,18,0,0,18,57792,3112,89,60993,2.21%,2.33%,
106/09/11,-11,0,0,-11,57774,3112,89,60975,2.21%,2.33%,
106/09/08,0,-4,-2,-6,57785,3112,89,60986,2.21%,2.33%,
106/09/07,-18,0,-14,-32,57785,3116,91,60992,2.21%,2.33%,
106/09/06,-96,-1,0,-97,57803,3116,105,61024,2.21%,2.33%,
106/09/05,-4,0,5,1,57899,3117,105,61121,2.22%,2.34%,
106/09/04,-33,0,0,-33,57903,3117,100,61120,2.22%,2.34%,
106/09/01,-4,-1,0,-5,57769,3117,100,60986,2.21%,2.33%,
106/08/31,136,0,0,136,57773,3118,100,60991,2.21%,2.33%,
106/08/30,-67,0,0,-67,57637,3118,100,60855,2.21%,2.33%,
106/08/29,69,0,-4,65,57704,3118,100,60922,2.21%,2.33%,
106/08/28,83,0,0,83,57635,3118,104,60857,2.21%,2.33%,
106/08/25,-22,-1,0,-23,57552,3118,104,60774,2.20%,2.32%,
106/08/24,0,25,0,25,57574,3119,104,60797,2.21%,2.33%,
106/08/23,-98,25,-23,-96,57574,3094,104,60772,2.21%,2.33%,
106/08/22,-32,0,0,-32,57672,3069,127,60868,2.21%,2.33%,
106/08/21,35,0,0,35,57694,3069,127,60890,2.21%,2.33%,
106/08/18,-150,0,-2,-152,57659,3069,127,60855,2.21%,2.33%,
106/08/17,187,0,-35,152,57809,3069,129,61007,2.21%,2.33%,
106/08/16,-108,0,4,-104,57622,3069,164,60855,2.21%,2.33%,
106/08/15,-51,-1,-1,-53,57730,3069,160,60959,2.21%,2.33%,
106/08/14,-339,0,-2,-341,57781,3070,161,61012,2.21%,2.33%,
106/08/11,-38,-187,4,-221,58120,3070,163,61353,2.23%,2.35%,
106/08/10,-306,0,3,-303,58158,3257,159,61574,2.23%,2.36%,
106/08/09,-80,0,-13,-93,58464,3257,156,61877,2.24%,2.37%,
106/08/08,-39,-3,-1,-43,58544,3257,169,61970,2.24%,2.37%,
106/08/07,-21,0,0,-21,58583,3260,170,62013,2.24%,2.37%,
106/08/04,-99,7,-7,-99,58604,3260,170,62034,2.24%,2.37%,
106/08/03,-75,0,-12,-87,58703,3253,177,62133,2.25%,2.38%,
106/08/02,-51,-5,0,-56,58778,3253,189,62220,2.25%,2.38%,
106/08/01,139,0,4,143,58829,3258,189,62276,2.25%,2.38%,
106/07/31,-338,0,3,-335,58690,3258,185,62133,2.25%,2.38%,
106/07/28,73,0,0,73,59028,3258,182,62468,2.26%,2.39%,
106/07/27,140,0,0,140,58955,3258,182,62395,2.26%,2.39%,
106/07/26,-162,0,-2,-164,58815,3258,182,62255,2.25%,2.38%,
106/07/25,-174,1,0,-173,58977,3258,184,62419,2.26%,2.39%,
106/07/24,81,0,28,109,59151,3257,184,62592,2.27%,2.40%,
106/07/21,78,0,-581,-503,59348,3257,156,62761,2.27%,2.40%,
106/07/20,373,0,597,970,59270,3257,737,63264,2.27%,2.42%,
106/07/19,-134,0,0,-134,58897,3257,140,62294,2.26%,2.39%,
106/07/18,-247,9,-5,-243,59031,3257,140,62428,2.26%,2.39%,
106/07/17,-60,1,-32,-91,59278,3248,145,62671,2.27%,2.40%,
106/07/14,-53,-5,-7,-65,59338,3247,177,62762,2.27%,2.40%,
106/07/13,1,-5,-3,-7,59391,3252,184,62827,2.27%,2.40%,
106/07/12,-31,-5,-5,-41,59390,3257,187,62834,2.27%,2.40%,
106/07/11,259,0,5,264,59421,3262,192,62875,2.28%,2.41%,
106/07/10,-157,-3,0,-160,59162,3262,187,62611,2.27%,2.40%,
106/07/07,27,0,0,27,59319,3265,187,62771,2.27%,2.40%,
106/07/06,30,0,0,30,59721,3265,187,63173,2.29%,2.42%,
106/07/05,83,0,-1,82,59691,3265,187,63143,2.29%,2.42%,
106/07/04,80,-2,-5,73,59608,3265,188,63061,2.28%,2.41%,
106/07/03,155,0,0,155,59528,3267,193,62988,2.28%,2.41%,
106/06/30,150,0,0,150,59373,3267,193,62833,2.27%,2.40%,
106/06/29,480,-2,24,502,59223,3170,193,62586,2.27%,2.40%,
106/06/28,179,0,5,184,58743,3172,169,62084,2.25%,2.38%,
106/06/27,629,-2,0,627,58564,3172,164,61900,2.24%,2.37%,
106/06/26,1537,-4,39,1572,57935,3174,164,61273,2.22%,2.35%,
106/06/23,79,-2,0,77,56398,3178,125,59701,2.16%,2.29%,
106/06/22,192,0,0,192,56539,3180,125,59844,2.17%,2.30%,
106/06/21,392,0,29,421,56347,3180,125,59652,2.16%,2.29%,
106/06/20,-8,-8,44,28,55955,3180,96,59231,2.14%,2.27%,
106/06/19,21,-6,7,22,55963,3188,52,59203,2.14%,2.26%,
106/06/16,136,0,4,140,55942,3194,45,59181,2.14%,2.26%,
106/06/15,-59,0,0,-59,55806,3194,41,59041,2.14%,2.26%,
106/06/14,-8,0,0,-8,55865,3194,41,59100,2.14%,2.26%,
106/06/13,-18,0,-2,-20,55873,3194,41,59108,2.14%,2.26%,
106/06/12,-17,0,0,-17,55891,3194,43,59128,2.14%,2.26%,
106/06/09,-13,-4,-8,-25,55908,3194,43,59145,2.14%,2.26%,
106/06/08,-10,0,-7,-17,55921,3198,51,59170,2.14%,2.26%,
106/06/07,63,-3,-3,57,55931,3198,58,59187,2.14%,2.26%,
106/06/06,-9,-53,0,-62,55868,3201,61,59130,2.14%,2.27%,
106/06/05,-6,-38,-9,-53,55877,3254,61,59192,2.14%,2.27%,
106/06/03,0,-3,0,-3,55883,3292,70,59245,2.14%,2.27%,
106/06/02,-9,-10,0,-19,55883,3295,70,59248,2.14%,2.27%,
106/06/01,-2,0,-8,-10,55892,3305,70,59267,2.14%,2.27%,
106/05/31,-66,0,0,-66,55894,3305,78,59277,2.14%,2.27%,
106/05/26,151,-14,0,137,55960,3305,78,59343,2.14%,2.27%,
106/05/25,28,-3,0,25,55809,3319,78,59206,2.14%,2.27%,
106/05/24,-24,0,0,-24,55781,3322,78,59181,2.14%,2.27%,
106/05/23,-53,0,0,-53,55805,3322,78,59205,2.14%,2.27%,
106/05/22,-88,0,0,-88,55858,3322,78,59258,2.14%,2.27%,
106/05/19,-77,0,1,-76,55946,3322,78,59346,2.14%,2.27%,
106/05/18,-94,-2,0,-96,56023,3322,77,59422,2.15%,2.28%,
106/05/17,54,0,2,56,55851,3324,77,59252,2.14%,2.27%,
106/05/16,-97,300,0,203,55797,3324,75,59196,2.14%,2.27%,
106/05/15,-52,102,0,50,57194,3024,75,60293,2.19%,2.31%,
106/05/12,-83,0,0,-83,57246,2922,75,60243,2.19%,2.31%,
106/05/11,-84,0,0,-84,57329,2922,75,60326,2.20%,2.32%,
106/05/10,-88,0,0,-88,57413,2922,75,60410,2.20%,2.32%,
106/05/09,-78,0,0,-78,57502,2922,75,60499,2.20%,2.32%,
106/05/08,5,0,0,5,57580,2922,75,60577,2.21%,2.33%,
106/05/05,-112,0,0,-112,57575,2922,75,60572,2.21%,2.33%,
106/05/04,29,0,0,29,57687,2922,75,60684,2.21%,2.33%,
106/05/03,-50,0,0,-50,57658,2922,75,60655,2.21%,2.33%,
106/05/02,74,0,0,74,57708,2922,75,60705,2.21%,2.33%,
106/04/28,-38,0,0,-38,57634,2922,75,60631,2.21%,2.33%,
106/04/27,10,0,0,10,57672,2922,75,60669,2.21%,2.33%,
106/04/26,16,0,0,16,57928,2922,75,60925,2.22%,2.34%,
106/04/25,2,1,0,3,57912,2922,75,60909,2.22%,2.34%,
106/04/24,48,0,0,48,57910,2921,75,60906,2.22%,2.34%,
106/04/21,-8,0,0,-8,57862,2921,75,60858,2.22%,2.34%,
106/04/20,-50,0,-2,-52,57870,2921,75,60866,2.22%,2.34%,
106/04/19,-709,0,-14,-723,57654,2921,77,60652,2.21%,2.33%,
106/04/18,-56,0,0,-56,58363,2921,91,61375,2.24%,2.36%,
106/04/17,-99,0,2,-97,58419,2921,91,61431,2.24%,2.36%,
106/04/14,-202,-3,0,-205,58518,2921,89,61528,2.24%,2.36%,
106/04/13,-1,0,-2,-3,58720,2924,89,61733,2.25%,2.37%,
106/04/12,-115,0,3,-112,58721,2924,91,61736,2.25%,2.37%,
106/04/11,-245,0,0,-245,58836,2924,88,61848,2.25%,2.37%,
106/04/10,61,0,0,61,59081,2924,88,62093,2.26%,2.38%,
106/04/07,77,0,-4,73,59020,2924,88,62032,2.26%,2.38%,
106/04/06,-56,-181,14,-223,58943,2924,92,61959,2.26%,2.38%,
106/04/05,18,0,0,18,58999,3105,78,62182,2.26%,2.38%,
106/03/31,124,0,0,124,58981,3105,78,62164,2.26%,2.38%,
106/03/30,-321,0,0,-321,58857,3209,78,62144,2.25%,2.38%,
106/03/29,166,-141,0,25,59177,3209,78,62464,2.27%,2.40%,
106/03/28,324,0,17,341,59011,3350,78,62439,2.26%,2.39%,
106/03/27,37,0,-3,34,58687,3350,61,62098,2.25%,2.38%,
106/03/24,63,0,0,63,58650,3350,64,62064,2.25%,2.38%,
106/03/23,-17,0,0,-17,58587,3350,64,62001,2.24%,2.37%,
106/03/22,-221,0,-13,-234,58604,3350,64,62018,2.24%,2.37%,
106/03/21,60,46,0,106,58825,3350,77,62252,2.25%,2.38%,
106/03/20,-19,45,0,26,58765,3304,77,62146,2.25%,2.38%,
106/03/17,234,0,0,234,58784,3259,77,62120,2.25%,2.38%,
106/03/16,126,0,5,131,58550,3259,77,61886,2.24%,2.37%,
106/03/15,155,0,0,155,58424,3259,72,61755,2.24%,2.37%,
106/03/14,-28,0,0,-28,58269,3259,72,61600,2.23%,2.36%,
106/03/13,-29,0,0,-29,58297,3259,72,61628,2.23%,2.36%,
106/03/10,-178,0,1,-177,58327,3259,72,61658,2.23%,2.36%,
106/03/09,-73,0,-12,-85,58505,3259,71,61835,2.24%,2.37%,
106/03/08,15,0,0,15,58578,3259,83,61920,2.24%,2.37%,
106/03/07,191,0,1,192,58512,3259,83,61854,2.24%,2.37%,
106/03/06,195,0,0,195,56237,3259,82,59578,2.15%,2.28%,
106/03/03,43,0,0,43,56042,3259,82,59383,2.15%,2.28%,
106/03/02,34,0,13,47,55999,3259,82,59340,2.14%,2.27%,
106/03/01,23,0,-12,11,55965,3259,69,59293,2.14%,2.27%,
106/02/24,-12,0,0,-12,55942,3259,81,59282,2.14%,2.27%,
106/02/23,-11,0,2,-9,55954,3259,81,59294,2.14%,2.27%,
106/02/22,211,0,12,223,55965,3259,79,59303,2.14%,2.27%,
106/02/21,130,0,2,132,55754,3259,67,59080,2.14%,2.27%,
106/02/20,37,0,14,51,55624,3259,65,58948,2.13%,2.26%,
106/02/18,0,0,0,0,55587,3259,51,58897,2.13%,2.26%,
106/02/17,302,0,0,302,55587,3259,51,58897,2.13%,2.26%,
106/02/16,325,0,0,325,55305,3259,51,58615,2.12%,2.25%,
106/02/15,444,0,0,444,54980,3259,51,58290,2.11%,2.24%,
106/02/14,254,0,-4,250,54536,3259,51,57846,2.09%,2.22%,
106/02/13,95,0,0,95,54282,3259,55,57596,2.08%,2.21%,
106/02/10,-9,0,0,-9,54187,3259,55,57501,2.07%,2.20%,
106/02/09,70,0,-3,67,54196,3259,55,57510,2.08%,2.21%,
106/02/08,-73,0,-2,-75,54126,3259,58,57443,2.07%,2.20%,
106/02/07,-134,0,-11,-145,54201,3259,60,57520,2.08%,2.21%,
106/02/06,3,0,-1,2,54335,3259,71,57665,2.08%,2.21%,
106/02/03,52,0,-1,51,54332,3259,72,57663,2.08%,2.21%,
106/02/02,-58,0,-1,-59,54280,3259,73,57612,2.08%,2.21%,
106/01/24,-33,0,0,-33,54338,3259,74,57671,2.08%,2.21%,
106/01/23,-28,0,0,-28,54371,3259,74,57704,2.08%,2.21%,
106/01/20,-24,0,-3,-27,54399,3259,74,57732,2.08%,2.21%,
106/01/19,-10,0,-2,-12,54423,3259,77,57759,2.08%,2.21%,
106/01/18,43,0,-24,19,54433,3259,79,57771,2.08%,2.21%,
106/01/17,-209,0,0,-209,54383,3259,103,57745,2.08%,2.21%,
106/01/16,-209,0,0,-209,54592,3259,103,57954,2.09%,2.22%,
106/01/13,-34,0,0,-34,54801,3259,103,58163,2.10%,2.23%,
106/01/12,-32,0,0,-32,54834,3259,103,58196,2.10%,2.23%,
106/01/11,-444,0,0,-444,54866,3259,103,58228,2.10%,2.23%,
106/01/10,-69,0,0,-69,55310,3259,103,58672,2.12%,2.25%,
106/01/09,-1,0,0,-1,55679,3259,103,59041,2.13%,2.26%,
106/01/06,-150,0,0,-150,55680,3259,103,59042,2.13%,2.26%,
106/01/05,-51,0,0,-51,55830,3259,103,59192,2.14%,2.27%,
106/01/04,-535,0,0,-535,55881,3259,103,59243,2.14%,2.27%,
106/01/03,-64,0,0,-64,56416,3259,103,59778,2.16%,2.29%,
105/12/30,-313,0,0,-313,56480,3259,103,59842,2.16%,2.29%,
105/12/29,-50,0,0,-50,56793,3259,103,60155,2.18%,2.31%,
105/12/28,30,0,0,30,56843,3259,103,60205,2.18%,2.31%,
105/12/27,-2,0,0,-2,56813,3259,103,60175,2.18%,2.31%,
105/12/26,-55,0,0,-55,56815,3259,103,60177,2.18%,2.31%,
105/12/23,-116,0,0,-116,56870,3259,103,60232,2.18%,2.31%,
105/12/22,-43,0,0,-43,56986,3259,103,60348,2.18%,2.31%,
105/12/21,142,0,35,177,57029,3259,103,60391,2.18%,2.31%,
105/12/20,96,0,28,124,56887,3259,68,60214,2.18%,2.31%,
105/12/19,301,0,0,301,56791,3259,40,60090,2.17%,2.30%,
105/12/16,170,0,0,170,56490,3259,40,59789,2.16%,2.29%,
105/12/15,349,0,0,349,56320,3259,40,59619,2.16%,2.29%,
105/12/14,-102,0,0,-102,55971,3259,40,59270,2.14%,2.27%,
105/12/13,174,0,0,174,56073,3259,40,59372,2.15%,2.28%,
105/12/12,70,0,0,70,55899,3259,40,59198,2.14%,2.27%,
105/12/09,37,0,-0,37,55829,3259,40,59128,2.14%,2.27%,
105/12/08,27,0,0,27,55792,3259,40,59091,2.14%,2.27%,
105/12/07,183,0,0,183,56065,3259,40,59364,2.15%,2.28%,
105/12/06,382,0,0,382,55882,3259,40,59181,2.14%,2.27%,
105/12/05,-1359,0,3,-1356,55501,3259,40,58800,2.13%,2.26%,
105/12/02,-84,0,0,-84,56860,3259,37,60156,2.18%,2.31%,
105/12/01,-132,0,1,-131,57513,3259,37,60809,2.20%,2.33%,
105/11/30,474,0,-11,463,57644,3259,36,60939,2.21%,2.34%,
105/11/29,110,0,0,110,57160,3259,47,60466,2.19%,2.32%,
105/11/28,-802,0,0,-802,57050,3259,47,60356,2.18%,2.31%,
105/11/25,-2323,0,0,-2323,57779,3259,47,61085,2.21%,2.34%,
105/11/24,-1560,0,0,-1560,60102,3259,47,63408,2.30%,2.43%,
105/11/23,-709,0,0,-709,61662,3259,47,64968,2.36%,2.49%,
105/11/22,-729,0,0,-729,62371,3259,47,65677,2.39%,2.52%,
105/11/21,-616,0,0,-616,63100,3259,47,66406,2.42%,2.55%,
105/11/18,-767,0,0,-767,63616,3259,47,66922,2.44%,2.57%,
105/11/17,-231,0,0,-231,64383,3259,47,67689,2.47%,2.60%,
105/11/16,-149,0,0,-149,64514,3259,47,67820,2.47%,2.60%,
105/11/15,-208,0,1,-207,64664,3259,47,67970,2.48%,2.61%,
105/11/14,-7,0,-7,-14,64772,3259,46,68077,2.48%,2.61%,
105/11/11,-25,0,0,-25,64779,3259,53,68091,2.48%,2.61%,
105/11/10,-25,0,0,-25,64804,3259,53,68116,2.48%,2.61%,
105/11/09,-10,0,0,-10,64729,3259,53,68041,2.48%,2.61%,
105/11/08,-27,0,0,-27,64739,3259,53,68051,2.48%,2.61%,
105/11/07,26,0,0,26,64590,3259,53,67902,2.47%,2.60%,
105/11/04,-43,0,0,-43,64564,3259,53,67876,2.47%,2.60%,
