107/03/01,3300999,37146435,10.95,11.40,10.85,11.35,+0.30,956,
107/03/02,1518911,16818256,11.20,11.25,11.00,11.05,-0.30,553,
107/03/05,1403369,15292915,11.05,11.10,10.75,10.75,-0.30,481,
107/03/06,599057,6503861,10.90,10.95,10.80,10.80,+0.05,252,
107/03/07,798600,8563820,10.75,10.85,10.65,10.65,-0.15,299,
107/03/08,666480,7142207,10.65,10.80,10.65,10.70,+0.05,257,
107/03/09,756502,8051421,10.75,10.75,10.60,10.65,-0.05,272,
107/03/12,780785,8425997,10.90,10.90,10.75,10.75,+0.10,240,
107/03/13,1345612,14763096,10.80,11.15,10.75,10.95,+0.20,447,
107/03/14,2057622,22700116,10.95,11.10,10.90,11.05,+0.10,515,
107/03/15,1075669,11953690,11.00,11.20,10.95,11.10,+0.05,341,
107/03/16,2679452,29757265,11.15,11.20,11.00,11.10,0.00,694,
107/03/19,1428811,15929548,11.05,11.25,11.05,11.10,0.00,521,
107/03/20,6354100,72892840,11.15,11.65,11.15,11.35,+0.25,1609,
107/03/21,2453211,28111952,11.40,11.55,11.30,11.50,+0.15,731,
107/03/22,1653493,18909465,11.45,11.60,11.35,11.45,-0.05,546,
107/03/23,1804778,20129351,11.05,11.25,11.05,11.15,-0.30,458,
107/03/26,1393889,15680353,11.15,11.35,11.10,11.25,+0.10,399,
107/03/27,10502039,122720344,11.25,11.90,11.25,11.70,+0.45,2754,
107/03/28,4271558,49990320,11.55,11.90,11.55,11.60,-0.10,1094,
107/03/29,6583530,78114072,11.70,12.00,11.65,11.80,+0.20,1584,
107/03/30,4519345,53873283,11.90,12.15,11.70,11.75,-0.05,1121,
107/03/31,1575518,18517735,11.85,11.90,11.70,11.75,0.00,426,
107/02/01,1281031,14653747,11.40,11.55,11.35,11.35,-0.05,349,
107/02/02,1352204,15297493,11.35,11.40,11.25,11.30,-0.05,298,
107/02/05,1543345,16992798,11.05,11.15,10.90,11.15,-0.15,528,
107/02/06,5329735,55547496,10.90,10.95,10.05,10.30,-0.85,1096,
107/02/07,2856052,30326391,10.60,10.80,10.45,10.50,+0.20,862,
107/02/08,1098178,11421359,10.45,10.55,10.35,10.40,-0.10,313,
107/02/09,2234798,22432637,9.84,10.25,9.81,10.15,-0.25,602,
107/02/12,1790128,18401667,10.35,10.40,10.20,10.25,+0.10,475,
107/02/21,1665056,17343935,10.50,10.60,10.35,10.55,+0.30,340,
107/02/22,725480,7678189,10.60,10.65,10.50,10.55,0.00,257,
107/02/23,1461881,15891963,10.70,11.00,10.70,10.85,+0.30,546,
107/02/26,1021200,11227505,11.00,11.20,10.85,10.90,+0.05,364,
107/02/27,1975171,21887381,11.00,11.25,10.95,11.05,+0.15,643,
107/01/02,7677872,90974193,11.75,12.05,11.60,11.80,+0.05,1770,
107/01/03,4617646,54069401,11.80,11.90,11.60,11.75,-0.05,964,
107/01/04,8244734,98117805,11.90,12.05,11.75,11.90,+0.15,1408,
107/01/05,6000441,71647550,12.20,12.20,11.70,11.85,-0.05,1279,
