日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
101/07/26,17500,871650,49.50,49.95,49.50,49.65,+0.15,18,
101/07/27,33190,1647855,49.65,49.80,49.50,49.75,+0.10,34,
101/07/30,97134,4866171,49.80,50.30,49.75,50.20,+0.45,67,
101/07/31,83134,4166551,50.00,50.30,50.00,50.20,0.00,58,
101/06/01,41152,2075034,50.80,50.80,50.10,50.40,-0.80,43,
101/06/04,72320,3591610,50.00,50.20,49.40,50.20,-0.20,58,
101/06/05,50105,2512250,50.20,50.40,50.00,50.10,-0.10,39,
101/06/06,51009,2554566,50.40,50.40,49.70,49.70,-0.40,33,
101/06/07,43608,2190077,50.30,50.40,50.00,50.30,+0.60,42,
101/06/08,67153,3379771,50.30,50.50,50.00,50.30,0.00,31,
101/06/11,23201,1169968,50.40,50.70,50.30,50.40,+0.10,26,
101/06/12,39000,1954100,50.50,50.50,50.00,50.00,-0.40,24,
101/06/13,23127,1159725,50.10,50.50,50.10,50.10,+0.10,28,
101/06/14,54170,2710821,50.00,50.50,49.90,50.00,-0.10,43,
101/06/15,20010,1003726,50.10,50.50,50.10,50.50,+0.50,14,
101/06/18,53502,2712298,50.20,50.90,50.20,50.90,+0.40,45,
101/06/19,32704,1665190,50.90,51.00,50.60,51.00,+0.10,31,
101/06/20,26060,1332120,51.00,51.50,50.80,51.50,+0.50,30,
101/06/21,86320,4404451,51.00,51.40,50.60,50.60,-0.90,71,
101/06/22,30154,1533268,50.80,51.00,50.70,50.70,+0.10,24,
101/06/25,8570,436506,50.70,50.90,50.70,50.80,+0.10,16,
101/06/26,29041,1474781,50.70,51.00,50.70,50.80,0.00,27,
101/06/27,33191,1691327,51.00,51.00,50.80,50.90,+0.10,25,
101/06/28,64290,3290093,51.00,51.50,50.90,51.10,+0.20,51,
101/06/29,75436,3855089,51.10,51.20,51.00,51.00,-0.10,53,
101/05/02,95260,4787029,50.30,50.40,50.00,50.40,+0.40,65,
101/05/03,18119,911720,50.40,50.50,50.10,50.10,-0.30,19,
101/05/04,61161,3094093,50.40,50.80,50.40,50.80,+0.70,51,
101/05/07,256136,12821136,50.80,50.80,49.90,50.10,-0.70,97,
101/05/08,29654,1489293,50.10,50.60,50.00,50.30,+0.20,35,
101/05/09,46243,2319546,50.30,50.50,50.00,50.00,-0.30,39,
101/05/10,20199,1011628,50.00,50.40,50.00,50.40,+0.40,23,
101/05/11,33920,1703158,50.40,50.40,50.00,50.00,-0.40,33,
101/05/14,61850,3092175,50.00,50.00,49.90,49.95,-0.05,44,
101/05/15,59210,2961005,49.90,50.20,49.80,50.20,+0.25,27,
101/05/16,160000,8051200,50.20,50.60,50.10,50.20,0.00,99,
101/05/17,41163,2072680,50.40,50.50,50.20,50.50,+0.30,36,
101/05/18,114380,5699500,49.90,50.00,49.60,49.85,-0.65,91,
101/05/21,37120,1848850,49.85,50.10,49.70,49.80,-0.05,37,
101/05/22,58950,2952900,49.85,50.30,49.60,50.30,+0.50,46,
101/05/23,90050,4505775,50.30,50.50,49.75,49.75,-0.55,58,
101/05/24,105010,5196603,49.60,49.60,49.30,49.55,-0.20,85,
101/05/25,30026,1486560,49.50,49.55,49.50,49.55,0.00,22,
101/05/28,63077,3101330,49.50,49.50,49.00,49.30,-0.25,36,
101/05/29,137001,6796300,49.35,49.85,49.35,49.85,+0.55,52,
101/05/30,31040,1539040,49.85,49.85,49.50,49.60,-0.25,30,
101/05/31,363257,18397830,49.50,51.70,49.05,51.20,+1.60,159,
101/04/02,50780,2560287,50.50,50.60,50.20,50.40,-0.10,49,
101/04/03,187554,9426576,50.40,50.50,50.10,50.30,-0.10,93,
101/04/05,152210,7599662,49.90,50.20,49.80,50.00,-0.30,103,
101/04/06,123310,6165224,49.90,50.20,49.90,49.95,-0.05,79,
101/04/09,84854,4246390,49.95,50.20,49.95,50.10,+0.15,67,
101/04/10,75110,3755640,50.10,50.10,49.90,50.00,-0.10,57,
101/04/11,25152,1257564,49.80,50.10,49.80,50.10,+0.10,27,
101/04/12,74150,3713484,50.10,50.20,49.95,50.20,+0.10,49,
101/04/13,51101,2570751,50.20,50.50,50.10,50.30,+0.10,42,
101/04/16,32200,1620159,50.60,50.60,50.10,50.30,0.00,18,
101/04/17,154149,7740063,50.20,50.30,50.10,50.10,-0.20,54,
101/04/18,65105,3268305,50.10,50.30,49.95,50.30,+0.20,46,
101/04/19,44000,2210300,50.20,50.30,50.00,50.30,0.00,21,
101/04/20,40009,2001053,50.00,50.10,49.90,50.00,-0.30,31,
101/04/23,108030,5356642,50.00,50.00,49.45,49.60,-0.40,71,
101/04/24,64050,3181200,49.50,50.20,49.50,50.20,+0.60,40,
101/04/25,27000,1353800,50.20,50.30,49.90,50.30,+0.10,23,
101/04/26,77010,3849660,50.30,50.30,49.80,50.00,-0.30,40,
101/04/27,55080,2728680,49.80,49.80,49.40,49.70,-0.30,30,
101/04/30,15069,751138,49.70,50.00,49.70,50.00,+0.30,16,
101/03/01,135156,6784142,50.10,50.50,49.90,50.40,+0.30,98,
101/03/02,184258,9369234,51.00,51.00,50.50,50.80,+0.40,112,
101/03/03,81240,4121189,51.00,51.00,50.00,51.00,+0.20,67,
101/03/05,72465,3640494,51.00,51.00,50.00,50.10,-0.90,66,
101/03/06,177850,8796429,50.10,50.10,49.00,49.80,-0.30,123,
101/03/07,83880,4153071,49.00,49.80,49.00,49.80,0.00,49,
101/03/08,47987,2401454,50.00,50.20,49.90,49.90,+0.10,36,
101/03/09,45100,2253989,50.00,50.20,49.75,50.20,+0.30,34,
101/03/12,74291,3730707,50.30,50.50,50.00,50.10,-0.10,59,
101/03/13,164091,8257065,50.30,50.60,50.10,50.10,0.00,96,
101/03/14,145789,7410492,50.50,51.30,50.40,51.30,+1.20,116,
101/03/15,154169,7902503,51.30,51.50,50.80,51.50,+0.20,115,
101/03/16,112240,5726688,51.40,51.40,50.80,50.90,-0.60,69,
101/03/19,72705,3718774,51.00,51.50,51.00,51.10,+0.20,59,
101/03/20,74220,3805329,51.10,51.40,51.10,51.10,0.00,55,
101/03/21,58150,2975085,51.00,51.50,51.00,51.40,+0.30,47,
101/03/22,53180,2730742,51.20,51.40,51.20,51.40,0.00,39,
101/03/23,31235,1601494,51.40,51.40,51.10,51.30,-0.10,27,
101/03/26,44292,2270208,51.40,51.40,51.10,51.20,-0.10,39,
101/03/27,38060,1936704,51.40,51.40,50.60,51.20,0.00,30,
101/03/28,68125,3470099,51.30,51.30,50.50,51.00,-0.20,58,
101/03/29,123100,6187660,50.50,50.50,50.00,50.30,-0.70,72,
101/03/30,76421,3853016,50.00,50.90,50.00,50.50,+0.20,66,
101/02/01,83100,3986139,47.70,48.30,47.70,48.00,+0.30,60,
101/02/02,69375,3336975,48.00,48.30,47.90,48.15,+0.15,59,
101/02/03,119400,5750719,48.45,48.45,48.05,48.35,+0.20,72,
101/02/04,72630,3535407,48.35,48.95,48.35,48.60,+0.25,64,
101/02/06,81838,3954389,48.60,48.60,48.15,48.25,-0.35,69,
101/02/07,81298,3909931,48.15,48.30,47.90,47.90,-0.35,57,
101/02/08,64530,3115426,48.00,48.50,48.00,48.30,+0.40,46,
101/02/09,56643,2742226,48.45,48.60,48.30,48.45,+0.15,55,
101/02/10,83062,4032156,48.35,48.80,48.35,48.50,+0.05,68,
101/02/13,52400,2535988,48.50,48.60,48.20,48.50,0.00,49,
101/02/14,82634,4015348,49.00,49.00,48.40,48.50,0.00,58,
101/02/15,44800,2180120,48.50,48.75,48.50,48.75,+0.25,38,
101/02/16,95210,4645189,48.75,49.00,48.60,48.60,-0.15,72,
101/02/17,108187,5290394,48.60,49.00,48.60,49.00,+0.40,83,
101/02/20,133040,6614559,49.00,50.80,49.00,49.60,+0.60,120,
101/02/21,59144,2925380,49.70,49.85,49.30,49.30,-0.30,62,
101/02/22,51733,2565778,49.10,49.95,49.10,49.50,+0.20,50,
