107/03/01,23651325,355329627,14.00,15.50,13.85,15.50,+1.40,6202,
107/03/02,39854566,612788325,15.40,16.20,14.30,14.55,-0.95,13520,
107/03/05,16359045,229940554,14.50,14.85,13.30,13.55,-1.00,5694,
107/03/06,8022339,110177726,13.80,14.05,13.50,13.60,+0.05,2974,
107/03/07,9983193,131866694,13.55,13.90,12.75,13.00,-0.60,3355,
107/03/08,4521500,58658996,13.30,13.30,12.75,12.95,-0.05,1503,
107/03/09,2759500,35717722,13.05,13.15,12.75,12.75,-0.20,1037,
107/03/12,11499942,154756308,12.95,13.95,12.80,13.70,+0.95,3774,
107/03/13,6300792,85382042,13.70,13.95,13.30,13.30,-0.40,2323,
107/03/14,2834238,38065938,13.30,13.60,13.30,13.35,+0.05,1032,
107/03/15,1992600,26239230,13.35,13.40,13.05,13.10,-0.25,745,
107/03/16,2681351,34460593,13.20,13.25,12.65,12.80,-0.30,1061,
107/03/19,2855540,36036474,12.70,12.85,12.50,12.50,-0.30,909,
107/03/20,5031135,64922011,12.60,13.15,12.55,12.80,+0.30,1929,
107/03/21,2642677,33386011,12.85,13.00,12.45,12.45,-0.35,1040,
107/03/22,3749930,45326120,12.55,12.55,11.85,11.90,-0.55,1385,
107/03/23,2075250,23721050,11.30,11.65,11.15,11.40,-0.50,921,
107/03/26,1763425,20641214,11.65,11.95,11.50,11.80,+0.40,811,
107/03/27,1521102,18252463,11.95,12.15,11.90,11.90,+0.10,571,
107/03/28,1181600,13691120,11.75,11.75,11.50,11.60,-0.30,460,
107/03/29,4451501,53451662,11.75,12.25,11.60,12.05,+0.45,1352,
107/03/30,4256370,52906638,12.30,12.60,12.30,12.50,+0.45,1518,
107/03/31,5568278,71742173,12.60,13.15,12.55,12.60,+0.10,1999,
107/02/01,5791367,66647746,11.40,11.85,11.25,11.40,-0.25,1995,
107/02/02,2928700,33663110,11.55,11.70,11.25,11.35,-0.05,1039,
107/02/05,12276405,145816656,10.90,12.25,10.80,11.75,+0.40,4074,
107/02/06,12094350,138298830,11.65,12.20,10.60,10.80,-0.95,4204,
107/02/07,5451100,62331374,11.25,11.75,11.10,11.20,+0.40,2062,
107/02/08,6184250,70772937,11.55,11.90,11.05,11.30,+0.10,2334,
107/02/09,8211046,94194726,10.80,11.80,10.80,11.55,+0.25,2791,
107/02/12,4630000,53277848,11.60,11.80,11.25,11.40,-0.15,1621,
107/02/21,4280050,49205170,11.65,11.70,11.30,11.45,+0.05,1481,
107/02/22,10088033,124794003,11.60,12.55,11.50,12.55,+1.10,2497,
107/02/23,8795097,120229228,13.50,13.80,13.35,13.80,+1.25,2016,
107/02/26,28784645,417425979,14.55,15.10,13.90,14.20,+0.40,9521,
107/02/27,10820496,151509744,14.20,14.65,13.50,14.10,-0.10,3988,
107/01/02,1465130,12808216,8.52,8.85,8.52,8.73,+0.23,403,
107/01/03,3964571,35191755,8.78,9.10,8.68,9.00,+0.27,708,
107/01/04,1577880,14549456,9.09,9.30,9.09,9.20,+0.20,500,
107/01/05,1022299,9267071,9.22,9.22,8.92,9.04,-0.16,333,
107/01/08,1167121,10640716,9.17,9.19,9.05,9.07,+0.03,250,
107/01/09,1103900,9946441,9.07,9.13,8.95,9.00,-0.07,239,
107/01/10,1085859,10028810,9.32,9.32,9.15,9.16,+0.16,358,
107/01/11,6427649,63868527,9.20,10.05,9.20,10.05,+0.89,1413,
107/01/12,13057015,143327881,11.05,11.05,10.55,11.05,+1.00,3199,
107/01/15,8536053,94828434,11.30,11.60,10.65,11.40,+0.35,2758,
107/01/16,3798634,42897056,11.15,11.65,11.05,11.40,0.00,1174,
107/01/17,7392100,88213317,11.50,12.30,11.50,11.70,+0.30,2495,
107/01/18,3557300,41089070,11.90,11.95,11.30,11.30,-0.40,997,
107/01/19,12140397,146826104,11.20,12.40,11.20,11.65,+0.35,3176,
107/01/22,4388303,49737022,11.55,11.80,10.90,11.40,-0.25,1451,
107/01/23,1632560,18240910,11.50,11.50,11.00,11.05,-0.35,582,
107/01/24,2885611,31289945,11.25,11.25,10.55,10.90,-0.15,850,
107/01/25,14525405,171942221,10.85,11.95,10.80,11.95,+1.05,2673,
107/01/26,18512800,224601958,12.25,12.45,11.75,12.25,+0.30,4796,
107/01/29,5658200,68138805,12.25,12.35,11.80,11.85,-0.40,1810,
107/01/30,4576776,51318756,11.60,11.70,10.75,10.90,-0.95,1637,
107/01/31,16172870,189184791,10.80,11.95,10.60,11.65,+0.75,3971,
