107/03/01,1079136,22270188,19.20,21.10,19.15,21.05,+1.85,423,
107/03/02,1425112,30149129,21.35,21.60,20.75,21.00,-0.05,650,
107/03/05,436021,9198720,21.10,21.30,20.75,20.75,-0.25,260,
107/03/06,325025,6843121,20.95,21.20,20.90,20.90,+0.15,123,
107/03/07,837081,17885258,21.10,21.90,21.00,21.20,+0.30,385,
107/03/08,234252,4942378,21.20,21.30,21.00,21.15,-0.05,130,
107/03/09,266254,5622084,21.15,21.30,21.00,21.00,-0.15,117,
107/03/12,394517,8384180,21.20,21.45,21.05,21.05,+0.05,181,
107/03/13,437102,9241396,21.05,21.25,21.05,21.10,+0.05,152,
107/03/14,509405,10841294,21.15,21.45,21.00,21.20,+0.10,147,
107/03/15,337142,7164544,21.20,21.35,21.20,21.25,+0.05,119,
107/03/16,399796,8491504,21.35,21.50,21.10,21.20,-0.05,160,
107/03/19,345078,7354502,21.20,21.40,21.20,21.40,+0.20,164,
107/03/20,228005,4838355,21.30,21.30,21.15,21.20,-0.20,102,
107/03/21,356656,7496436,21.15,21.20,20.95,20.95,-0.25,148,
107/03/22,908631,18359936,20.95,21.00,19.85,19.90,-1.05,342,
107/03/23,120253,2354669,19.05,20.00,19.05,19.60,-0.30,104,
107/03/26,126027,2469921,19.30,19.65,19.30,19.65,+0.05,73,
107/03/27,91017,1816924,19.85,20.05,19.85,19.90,+0.25,67,
107/03/28,139526,2793820,19.90,20.10,19.90,20.10,+0.20,92,
107/03/29,194078,3905417,19.90,20.45,19.90,20.20,+0.10,70,
107/03/30,228100,4563481,20.25,20.30,19.85,20.00,-0.20,86,
107/03/31,245025,4848292,19.85,19.95,19.60,19.90,-0.10,96,
107/02/01,277998,5533508,20.25,20.25,19.80,19.80,-0.15,135,
107/02/02,479501,9345018,19.80,19.80,19.20,19.70,-0.10,188,
107/02/05,625140,11937660,19.50,19.50,18.90,19.10,-0.60,187,
107/02/06,1386004,24570468,18.40,18.40,17.20,17.25,-1.85,458,
107/02/07,457001,8218367,17.90,18.10,17.80,18.00,+0.75,200,
107/02/08,165224,2985996,18.00,18.10,18.00,18.10,+0.10,69,
107/02/09,134716,2386542,17.65,18.10,17.00,17.90,-0.20,82,
107/02/12,413740,7308986,18.00,18.05,17.40,17.60,-0.30,138,
107/02/21,389007,7351733,17.80,19.30,17.80,18.85,+1.25,172,
107/02/22,204005,3904195,18.90,19.30,18.90,19.05,+0.20,99,
107/02/23,129508,2483527,19.15,19.30,19.10,19.25,+0.20,71,
107/02/26,245479,4738546,19.25,19.45,19.15,19.20,-0.05,115,
107/02/27,177030,3417722,19.40,19.50,19.15,19.20,0.00,92,
107/01/02,659501,14461994,21.70,22.15,21.60,21.95,+0.25,282,
107/01/03,2259412,50984921,22.20,22.85,21.90,22.50,+0.55,929,
107/01/04,1743621,39860195,22.75,23.30,22.65,22.70,+0.20,724,
107/01/05,837110,18973968,22.80,22.90,22.55,22.90,+0.20,329,
107/01/08,990226,22576211,23.00,23.05,22.50,22.50,-0.40,388,
107/01/09,2134500,46757950,21.80,22.30,21.65,21.95,-0.55,638,
107/01/10,337488,7356383,21.95,21.95,21.75,21.80,-0.15,165,
107/01/11,344694,7571629,21.80,22.30,21.70,22.05,+0.25,153,
107/01/12,767117,16721296,22.30,22.35,21.65,21.75,-0.30,286,
107/01/15,518031,11211670,21.80,21.80,21.50,21.55,-0.20,176,
107/01/16,569181,12172203,21.60,21.65,21.00,21.30,-0.25,204,
107/01/17,434301,9185021,21.45,21.55,21.00,21.05,-0.25,190,
107/01/18,349175,7390975,21.30,21.30,21.10,21.10,+0.05,135,
107/01/19,398158,8410940,21.00,21.45,21.00,21.00,-0.10,182,
107/01/22,442242,9195055,21.05,21.25,20.70,20.90,-0.10,210,
107/01/23,576052,11826748,21.00,21.00,20.30,20.30,-0.60,230,
107/01/24,397214,8195785,20.35,20.85,20.35,20.55,+0.25,146,
107/01/25,659026,13799731,20.70,21.15,20.55,20.55,0.00,220,
107/01/26,271052,5614575,20.70,20.85,20.55,20.70,+0.15,97,
107/01/29,121078,2513503,20.85,20.95,20.70,20.70,0.00,74,
107/01/30,190200,3908678,20.55,20.65,20.50,20.50,-0.20,99,
107/01/31,851025,17068742,20.50,20.50,19.80,19.95,-0.55,260,
106/12/01,618100,12703773,21.30,21.30,20.30,20.35,-0.35,255,
106/12/04,369001,7525570,20.35,20.60,20.20,20.50,+0.15,143,
106/12/05,439051,8956779,20.50,20.60,20.25,20.30,-0.20,171,
106/12/06,753001,14928919,20.30,20.30,19.30,19.75,-0.55,266,
106/12/07,368143,7281659,20.15,20.15,19.70,19.70,-0.05,121,
106/12/08,752555,14902893,19.85,20.15,19.65,19.95,+0.25,207,
106/12/11,301000,6096850,20.35,20.35,20.05,20.25,+0.30,129,
106/12/12,714562,14666801,20.25,20.75,20.25,20.30,+0.05,266,
106/12/13,1861348,38929968,20.80,21.30,20.55,20.70,+0.40,707,
106/12/14,790199,16467769,20.80,21.05,20.60,20.60,-0.10,342,
106/12/15,265050,5438118,20.60,20.65,20.40,20.50,-0.10,125,
106/12/18,811911,17015926,20.60,21.20,20.60,20.90,+0.40,354,
106/12/19,447203,9252198,21.00,21.00,20.40,20.55,-0.35,169,
106/12/20,515312,10765336,21.10,21.15,20.70,20.90,+0.35,210,
106/12/21,643466,13511038,21.10,21.20,20.80,20.90,0.00,265,
106/12/22,2614453,57084217,21.00,22.50,21.00,21.90,+1.00,1111,
106/12/25,1335261,29802342,22.20,22.85,22.10,22.10,+0.20,680,
106/12/26,971747,21287783,22.10,22.40,21.50,21.50,-0.60,373,
106/12/27,639220,13678600,21.50,21.70,21.05,21.40,-0.10,260,
106/12/28,367675,7950725,21.50,21.85,21.45,21.55,+0.15,185,
106/12/29,410955,8939373,21.55,22.00,21.55,21.70,+0.15,178,
106/11/01,265797,5016820,18.80,18.95,18.80,18.95,+0.15,134,
106/11/02,283177,5324491,18.95,19.00,18.60,18.65,-0.30,121,
106/11/03,631001,11746668,18.60,18.90,18.60,18.60,-0.05,150,
106/11/06,517058,9696129,18.70,18.85,18.60,18.65,+0.05,192,
106/11/07,674861,12777385,18.65,19.10,18.65,18.90,+0.25,230,
106/11/08,389180,7368441,19.00,19.00,18.90,18.90,0.00,123,
106/11/09,1044936,20256789,19.05,19.80,19.00,19.00,+0.10,440,
106/11/10,347034,6506535,18.90,18.95,18.60,18.75,-0.25,168,
106/11/13,364393,6829109,19.00,19.00,18.65,18.65,-0.10,140,
106/11/14,307140,5726766,18.65,18.90,18.55,18.70,+0.05,145,
106/11/15,424002,7852036,18.60,18.75,18.45,18.50,-0.20,186,
106/11/16,1121429,20225722,18.50,18.60,17.30,18.15,-0.35,382,
106/11/17,348186,6345765,18.05,18.45,18.05,18.15,0.00,136,
106/11/20,292208,5313813,18.15,18.40,18.10,18.15,0.00,121,
106/11/21,2636375,51698180,18.30,19.95,18.30,19.95,+1.80,842,
106/11/22,3468438,70872308,20.90,20.95,19.80,20.35,+0.40,1275,
106/11/23,1032378,20518720,20.30,20.30,19.65,20.05,-0.30,433,
106/11/24,778022,15631736,20.35,20.45,19.90,20.10,+0.05,357,
106/11/27,963019,19735986,20.10,20.90,20.10,20.65,+0.55,439,
106/11/28,2242589,47785638,21.05,21.85,20.75,20.80,+0.15,1025,
106/11/29,745450,15526382,20.85,21.15,20.50,20.85,+0.05,302,
106/11/30,607151,12520810,20.85,20.85,20.30,20.70,-0.15,250,
106/10/02,2111838,43108870,19.90,20.75,19.90,20.65,+0.70,831,
106/10/03,1530138,32248267,21.00,21.35,20.85,20.95,+0.30,584,
106/10/05,787626,16493769,21.25,21.25,20.70,20.90,-0.05,319,
106/10/06,577227,12103717,21.00,21.15,20.65,21.00,+0.10,231,
