日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
107/03/01,77387,1351972,17.45,17.55,17.40,17.55,0.00,32,
107/03/02,67000,1161400,17.40,17.40,17.25,17.35,-0.20,41,
107/03/05,98060,1700076,17.40,17.45,17.25,17.25,-0.10,67,
107/03/06,104261,1815564,17.50,17.50,17.30,17.35,+0.10,37,
107/03/07,156000,2726950,17.30,17.50,17.30,17.45,+0.10,34,
107/03/08,30000,521200,17.40,17.40,17.30,17.40,-0.05,25,
107/03/09,48640,843903,17.45,17.45,17.30,17.40,0.00,25,
107/03/12,96000,1673600,17.50,17.55,17.40,17.45,+0.05,33,
107/03/13,106488,1856316,17.40,17.50,17.40,17.40,-0.05,44,
107/03/14,103002,1800684,17.40,17.50,17.40,17.45,+0.05,32,
107/03/15,129000,2236750,17.45,17.45,17.20,17.45,0.00,43,
107/03/16,68000,1190400,17.50,17.55,17.40,17.45,0.00,27,
107/03/19,651380,11732597,17.80,18.25,17.80,18.00,+0.55,190,
107/03/20,178100,3188400,17.95,18.00,17.85,17.95,-0.05,58,
107/03/21,291102,5262436,17.95,18.20,17.95,18.05,+0.10,103,
107/03/22,128851,2317872,18.05,18.05,17.90,18.00,-0.05,60,
107/03/23,116810,2102517,18.00,18.10,17.95,17.95,-0.05,37,
107/03/26,129890,2335533,18.00,18.05,17.90,17.90,-0.05,37,
107/03/27,169238,3044684,18.00,18.10,17.85,17.95,+0.05,43,
107/03/28,117000,2095200,17.90,17.95,17.85,17.90,-0.05,34,
107/03/29,59000,1066750,18.05,18.15,18.00,18.15,+0.25,30,
107/03/30,229340,4175088,18.20,18.30,18.05,18.30,+0.15,74,
107/03/31,167003,3032804,18.25,18.25,18.15,18.20,-0.10,34,
107/02/01,90242,1607095,17.85,17.85,17.75,17.80,0.00,37,
107/02/02,53076,943849,17.80,17.85,17.75,17.75,-0.05,23,
107/02/05,130909,2310648,17.70,17.70,17.60,17.65,-0.10,60,
107/02/06,508864,8817430,17.60,17.60,17.00,17.15,-0.50,190,
107/02/07,148127,2573690,17.40,17.50,17.25,17.25,+0.10,78,
107/02/08,70998,1231813,17.30,17.45,17.25,17.30,+0.05,38,
107/02/09,201050,3422005,17.10,17.10,16.90,17.10,-0.20,69,
107/02/12,195152,3340441,17.10,17.25,17.05,17.10,0.00,60,
107/02/21,131060,2276982,17.30,17.55,17.25,17.25,+0.15,50,
107/02/22,123062,2144828,17.25,17.50,17.25,17.50,+0.25,46,
107/02/23,157001,2748367,17.55,17.60,17.40,17.50,0.00,56,
107/02/26,95782,1685484,17.60,17.70,17.50,17.55,+0.05,44,
107/02/27,147079,2578574,17.55,17.55,17.50,17.55,0.00,52,
107/01/02,196773,3494018,17.55,18.00,17.55,17.95,+0.40,97,
107/01/03,267631,4777867,17.95,18.05,17.75,17.75,-0.20,108,
107/01/04,103768,1840154,17.85,17.85,17.65,17.70,-0.05,44,
107/01/05,170260,3049140,17.85,18.05,17.75,17.95,+0.25,90,
107/01/08,413945,7458310,18.00,18.15,17.85,18.05,+0.10,178,
107/01/09,221451,3984618,18.05,18.20,17.90,18.10,+0.05,94,
