日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
107/03/01,9000,389750,43.10,43.45,42.95,43.40,+0.40,9,
107/03/02,24000,1029550,43.20,43.20,42.80,42.80,-0.60,16,
107/03/05,9000,387200,43.00,43.40,42.80,43.40,+0.60,7,
107/03/06,10000,436550,44.00,44.00,43.50,43.50,+0.10,10,
107/03/07,10000,436450,43.70,43.90,43.50,43.50,0.00,10,
107/03/08,14000,615900,44.80,44.80,43.65,43.65,+0.15,13,
107/03/09,3067,134598,43.65,44.00,43.65,44.00,+0.35,4,
107/03/12,10000,438500,43.20,44.00,43.20,44.00,0.00,10,
107/03/13,114135,5183637,44.10,46.00,44.00,46.00,+2.00,83,
107/03/14,137289,6471633,46.30,47.80,46.30,47.00,+1.00,118,
107/03/15,111000,5272650,47.00,48.00,47.00,47.10,+0.10,81,
107/03/16,41000,1884700,46.05,46.70,45.50,46.50,-0.60,37,
107/03/19,81189,3717386,46.50,46.50,45.25,45.40,-1.10,58,
107/03/20,29000,1323400,45.90,46.00,45.40,45.40,0.00,21,
107/03/21,36001,1641645,45.90,45.95,45.00,45.20,-0.20,32,
107/03/22,49000,2201350,45.50,45.50,44.60,44.60,-0.60,33,
107/03/23,54000,2335000,44.15,44.15,42.65,43.00,-1.60,44,
107/03/26,21000,896400,42.45,43.00,42.45,42.60,-0.40,20,
107/03/27,16000,690800,42.85,43.50,42.85,43.50,+0.90,11,
107/03/28,17000,722750,43.10,43.10,42.20,42.35,-1.15,17,
107/03/29,8000,343200,43.00,43.00,42.60,42.60,+0.25,7,
107/03/30,15000,638650,42.60,42.65,42.20,42.20,-0.40,10,
107/03/31,77000,3192200,42.40,42.50,41.00,41.25,-0.95,49,
107/02/01,30017,1342310,44.40,45.00,44.40,44.55,+0.15,25,
107/02/02,24040,1068244,44.50,44.50,44.30,44.45,-0.10,20,
107/02/05,30000,1321000,44.20,44.20,44.00,44.00,-0.45,24,
107/02/06,80000,3441650,44.00,44.75,42.20,42.20,-1.80,62,
107/02/07,21601,945533,44.00,44.00,43.40,43.50,+1.30,17,
107/02/08,2000,87400,43.70,43.70,43.70,43.70,+0.20,1,
107/02/09,37000,1519350,39.85,42.00,39.85,41.60,-2.10,31,
107/02/12,33000,1369200,41.50,41.95,41.00,41.70,+0.10,13,
107/02/21,18200,774470,41.70,43.00,41.70,43.00,+1.30,18,
107/02/22,11000,479700,43.90,44.05,43.05,43.30,+0.30,10,
107/02/23,44000,1905050,44.70,44.70,43.15,43.15,-0.15,33,
107/02/26,21000,909100,43.45,43.50,43.05,43.05,-0.10,18,
107/02/27,19000,823850,43.50,43.90,43.00,43.00,-0.05,17,
107/01/02,60000,2867750,48.45,48.45,47.35,47.35,-0.25,39,
107/01/03,212100,9660050,46.90,47.20,44.10,44.10,-3.25,126,
107/01/04,58010,2621506,44.85,45.70,44.60,45.70,+1.60,56,
107/01/05,75000,3483150,45.85,47.00,45.85,46.95,+1.25,54,
107/01/08,54000,2483200,47.00,47.00,45.10,45.10,-1.85,41,
107/01/09,70049,3166916,45.50,46.05,45.00,45.10,0.00,60,
107/01/10,23045,1041333,45.15,45.20,45.15,45.15,+0.05,25,
107/01/11,26150,1182503,45.20,45.70,45.15,45.20,+0.05,21,
107/01/12,5000,226500,45.20,45.35,45.20,45.35,+0.15,5,
107/01/15,4000,181900,45.40,45.50,45.40,45.50,+0.15,4,
107/01/16,28004,1276082,45.35,45.90,45.35,45.90,+0.40,29,
107/01/17,22000,1012300,45.50,46.90,45.50,46.70,+0.80,21,
107/01/18,29776,1381740,46.50,46.50,46.10,46.30,-0.40,29,
107/01/19,45193,2078585,45.80,46.55,45.70,46.15,-0.15,39,
107/01/22,32000,1472200,46.15,46.45,45.55,46.10,-0.05,28,
107/01/23,25000,1150550,46.20,46.60,45.70,46.00,-0.10,18,
107/01/24,37727,1725292,45.70,46.50,45.50,46.50,+0.50,25,
107/01/25,43002,1997043,46.05,46.80,45.80,46.80,+0.30,26,
107/01/26,91001,4186195,46.30,46.75,45.50,45.50,-1.30,70,
107/01/29,69003,3109582,45.60,45.60,45.00,45.05,-0.45,55,
107/01/30,57001,2555994,45.05,45.05,44.55,44.55,-0.50,47,
107/01/31,60002,2672688,44.55,45.00,44.40,44.40,-0.15,47,
106/12/01,21000,955750,45.50,45.60,45.45,45.55,+0.05,16,
106/12/04,20137,917690,45.55,46.00,45.55,45.55,0.00,8,
106/12/05,18019,816717,45.50,45.50,45.15,45.50,-0.05,12,
106/12/06,40000,1807350,45.50,45.50,45.10,45.10,-0.40,24,
106/12/07,45400,2059169,45.10,46.80,44.65,46.80,+1.70,35,
106/12/08,49001,2287196,46.80,46.80,46.10,46.80,0.00,36,
106/12/11,14000,654200,47.00,47.00,46.60,46.75,-0.05,13,
106/12/12,14000,652050,46.70,46.70,46.00,46.70,-0.05,10,
106/12/13,28002,1297292,46.20,46.55,46.10,46.50,-0.20,26,
106/12/14,6001,278496,46.50,46.50,46.20,46.20,-0.30,7,
106/12/15,12001,550845,46.15,46.15,45.65,45.90,-0.30,12,
106/12/18,40003,1869538,46.40,47.90,46.10,46.10,+0.20,29,
106/12/19,21000,967600,46.10,46.10,45.90,46.05,-0.05,11,
106/12/20,20002,927391,46.95,46.95,46.10,46.25,+0.20,17,
106/12/21,10200,472500,46.85,46.85,46.20,46.20,-0.05,11,
106/12/22,12000,554500,46.00,46.40,46.00,46.40,+0.20,11,
106/12/25,53001,2471646,46.20,46.85,46.20,46.80,+0.40,33,
106/12/26,32000,1489200,46.80,47.20,46.25,47.20,+0.40,29,
106/12/27,27000,1278950,47.10,47.70,47.10,47.60,+0.40,23,
106/12/28,34000,1620850,47.90,47.90,47.30,47.75,+0.15,23,
106/12/29,48000,2282500,47.80,47.80,47.25,47.60,-0.15,29,
106/11/01,13000,593500,46.00,46.00,45.40,45.80,-0.20,11,
106/11/02,70000,3258850,45.80,46.95,45.80,46.30,+0.50,36,
106/11/03,359000,17240300,46.60,49.00,45.50,48.00,+1.70,204,
106/11/06,225500,11078999,48.70,49.45,48.65,49.30,+1.30,134,
106/11/07,223100,11072645,49.30,50.00,48.75,49.50,+0.20,91,
106/11/08,65184,3180173,49.00,49.10,47.70,48.95,-0.55,55,
106/11/09,90000,4397050,48.40,49.75,47.50,49.20,+0.25,66,
106/11/10,35010,1695690,49.55,49.55,48.00,48.95,-0.25,29,
106/11/13,38000,1829750,48.50,48.75,47.80,47.85,-1.10,35,
