日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
107/03/01,17117,602679,35.00,35.30,35.00,35.30,+0.15,19,
107/03/02,34147,1202492,35.40,35.40,35.15,35.20,-0.10,11,
107/03/05,27021,952291,35.25,35.25,35.20,35.25,+0.05,11,
107/03/06,32150,1128794,35.20,35.20,35.00,35.10,-0.15,26,
107/03/07,60178,2118999,35.10,35.40,35.10,35.40,+0.30,36,
107/03/08,444277,16437491,36.95,38.00,36.40,36.65,+1.25,363,
107/03/09,130370,4802241,37.05,37.05,36.65,36.90,+0.25,99,
107/03/12,78330,2859944,36.90,36.90,36.40,36.40,-0.50,62,
107/03/13,65801,2417204,36.90,36.90,36.60,36.60,+0.20,55,
107/03/14,216716,7994404,36.70,37.10,36.60,37.05,+0.45,151,
107/03/15,931156,36822334,38.00,40.75,38.00,38.50,+1.45,698,
107/03/16,204505,7889790,38.80,38.80,38.50,38.50,0.00,153,
107/03/19,101350,3863009,38.50,38.60,38.00,38.00,-0.50,78,
107/03/20,83201,3145788,38.00,38.05,37.60,37.70,-0.30,73,
107/03/21,66100,2504479,37.80,38.30,37.70,37.70,0.00,54,
107/03/22,64375,2431324,37.90,38.00,37.50,37.65,-0.05,53,
107/03/23,136552,5164679,37.50,38.10,37.50,38.00,+0.35,90,
107/03/26,43300,1636709,38.00,38.00,37.60,37.80,-0.20,37,
107/03/27,52593,1988134,38.00,38.00,37.70,37.85,+0.05,38,
107/03/28,61810,2346660,37.85,38.00,37.70,38.00,+0.15,40,
107/03/29,59664,2258114,38.00,38.00,37.70,37.90,-0.10,42,
107/03/30,26035,985540,38.15,38.15,37.75,37.75,-0.15,24,
107/03/31,36000,1360950,37.80,38.00,37.75,37.80,+0.05,24,
107/02/01,14644,522384,35.80,35.85,35.60,35.80,0.00,17,
107/02/02,12000,429150,35.85,35.85,35.65,35.85,+0.05,11,
107/02/05,46002,1623170,35.85,35.85,35.10,35.70,-0.15,40,
107/02/06,46224,1612117,35.20,35.20,34.60,34.70,-1.00,55,
107/02/07,25551,893286,35.00,35.40,34.85,34.85,+0.15,25,
107/02/08,11538,401568,34.90,35.00,34.60,34.60,-0.25,13,
107/02/09,22300,771100,34.60,34.90,34.40,34.90,+0.30,18,
107/02/12,83300,2877250,34.90,34.90,34.40,34.60,-0.30,53,
107/02/21,50060,1736879,34.60,35.30,34.50,34.70,+0.10,43,
107/02/22,26035,905742,34.80,34.80,34.70,34.80,+0.10,9,
107/02/23,43100,1500850,34.80,34.85,34.80,34.80,0.00,20,
107/02/26,45250,1579600,34.90,35.00,34.80,35.00,+0.20,23,
107/02/27,59000,2072100,35.10,35.20,35.05,35.15,+0.15,31,
107/01/02,18389,656426,36.00,36.00,35.60,35.70,-0.35,17,
107/01/03,20905,744077,35.75,35.75,35.40,35.70,0.00,23,
107/01/04,12140,433682,35.70,35.75,35.70,35.75,+0.05,12,
107/01/05,11711,418916,35.75,35.80,35.75,35.80,+0.05,16,
