107/03/01,10089975,94389887,9.01,9.56,9.00,9.55,+0.47,2568,
107/03/02,6287573,59305350,9.48,9.53,9.26,9.40,-0.15,1828,
107/03/05,6912106,65347109,9.53,9.60,9.31,9.31,-0.09,1998,
107/03/06,3852292,35986932,9.45,9.48,9.27,9.27,-0.04,1062,
107/03/07,39730971,397839220,9.29,10.15,9.29,10.15,+0.88,7033,
107/03/08,33731096,345529860,10.40,10.45,10.00,10.05,-0.10,7080,
107/03/09,8427023,83787422,10.15,10.20,9.80,9.92,-0.13,2185,
107/03/12,20987415,215469513,10.05,10.55,9.99,10.30,+0.38,4805,
107/03/13,6468135,66353437,10.30,10.45,10.15,10.15,-0.15,1780,
107/03/14,4261717,43050490,10.15,10.20,10.05,10.15,0.00,999,
107/03/15,11700420,121309522,10.20,10.60,10.15,10.20,+0.05,2777,
107/03/16,3733585,37918912,10.25,10.30,10.10,10.15,-0.05,1145,
107/03/19,4228694,42613740,10.15,10.15,10.05,10.05,-0.10,1183,
107/03/20,7573783,75662748,9.95,10.15,9.81,9.90,-0.15,2000,
107/03/21,8793821,89112782,9.93,10.25,9.93,10.00,+0.10,1971,
107/03/22,4449128,44439609,10.20,10.20,9.85,9.86,-0.14,1220,
107/03/23,5491494,52508622,9.60,9.67,9.47,9.50,-0.36,1550,
107/03/26,3565621,34778334,9.50,9.90,9.50,9.74,+0.24,1067,
107/03/27,6117336,60988354,9.94,10.05,9.83,9.85,+0.11,1367,
107/03/28,2565286,25226327,9.80,9.98,9.72,9.79,-0.06,786,
107/03/29,1931729,19016876,9.92,9.92,9.80,9.83,+0.04,522,
107/03/30,2603399,25562564,9.96,9.96,9.75,9.75,-0.08,774,
107/03/31,2150553,20755730,9.76,9.83,9.58,9.61,-0.14,777,
107/02/01,17536807,177442442,10.15,10.45,9.82,9.85,-0.25,4448,
107/02/02,7661894,74271341,9.90,9.90,9.58,9.61,-0.24,2420,
107/02/05,5549235,51114122,9.12,9.37,9.10,9.31,-0.30,1714,
107/02/06,12174738,105424416,9.12,9.16,8.38,8.51,-0.80,3501,
107/02/07,6155213,54063071,8.86,8.90,8.62,8.64,+0.13,2021,
107/02/08,4297112,36560988,8.66,8.70,8.43,8.45,-0.19,1281,
107/02/09,4668869,37606141,7.70,8.30,7.70,8.30,-0.15,1354,
107/02/12,5011505,41015236,8.34,8.38,8.10,8.21,-0.09,1274,
107/02/21,3912905,33232112,8.45,8.60,8.32,8.52,+0.31,1425,
107/02/22,7373168,64637159,8.50,8.98,8.46,8.97,+0.45,2050,
107/02/23,8652566,79407200,9.06,9.33,9.06,9.21,+0.24,2408,
107/02/26,12130840,112262625,9.24,9.38,9.12,9.12,-0.09,3081,
107/02/27,3585540,32887484,9.18,9.28,9.08,9.08,-0.04,1112,
107/01/02,1226721,11035099,9.00,9.04,8.95,9.02,+0.07,418,
107/01/03,3510444,31985679,9.04,9.20,9.04,9.07,+0.05,1040,
107/01/04,3422205,31379361,9.10,9.25,9.09,9.15,+0.08,1024,
107/01/05,10207872,95675041,9.21,9.53,9.17,9.36,+0.21,2642,
107/01/08,12164114,115971495,9.48,9.70,9.23,9.28,-0.08,3101,
107/01/09,3559479,32660162,9.24,9.27,9.09,9.09,-0.19,1102,
107/01/10,2007636,18388541,9.12,9.21,9.09,9.16,+0.07,687,
107/01/11,2963175,27185568,9.18,9.25,9.09,9.10,-0.06,742,
107/01/12,4457335,41340396,9.13,9.43,9.13,9.20,+0.10,1002,
107/01/15,1929554,17904527,9.24,9.33,9.23,9.28,+0.08,641,
107/01/16,3510024,32659640,9.35,9.40,9.20,9.20,-0.08,1002,
107/01/17,3163931,29416839,9.24,9.40,9.18,9.33,+0.13,963,
107/01/18,3155615,29589748,9.45,9.50,9.28,9.28,-0.05,957,
107/01/19,1853112,17125675,9.36,9.37,9.18,9.20,-0.08,628,
107/01/22,2400660,21974983,9.20,9.23,9.12,9.12,-0.08,735,
