107/03/14,1101,buy:,3179,0.016393442622950838
107/03/23,1101,buy:,876,0.0286885245901638
107/03/23,1101,buy:,876,0.0286885245901638
107/03/14,1101,buy:,563,0.0026595744680850686
107/03/14,1101,buy:,563,-0.0013297872340426453
107/02/21,1101,buy:,678,0.013698630136986356
107/02/21,1101,buy:,678,0.009589041095890538
107/01/24,1101,buy:,405,0.02127659574468077
107/01/24,1101,buy:,405,0.027925531914893442
106/12/22,1101,buy:,31564,0.031294452347083945
106/12/22,1101,buy:,31564,-0.012802275960170584
106/12/13,1101,buy:,27889,0.0029325513196480912
106/12/13,1101,buy:,27889,0.0
106/12/04,1101,buy:,24331,0.0
106/12/04,1101,buy:,24331,0.0
106/11/23,1101,buy:,24065,0.007246376811594235
106/11/23,1101,buy:,24065,0.005797101449275477
106/11/14,1101,buy:,22140,0.038632986627043175
106/11/14,1101,buy:,22140,0.0014858841010403356
106/11/03,1101,buy:,21989,0.0029673590504448732
106/11/03,1101,buy:,21989,0.0029673590504448732
106/10/25,1101,buy:,21678,0.00746268656716409
106/10/25,1101,buy:,21678,0.011940298507462588
106/10/16,1101,buy:,21112,0.002954209748892156
106/10/16,1101,buy:,21112,0.005908419497784312
106/10/02,1101,buy:,20415,0.005943536404160454
106/10/02,1101,buy:,20415,0.005943536404160454
106/09/22,1101,buy:,23365,0.005899705014749346
106/09/22,1101,buy:,23365,0.005899705014749346
106/09/13,1101,buy:,23735,0.005925925925926112
106/09/13,1101,buy:,23735,0.007407407407407307
106/09/04,1101,buy:,23643,0.00870827285921627
106/09/04,1101,buy:,23643,0.013062409288824295
105/12/27,1101,buy:,2708,0.018840579710144967
105/12/27,1101,buy:,2708,0.05507246376811592
105/12/16,1101,buy:,410,0.05138888888888893
105/12/16,1101,buy:,410,0.06388888888888888
105/09/13,1101,buy:,1269,0.0544918998527244
105/09/13,1101,buy:,1269,0.10603829160530176
105/05/17,1101,buy:,464,0.03684210526315801
105/05/17,1101,buy:,464,0.07192982456140351
105/02/23,1101,buy:,3663,0.03767123287671237
105/02/23,1101,buy:,3663,0.020547945205479534
106/12/22,1102,buy:,7743,0.003676470588235281
106/12/22,1102,buy:,7743,-0.007352941176470562
106/12/13,1102,buy:,7708,0.020637898686679312
106/12/13,1102,buy:,7708,0.0
106/12/04,1102,buy:,7780,0.013035381750465369
